col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,division
Alice Beck Dubow,7,0,106,97,84,56,40,38,29,19,18,21,15,11,12,13,11,5,4
Robert Colville,,2,11,6,4,2,2,1,4,4,2,4,4,7,0,0,0,1,4
Derek S Green,,,0,80,70,61,21,44,20,13,15,15,16,14,10,6,7,5,4
Blondell Reynolds Brown,,,,3,69,52,37,34,18,15,17,11,12,5,9,11,8,6,4
Isaiah Thomas,,,,,2,51,28,42,17,12,12,5,5,3,7,5,9,1,4
William K Greenlee,,,,,,1,8,38,11,6,5,6,2,0,5,2,1,0,4
W Wilson Goode Jr,,,,,,,1,3,13,10,14,5,2,2,6,7,5,1,4
Ed Neilson,,,,,,,,0,0,5,0,1,1,0,1,2,0,2,4
Allan Domb,,,,,,,,,0,11,5,10,5,6,7,6,3,1,4
Sherrie Cohen,,,,,,,,,,2,2,6,4,3,6,8,1,1,4
Helen Gym,,,,,,,,,,,1,3,5,2,2,2,6,1,4
Jenne Ayers,,,,,,,,,,,,1,6,6,3,4,1,0,4
Thomas Wyatt,,,,,,,,,,,,,2,6,3,1,3,3,4
Wilson Alexander,,,,,,,,,,,,,,1,2,0,1,3,4
Carla M Cain,,,,,,,,,,,,,,,1,4,0,0,4
Frank Rizzo,,,,,,,,,,,,,,,,1,0,1,4
Paul Steinke,,,,,,,,,,,,,,,,,0,1,4
Marnie Aument Loughrey,,,,,,,,,,,,,,,,,,0,4
Total,160,15,131,120,103,70,49,48,42,29,26,26,24,20,18,17,13,7,4
,Judge Of The Superior Court - Democrat,,Council At Large - Democrat,,,,,,,,,,,,,,,,5
,Alice Beck Dubow,Robert Colville,Derek S Green,Isaiah Thomas,Blondell Reynolds Brown,W Wilson Goode Jr,William K Greenlee,Ed Neilson,Allan Domb,Sherrie Cohen,Helen Gym,Jenne Ayers,Thomas Wyatt,Frank Rizzo,Wilson Alexander,Paul Steinke,Carla M Cain,Marnie Aument Loughrey,5
Alice Beck Dubow,5,0,109,92,88,58,58,47,38,36,28,21,22,18,13,10,11,3,5
Robert Colville,,1,10,5,5,7,6,3,6,5,4,4,3,0,3,2,2,0,5
Derek S Green,,,6,84,72,41,64,55,23,22,16,15,18,9,15,7,7,1,5
Isaiah Thomas,,,,5,56,39,53,50,24,24,17,10,17,10,6,7,4,1,5
Blondell Reynolds Brown,,,,,3,46,43,31,24,20,23,12,8,13,4,8,7,1,5
W Wilson Goode Jr,,,,,,2,20,12,22,22,19,12,11,18,6,5,6,1,5
William K Greenlee,,,,,,,0,51,12,12,4,3,5,7,5,3,2,1,5
Ed Neilson,,,,,,,,0,6,6,6,6,1,3,5,0,1,1,5
Allan Domb,,,,,,,,,3,19,14,8,9,7,3,5,3,0,5
Sherrie Cohen,,,,,,,,,,0,14,5,11,5,6,2,4,0,5
Helen Gym,,,,,,,,,,,1,9,3,3,0,0,3,1,5
Jenne Ayers,,,,,,,,,,,,1,6,4,4,1,7,2,5
Thomas Wyatt,,,,,,,,,,,,,0,2,4,7,5,0,5
Frank Rizzo,,,,,,,,,,,,,,1,1,2,1,2,5
Wilson Alexander,,,,,,,,,,,,,,,0,0,3,0,5
Paul Steinke,,,,,,,,,,,,,,,,0,1,0,5
Carla M Cain,,,,,,,,,,,,,,,,,0,1,5
Marnie Aument Loughrey,,,,,,,,,,,,,,,,,,1,5
Total,169,18,147,122,113,80,77,63,55,44,38,32,30,26,17,15,14,4,5
,Judge Of The Superior Court - Democrat,,Council At Large - Democrat,,,,,,,,,,,,,,,,6
