col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,Justice Of The Supreme Court - Democrat,,,,,,Judge Of The Commonwealth Court - Democrat,,All
,Kevin M Dougherty,Christine Donohue,Anne E Lazarus,David Wecht,Dwayne D Woodruff,John Henry Foradora,Todd Eagen,Michael Wojcik,All
Kevin M Dougherty,"1,494",920,"1,275",785,366,223,"1,184","1,139",All
Christine Donohue,,131,584,367,165,90,704,650,All
Anne E Lazarus,,,81,485,192,124,644,602,All
David Wecht,,,,144,86,74,786,442,All
Dwayne D Woodruff,,,,,38,49,222,191,All
John Henry Foradora,,,,,,12,136,119,All
Todd Eagen,,,,,,,21,0,All
Michael Wojcik,,,,,,,,19,All
Total,"4,328","1,648","1,638","1,552",531,343,"1,845","1,627",All
,Justice Of The Supreme Court - Democrat,,,,,,Judge Of The Commonwealth Court - Democrat,,1
,Kevin M Dougherty,Anne E Lazarus,Christine Donohue,David Wecht,Dwayne D Woodruff,John Henry Foradora,Todd Eagen,Michael Wojcik,1
Kevin M Dougherty,12,13,11,14,2,0,17,8,1
Anne E Lazarus,,2,11,10,3,0,12,7,1
Christine Donohue,,,4,10,1,0,13,7,1
David Wecht,,,,1,1,0,14,6,1
Dwayne D Woodruff,,,,,0,0,2,1,1
John Henry Foradora,,,,,,1,0,0,1
Todd Eagen,,,,,,,0,0,1
Michael Wojcik,,,,,,,,0,1
Total,42,27,26,26,4,1,27,18,1
,Justice Of The Supreme Court - Democrat,,,,,,Judge Of The Commonwealth Court - Democrat,,2
,Kevin M Dougherty,David Wecht,Christine Donohue,Anne E Lazarus,Dwayne D Woodruff,John Henry Foradora,Todd Eagen,Michael Wojcik,2
Kevin M Dougherty,18,16,14,20,6,5,23,23,2
David Wecht,,7,9,6,2,3,19,11,2
Christine Donohue,,,2,10,3,1,17,13,2
Anne E Lazarus,,,,0,1,1,8,9,2
Dwayne D Woodruff,,,,,0,0,3,3,2
John Henry Foradora,,,,,,1,1,3,2
Todd Eagen,,,,,,,0,0,2
Michael Wojcik,,,,,,,,0,2
Total,71,39,34,23,6,6,39,32,2
,Justice Of The Supreme Court - Democrat,,,,,,Judge Of The Commonwealth Court - Democrat,,3
,Kevin M Dougherty,David Wecht,Christine Donohue,Anne E Lazarus,Dwayne D Woodruff,John Henry Foradora,Todd Eagen,Michael Wojcik,3
Kevin M Dougherty,76,35,26,26,7,4,57,26,3
David Wecht,,4,17,8,1,1,42,7,3
Christine Donohue,,,5,15,4,2,27,20,3
Anne E Lazarus,,,,3,1,2,15,9,3
Dwayne D Woodruff,,,,,0,0,2,4,3
John Henry Foradora,,,,,,0,3,1,3
Todd Eagen,,,,,,,1,0,3
Michael Wojcik,,,,,,,,0,3
Total,170,60,58,32,7,5,77,38,3
,Justice Of The Supreme Court - Democrat,,,,,,Judge Of The Commonwealth Court - Democrat,,4
,Kevin M Dougherty,Christine Donohue,David Wecht,Anne E Lazarus,John Henry Foradora,Dwayne D Woodruff,Michael Wojcik,Todd Eagen,4
Kevin M Dougherty,18,9,7,8,3,0,95,9,4
Christine Donohue,,2,10,5,3,1,10,11,4
David Wecht,,,3,2,1,0,5,12,4
Anne E Lazarus,,,,0,0,0,4,4,4
John Henry Foradora,,,,,1,0,1,1,4
Dwayne D Woodruff,,,,,,0,2,0,4
Michael Wojcik,,,,,,,0,0,4
Todd Eagen,,,,,,,,0,4
Total,129,26,23,10,6,2,103,21,4
,Justice Of The Supreme Court - Democrat,,,,,,Judge Of The Commonwealth Court - Democrat,,5
,David Wecht,Kevin M Dougherty,Christine Donohue,John Henry Foradora,Anne E Lazarus,Dwayne D Woodruff,Todd Eagen,Michael Wojcik,5
David Wecht,13,19,12,6,7,1,74,18,5
Kevin M Dougherty,,27,13,8,9,5,25,17,5
Christine Donohue,,,4,4,4,2,16,16,5
John Henry Foradora,,,,1,2,0,6,5,5
Anne E Lazarus,,,,,1,0,6,6,5
Dwayne D Woodruff,,,,,,0,3,1,5
Todd Eagen,,,,,,,2,0,5
Michael Wojcik,,,,,,,,1,5
Total,108,74,36,15,14,5,96,36,5
,Justice Of The Supreme Court - Democrat,,,,,,Judge Of The Commonwealth Court - Democrat,,6
,Kevin M Dougherty,Christine Donohue,David Wecht,Anne E Lazarus,John Henry Foradora,Dwayne D Woodruff,Todd Eagen,Michael Wojcik,6
Kevin M Dougherty,15,15,9,8,4,2,22,8,6
Christine Donohue,,1,7,6,2,2,14,9,6
David Wecht,,,5,4,2,1,15,4,6
Anne E Lazarus,,,,3,3,1,6,4,6
John Henry Foradora,,,,,0,0,2,1,6
Dwayne D Woodruff,,,,,,0,2,1,6
Todd Eagen,,,,,,,1,0,6
Michael Wojcik,,,,,,,,0,6
Total,49,27,24,15,6,3,31,16,6
,Justice Of The Supreme Court - Democrat,,,,,,Judge Of The Commonwealth Court - Democrat,,7
,Kevin M Dougherty,David Wecht,Anne E Lazarus,Christine Donohue,Dwayne D Woodruff,John Henry Foradora,Todd Eagen,Michael Wojcik,7
Kevin M Dougherty,24,21,31,15,6,3,21,24,7
