col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,division
,Council At Large - Republican,,,,,,,1
,James Williams,Terry Tracy,Dennis M O Brien,Daniel Tinney,David Oh,Matt Wolfe,Al Taubenberger,1
James Williams,1,2,1,0,1,1,0,1
Terry Tracy,,0,1,1,1,1,0,1
Dennis M O Brien,,,1,0,1,1,0,1
Daniel Tinney,,,,0,0,0,0,1
David Oh,,,,,0,1,0,1
Matt Wolfe,,,,,,0,0,1
Al Taubenberger,,,,,,,0,1
Total,3,3,2,1,1,1,0,1
,Council At Large - Republican,,,,,,,2
,Al Taubenberger,Daniel Tinney,David Oh,James Williams,Matt Wolfe,Terry Tracy,Dennis M O Brien,2
Al Taubenberger,0,1,0,0,1,0,0,2
Daniel Tinney,,0,0,0,1,0,0,2
David Oh,,,0,1,0,1,0,2
James Williams,,,,0,0,1,0,2
Matt Wolfe,,,,,0,0,0,2
Terry Tracy,,,,,,0,0,2
Dennis M O Brien,,,,,,,0,2
Total,1,1,1,1,1,1,0,2
,Council At Large - Republican,,,,,,,3
,David Oh,Dennis M O Brien,Al Taubenberger,Daniel Tinney,Terry Tracy,Matt Wolfe,James Williams,3
David Oh,1,6,4,4,5,4,2,3
Dennis M O Brien,,0,3,4,3,3,2,3
Al Taubenberger,,,1,4,1,3,1,3
Daniel Tinney,,,,0,1,3,2,3
Terry Tracy,,,,,0,2,1,3
Matt Wolfe,,,,,,0,0,3
James Williams,,,,,,,0,3
Total,9,7,5,5,5,4,3,3
,Council At Large - Republican,,,,,,,4
,Terry Tracy,Al Taubenberger,Dennis M O Brien,Daniel Tinney,Matt Wolfe,David Oh,James Williams,4
Terry Tracy,0,3,2,2,2,1,1,4
Al Taubenberger,,0,1,2,2,1,1,4
Dennis M O Brien,,,1,0,0,0,0,4
Daniel Tinney,,,,0,2,1,1,4
Matt Wolfe,,,,,0,1,1,4
David Oh,,,,,,0,0,4
James Williams,,,,,,,0,4
Total,4,3,3,2,2,1,1,4
,Council At Large - Republican,,,,,,,5
,David Oh,Dennis M O Brien,Daniel Tinney,James Williams,Al Taubenberger,Terry Tracy,Matt Wolfe,5
David Oh,1,6,5,3,4,4,2,5
Dennis M O Brien,,0,5,3,4,4,2,5
Daniel Tinney,,,0,2,3,3,2,5
James Williams,,,,2,2,2,0,5
Al Taubenberger,,,,,0,2,1,5
Terry Tracy,,,,,,0,1,5
Matt Wolfe,,,,,,,0,5
Total,7,6,5,5,4,4,2,5
,Council At Large - Republican,,,,,,,6
,David Oh,Terry Tracy,James Williams,Dennis M O Brien,Daniel Tinney,Matt Wolfe,Al Taubenberger,6
David Oh,0,8,8,5,3,5,2,6
Terry Tracy,,0,8,5,5,3,3,6
James Williams,,,0,4,2,2,4,6
Dennis M O Brien,,,,0,7,6,5,6
Daniel Tinney,,,,,0,4,3,6
Matt Wolfe,,,,,,0,3,6
Al Taubenberger,,,,,,,0,6
Total,11,11,10,9,7,6,5,6
,Council At Large - Republican,,,,,,,8
,David Oh,Dennis M O Brien,Matt Wolfe,Al Taubenberger,Daniel Tinney,James Williams,Terry Tracy,8
David Oh,0,1,1,0,0,0,0,8
Dennis M O Brien,,0,1,0,0,0,0,8
Matt Wolfe,,,0,0,0,0,0,8
Al Taubenberger,,,,0,0,0,0,8
Daniel Tinney,,,,,0,0,0,8
James Williams,,,,,,0,0,8
Terry Tracy,,,,,,,0,8
Total,1,1,1,0,0,0,0,8
,Council At Large - Republican,,,,,,,9
,Terry Tracy,Daniel Tinney,David Oh,Dennis M O Brien,James Williams,Matt Wolfe,Al Taubenberger,9
Terry Tracy,0,1,2,1,2,1,0,9
Daniel Tinney,,1,0,0,0,0,0,9
David Oh,,,0,1,2,1,0,9
Dennis M O Brien,,,,0,1,2,0,9
James Williams,,,,,0,1,0,9
Matt Wolfe,,,,,,0,0,9
Al Taubenberger,,,,,,,0,9
Total,3,2,2,2,2,2,0,9
,Council At Large - Republican,,,,,,,10
,David Oh,Terry Tracy,Al Taubenberger,Daniel Tinney,Dennis M O Brien,James Williams,Matt Wolfe,10
David Oh,1,1,0,0,0,0,0,10
Terry Tracy,,0,1,0,0,0,0,10
Al Taubenberger,,,0,0,0,0,0,10
Daniel Tinney,,,,0,0,0,0,10
Dennis M O Brien,,,,,0,0,0,10
James Williams,,,,,,0,0,10
Matt Wolfe,,,,,,,0,10
Total,2,2,1,0,0,0,0,10
,Council At Large - Republican,,,,,,,11
,David Oh,Terry Tracy,Daniel Tinney,James Williams,Matt Wolfe,Al Taubenberger,Dennis M O Brien,11
David Oh,0,1,2,2,2,2,1,11
Terry Tracy,,2,1,2,1,0,1,11
Daniel Tinney,,,0,1,2,2,2,11
James Williams,,,,0,1,0,1,11
Matt Wolfe,,,,,0,1,2,11
Al Taubenberger,,,,,,0,1,11
Dennis M O Brien,,,,,,,0,11
Total,5,4,3,3,3,2,2,11
,Council At Large - Republican,,,,,,,12
,Al Taubenberger,Daniel Tinney,Dennis M O Brien,Matt Wolfe,Terry Tracy,David Oh,James Williams,12
Al Taubenberger,0,1,1,1,1,0,0,12
Daniel Tinney,,0,1,1,1,0,0,12
Dennis M O Brien,,,0,1,1,0,0,12
Matt Wolfe,,,,0,1,0,0,12
Terry Tracy,,,,,0,0,0,12
David Oh,,,,,,0,0,12
James Williams,,,,,,,0,12
Total,1,1,1,1,1,0,0,12
,Council At Large - Republican,,,,,,,13
,Dennis M O Brien,James Williams,Terry Tracy,Al Taubenberger,Daniel Tinney,David Oh,Matt Wolfe,13
Dennis M O Brien,1,1,2,3,3,0,2,13
James Williams,,1,4,2,2,3,0,13
Terry Tracy,,,0,3,3,3,1,13
Al Taubenberger,,,,0,3,1,2,13
Daniel Tinney,,,,,0,1,1,13
David Oh,,,,,,0,0,13
Matt Wolfe,,,,,,,0,13
Total,5,5,5,4,4,3,2,13
,Council At Large - Republican,,,,,,,14
,David Oh,Daniel Tinney,Dennis M O Brien,Terry Tracy,Al Taubenberger,James Williams,Matt Wolfe,14
David Oh,2,1,2,2,0,1,0,14
Daniel Tinney,,0,1,1,1,1,0,14
Dennis M O Brien,,,0,2,0,1,0,14
Terry Tracy,,,,0,0,1,0,14
Al Taubenberger,,,,,0,0,0,14
James Williams,,,,,,0,0,14
