col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,Judge Of The Municipal Court - Democrat,,,,,,,,Judge Of The Commonwealth Court - Democrat,,All
,Christine Hope,Christian Dicicco,Sharon Williams Losier,Matthew Perks,Joffie C Pittman,Gary S Silver,Daniel R Sulman,Franklin A Bennett Iii,Todd Eagen,Michael Wojcik,All
Christine Hope,469,401,343,160,156,131,115,96,476,392,All
Christian Dicicco,,49,196,112,67,75,82,85,282,269,All
Sharon Williams Losier,,,27,107,119,63,41,48,290,208,All
Matthew Perks,,,,26,120,46,71,41,167,167,All
Joffie C Pittman,,,,,9,42,82,23,175,124,All
Gary S Silver,,,,,,14,50,38,103,112,All
Daniel R Sulman,,,,,,,14,20,101,107,All
Franklin A Bennett Iii,,,,,,,,5,81,91,All
Todd Eagen,,,,,,,,,77,0,All
Michael Wojcik,,,,,,,,,,93,All
Total,"1,445",655,577,404,354,273,269,198,801,735,All
,Judge Of The Municipal Court - Democrat,,,,,,,,Judge Of The Commonwealth Court - Democrat,,1
,Christine Hope,Christian Dicicco,Matthew Perks,Sharon Williams Losier,Daniel R Sulman,Joffie C Pittman,Franklin A Bennett Iii,Gary S Silver,Michael Wojcik,Todd Eagen,1
Christine Hope,32,24,11,19,5,8,3,7,30,30,1
Christian Dicicco,,6,9,11,7,3,5,2,18,13,1
Matthew Perks,,,3,4,11,5,6,4,15,9,1
Sharon Williams Losier,,,,0,1,4,1,1,12,10,1
Daniel R Sulman,,,,,0,6,2,3,11,6,1
Joffie C Pittman,,,,,,2,0,3,8,8,1
Franklin A Bennett Iii,,,,,,,1,1,6,3,1
Gary S Silver,,,,,,,,0,7,4,1
Michael Wojcik,,,,,,,,,8,0,1
Todd Eagen,,,,,,,,,,4,1
Total,95,42,28,24,19,18,12,12,56,41,1
,Judge Of The Municipal Court - Democrat,,,,,,,,Judge Of The Commonwealth Court - Democrat,,2
,Christine Hope,Christian Dicicco,Sharon Williams Losier,Matthew Perks,Joffie C Pittman,Gary S Silver,Franklin A Bennett Iii,Daniel R Sulman,Todd Eagen,Michael Wojcik,2
Christine Hope,43,20,17,12,15,7,2,5,30,23,2
Christian Dicicco,,7,10,6,5,5,7,2,20,14,2
Sharon Williams Losier,,,1,8,8,1,1,1,20,8,2
Matthew Perks,,,,5,8,1,3,1,13,9,2
Joffie C Pittman,,,,,0,1,2,0,12,6,2
Gary S Silver,,,,,,0,2,1,6,3,2
