col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Commonwealth Court - Democrat,,All
,Abbe Fletman,Rainy Papademetriou,Kai Scott,Chris Mallios,Stella Tsai,Mia Roberts Perez,Anthony Kyriakakis,Ken Powell,Brian T Ortelere,James F Berardinelli,Jennifer Schultz,Vincent N Melchiorre,Betsy Wahl,Michael Fanning,Stephanie M Sawyer,Daine Grey Jr,Chris Mccabe,Jodi Lobel,Lucretia Clemons,Tracy B Roman,Deborah Watson Stokes,Marissa Brumbach,Leon Goodman,Scott Diclaudio,Lynne M Summers,Leon A King Ii,Vince Giusini,Joshua Hill,Thomas Martin,Lyris Younge,Rania Major,Frances Fattah,Vincent Furlong,Wayne M D Bennett,Jon Marshall,Edward William Louden Jr,Sandjai Weaver,Shanese Johnson,William J Ciancaglini,Sherman Toppin,Starr Marshall Cash,Franklin A Bennett Iii,Tangie M Boston,Todd Eagen,Michael Wojcik,All
Abbe Fletman,34,"1,468","1,623","1,570","1,326","1,188","1,107","1,036","1,010",915,494,682,541,688,525,438,440,385,416,246,282,251,232,166,178,234,176,204,220,108,119,87,102,137,83,68,83,59,50,67,40,40,34,"1,126",471,All
Rainy Papademetriou,,42,"1,324","1,236","1,260","1,119","1,103","1,014","1,014",893,407,643,454,647,414,382,394,278,351,212,201,181,146,170,136,216,139,172,207,120,131,100,124,82,98,84,86,59,70,55,36,39,25,"1,014",403,All
Kai Scott,,,4,"1,409","1,187","1,123","1,046",957,903,833,361,647,470,665,492,391,406,320,393,136,239,205,171,104,110,229,127,185,200,118,87,81,77,126,46,37,75,68,49,53,51,31,33,999,372,All
Chris Mallios,,,,23,"1,151","1,063","1,024",945,821,851,322,554,414,660,426,340,328,281,269,114,224,179,120,109,75,211,125,161,104,59,49,70,59,113,33,23,28,35,46,30,34,35,26,950,375,All
Stella Tsai,,,,,86,"1,145","1,011",884,825,785,494,509,508,581,502,337,302,319,315,252,309,285,136,106,209,221,119,141,82,101,170,152,72,78,47,45,103,101,52,48,63,29,50,925,401,All
Mia Roberts Perez,,,,,,18,897,873,725,778,405,494,454,635,521,389,254,257,296,253,296,249,130,154,217,181,114,169,92,111,151,139,81,84,49,67,99,98,59,67,63,29,44,862,373,All
Anthony Kyriakakis,,,,,,,49,853,797,837,269,481,355,570,329,257,273,232,195,160,180,139,118,131,99,167,124,141,80,62,79,68,89,79,56,54,50,42,60,47,28,27,19,802,323,All
Ken Powell,,,,,,,,13,786,844,247,510,244,619,317,337,241,154,142,190,101,77,177,170,95,158,120,135,112,130,75,60,118,76,132,115,59,49,44,58,20,37,20,768,288,All
Brian T Ortelere,,,,,,,,,9,720,263,471,219,449,285,291,324,160,237,158,92,81,114,163,76,161,108,83,187,80,72,57,79,79,86,72,43,33,38,41,18,33,18,684,264,All
James F Berardinelli,,,,,,,,,,5,213,464,200,555,272,280,199,134,127,153,130,110,152,181,91,129,170,139,80,55,62,63,105,112,93,79,59,41,95,56,25,31,22,647,272,All
Jennifer Schultz,,,,,,,,,,,10,83,376,123,313,200,141,322,246,328,286,290,196,156,283,120,110,131,87,132,183,119,125,95,114,94,98,107,44,69,52,35,40,457,331,All
Vincent N Melchiorre,,,,,,,,,,,,4,162,470,120,87,249,92,171,65,70,70,50,84,47,30,116,69,159,46,19,33,50,34,27,16,23,20,72,21,21,26,17,382,187,All
Betsy Wahl,,,,,,,,,,,,,9,157,312,145,154,303,237,202,277,250,114,81,194,109,89,126,72,58,116,94,54,61,39,29,83,79,45,47,55,28,34,412,266,All
Michael Fanning,,,,,,,,,,,,,,12,139,100,179,74,103,69,61,74,72,66,53,62,82,113,68,59,33,39,52,63,26,18,20,22,46,29,27,35,22,413,177,All
Stephanie M Sawyer,,,,,,,,,,,,,,,0,329,126,226,173,212,289,239,99,87,196,86,87,83,74,85,118,93,57,78,36,34,80,73,51,51,57,30,45,453,227,All
Daine Grey Jr,,,,,,,,,,,,,,,,2,78,106,114,158,125,108,153,127,94,126,98,75,69,105,60,65,81,103,87,83,61,47,30,51,27,24,15,392,170,All
Chris Mccabe,,,,,,,,,,,,,,,,,13,117,191,63,101,67,60,64,62,55,74,75,169,25,34,37,56,49,35,26,20,19,51,20,30,22,17,300,165,All
Jodi Lobel,,,,,,,,,,,,,,,,,,17,186,153,225,228,131,55,157,88,84,99,53,56,98,58,56,72,37,28,58,56,44,35,33,24,26,304,216,All
Lucretia Clemons,,,,,,,,,,,,,,,,,,,2,141,199,208,90,70,160,107,75,80,171,73,117,90,35,73,33,34,60,103,34,26,29,25,28,271,232,All
Tracy B Roman,,,,,,,,,,,,,,,,,,,,12,207,181,195,228,223,85,90,97,77,159,148,122,115,82,138,129,98,91,43,68,59,26,31,293,266,All
