col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,division
,District Council 7th District - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Maria Quinones Sanchez,Manny Morales,Tracy B Roman,Ken Powell,Mia Roberts Perez,Scott Diclaudio,Lyris Younge,Kai Scott,Daine Grey Jr,Jennifer Schultz,Leon Goodman,Abbe Fletman,Thomas Martin,Jon Marshall,Stephanie M Sawyer,Michael Fanning,Rainy Papademetriou,Brian T Ortelere,Edward William Louden Jr,Frances Fattah,Lynne M Summers,Vincent N Melchiorre,James F Berardinelli,Deborah Watson Stokes,Chris Mallios,Vincent Furlong,Leon A King Ii,Stella Tsai,Wayne M D Bennett,Rania Major,Betsy Wahl,Anthony Kyriakakis,Lucretia Clemons,Vince Giusini,Shanese Johnson,Marissa Brumbach,Sherman Toppin,Sandjai Weaver,Chris Mccabe,Joshua Hill,Franklin A Bennett Iii,Jodi Lobel,William J Ciancaglini,Starr Marshall Cash,Tangie M Boston,All
Maria Quinones Sanchez,"2,162",0,"1,438","1,220","1,399",889,895,"1,016",805,817,768,877,760,587,820,804,693,633,541,657,571,567,442,552,539,413,468,554,428,462,490,385,420,327,353,369,316,363,309,292,255,259,224,186,194,All
Manny Morales,,"2,452","1,113",920,661,931,804,518,603,583,707,409,478,669,395,391,380,350,549,319,378,340,369,322,310,343,332,241,343,298,229,252,241,256,239,219,237,193,231,231,233,191,165,164,137,All
Tracy B Roman,,,33,"1,095",814,"1,014","1,020",665,676,683,777,620,522,649,518,495,510,456,647,451,429,493,366,371,450,316,289,338,328,337,303,223,278,220,263,245,241,227,143,186,166,170,136,132,143,All
Ken Powell,,,,24,713,903,938,737,736,463,740,668,600,727,487,618,577,531,591,371,266,546,336,236,444,289,264,172,296,197,171,185,203,184,178,137,212,152,165,207,165,107,117,88,100,All
Mia Roberts Perez,,,,,21,448,602,885,607,509,341,711,522,196,712,609,502,421,202,474,404,555,240,418,546,212,300,425,242,334,387,257,319,190,211,311,222,209,234,186,122,202,139,178,122,All
Scott Diclaudio,,,,,,39,790,374,556,463,676,427,282,675,301,352,348,360,612,189,218,312,418,183,288,281,210,175,259,226,144,214,135,219,126,130,177,143,138,164,160,103,153,69,95,All
Lyris Younge,,,,,,,27,630,641,413,562,507,322,552,513,419,356,319,524,233,275,417,239,265,291,196,192,172,216,187,163,177,188,175,180,157,191,151,151,106,94,98,90,112,87,All
Kai Scott,,,,,,,,15,642,327,282,709,540,194,698,654,491,385,144,429,275,563,175,346,555,183,292,266,245,219,278,220,259,197,235,193,206,211,237,183,147,129,112,145,111,All
