col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,division
,District Council 3rd District - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Jannie L Blackwell,Lyris Younge,Leon Goodman,Lynne M Summers,Tracy B Roman,Ken Powell,Edward William Louden Jr,Scott Diclaudio,Jon Marshall,Deborah Watson Stokes,Daine Grey Jr,Jennifer Schultz,Abbe Fletman,Michael Fanning,Kai Scott,Stephanie M Sawyer,Rainy Papademetriou,Frances Fattah,Brian T Ortelere,James F Berardinelli,Lucretia Clemons,Mia Roberts Perez,Vincent Furlong,Thomas Martin,Vincent N Melchiorre,Leon A King Ii,Shanese Johnson,Wayne M D Bennett,Rania Major,Vince Giusini,Anthony Kyriakakis,Betsy Wahl,Chris Mccabe,Jodi Lobel,Sherman Toppin,Stella Tsai,Marissa Brumbach,Starr Marshall Cash,William J Ciancaglini,Chris Mallios,Franklin A Bennett Iii,Sandjai Weaver,Joshua Hill,Tangie M Boston,All
Jannie L Blackwell,41,113,109,88,76,70,65,63,52,48,44,41,31,32,31,25,29,28,28,26,28,22,23,23,20,18,18,22,17,19,17,15,15,16,13,16,13,11,11,10,13,11,10,5,All
Lyris Younge,,2,122,104,50,48,34,35,28,20,24,19,23,10,19,16,15,11,12,14,11,15,9,9,11,8,8,7,6,5,5,5,8,7,6,9,4,3,4,7,3,7,2,0,All
Leon Goodman,,,0,98,37,37,33,33,32,15,20,16,11,3,11,9,15,11,14,16,7,5,9,7,2,8,7,9,7,2,5,4,2,6,4,2,2,6,3,2,5,3,3,3,All
Lynne M Summers,,,,2,25,24,14,14,8,18,16,16,13,14,17,19,10,10,7,3,10,12,7,7,13,9,10,12,9,6,9,4,4,4,4,4,5,4,7,8,7,3,3,3,All
Tracy B Roman,,,,,1,56,45,49,36,20,31,25,26,13,16,22,21,12,17,16,11,11,13,9,12,9,9,8,10,8,9,9,6,9,5,7,7,4,6,10,10,6,3,3,All
Ken Powell,,,,,,4,41,42,34,16,24,19,19,16,10,17,18,8,14,13,6,11,9,9,15,10,8,6,12,5,7,7,5,4,5,4,3,5,4,9,7,2,2,3,All
Edward William Louden Jr,,,,,,,5,39,35,11,24,18,15,6,9,6,16,5,19,18,5,2,12,6,3,8,9,6,6,8,9,5,8,4,2,4,2,4,5,3,6,3,3,1,All
Scott Diclaudio,,,,,,,,1,35,8,23,18,20,14,10,8,14,5,16,18,10,6,12,4,9,8,2,6,9,8,12,4,4,4,4,2,3,2,8,5,3,6,4,0,All
Jon Marshall,,,,,,,,,2,8,19,16,10,6,6,4,14,3,15,15,8,0,8,8,3,4,1,5,4,3,3,1,1,2,1,2,4,4,3,0,4,2,1,1,All
Deborah Watson Stokes,,,,,,,,,,2,18,11,11,9,16,17,5,12,1,1,13,11,6,5,7,7,13,6,9,5,7,8,9,7,6,9,7,9,3,6,4,4,1,6,All
Daine Grey Jr,,,,,,,,,,,1,24,20,9,16,16,19,9,21,18,7,7,11,6,6,6,9,9,7,6,8,4,8,5,3,4,6,6,5,4,9,6,3,2,All
Jennifer Schultz,,,,,,,,,,,,1,19,7,9,8,17,11,19,18,7,6,12,7,3,7,7,8,5,6,9,6,2,2,4,7,2,4,5,2,5,2,2,3,All
Abbe Fletman,,,,,,,,,,,,,1,7,12,14,9,8,14,11,10,14,12,4,11,8,6,4,6,6,7,4,7,6,10,9,1,3,2,6,3,6,4,0,All
Michael Fanning,,,,,,,,,,,,,,6,10,10,5,4,2,2,7,7,2,6,11,0,3,6,9,6,7,2,2,1,1,2,6,3,5,7,2,1,1,1,All
Kai Scott,,,,,,,,,,,,,,,0,12,3,11,2,2,12,12,5,11,8,7,7,7,7,3,5,2,7,3,4,6,9,3,5,4,3,5,2,1,All
Stephanie M Sawyer,,,,,,,,,,,,,,,,0,5,11,1,1,9,10,4,4,12,8,9,3,7,1,2,7,6,3,4,4,4,7,2,6,6,3,2,4,All
Rainy Papademetriou,,,,,,,,,,,,,,,,,0,6,16,16,4,5,13,5,4,2,6,4,5,6,6,4,4,5,3,5,4,3,1,3,3,2,4,1,All
Frances Fattah,,,,,,,,,,,,,,,,,,1,5,2,11,9,8,8,3,8,9,6,5,4,3,8,5,4,4,9,5,3,3,2,4,3,3,2,All
Brian T Ortelere,,,,,,,,,,,,,,,,,,,0,19,4,3,10,5,2,2,5,7,2,6,5,2,2,3,2,2,2,1,1,1,4,2,3,0,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,0,2,0,11,4,2,3,2,4,1,5,3,1,1,1,2,2,2,2,2,0,1,2,2,0,All
Lucretia Clemons,,,,,,,,,,,,,,,,,,,,,0,7,5,8,6,6,4,6,7,7,3,5,5,5,7,5,7,4,2,1,2,3,4,2,All
Mia Roberts Perez,,,,,,,,,,,,,,,,,,,,,,1,4,6,7,5,6,6,5,3,5,3,8,5,7,6,1,4,3,6,2,4,5,2,All
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,,0,6,1,5,4,5,2,4,5,3,4,2,2,2,1,1,3,0,4,1,5,0,All
Thomas Martin,,,,,,,,,,,,,,,,,,,,,,,,0,5,4,8,7,7,5,2,4,2,3,1,4,6,0,2,0,3,4,5,0,All
Vincent N Melchiorre,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,4,6,2,2,3,4,5,4,4,1,5,7,2,4,0,0,All
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,5,8,1,4,3,0,0,4,4,2,2,2,0,4,5,4,3,All
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,3,3,5,4,0,1,8,6,3,1,0,1,4,2,1,All
Wayne M D Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,6,5,0,4,3,3,2,4,2,3,0,4,4,2,1,All
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,7,2,3,3,2,3,6,2,4,4,4,3,2,1,All
Vince Giusini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,3,3,5,2,3,2,2,3,4,3,1,3,0,All
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,5,4,1,1,2,3,4,4,3,2,2,0,All
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,5,4,4,3,2,1,0,3,1,All
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,5,5,2,4,2,3,3,2,1,2,All
Jodi Lobel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,1,0,2,3,4,1,1,0,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,4,2,3,1,3,1,1,All
Stella Tsai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,1,0,1,3,1,0,All
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,0,0,1,0,1,All
Starr Marshall Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,1,1,2,4,All
William J Ciancaglini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,1,1,0,All
Chris Mallios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,0,0,All
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,1,All
Sandjai Weaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,All
Joshua Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,All
Tangie M Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,307,164,155,138,93,88,76,72,58,54,53,47,45,45,36,35,34,32,31,30,30,29,27,26,26,23,23,23,22,21,19,18,17,17,17,17,15,15,15,14,14,13,11,8,All
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,District Council 3rd District - Democrat,4
,Lyris Younge,Leon Goodman,Lynne M Summers,Tracy B Roman,Ken Powell,Scott Diclaudio,Edward William Louden Jr,Jon Marshall,Jennifer Schultz,Abbe Fletman,Brian T Ortelere,Daine Grey Jr,Rainy Papademetriou,Michael Fanning,Stephanie M Sawyer,Deborah Watson Stokes,James F Berardinelli,Jodi Lobel,Kai Scott,Vincent Furlong,Anthony Kyriakakis,Frances Fattah,Lucretia Clemons,Thomas Martin,Vincent N Melchiorre,Betsy Wahl,Chris Mccabe,Franklin A Bennett Iii,Mia Roberts Perez,Rania Major,Leon A King Ii,Marissa Brumbach,Shanese Johnson,Sherman Toppin,Vince Giusini,William J Ciancaglini,Chris Mallios,Joshua Hill,Stella Tsai,Wayne M D Bennett,Sandjai Weaver,Starr Marshall Cash,Tangie M Boston,Jannie L Blackwell,4
Lyris Younge,0,98,89,13,14,12,11,10,6,4,3,5,5,1,3,4,4,2,4,2,3,1,1,0,1,1,2,0,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,64,4
Leon Goodman,,0,91,11,13,11,9,9,6,2,3,4,4,0,3,2,3,0,1,2,1,1,1,1,0,1,0,1,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,61,4
Lynne M Summers,,,0,8,8,6,4,2,4,4,2,3,2,3,4,1,1,2,4,1,3,1,1,1,2,1,1,3,0,1,2,0,1,1,2,1,1,1,0,1,0,0,0,54,4
Tracy B Roman,,,,0,16,17,12,12,10,7,5,8,7,5,7,2,4,4,4,2,4,2,2,2,3,2,1,3,2,2,2,1,0,1,2,0,1,1,0,0,0,0,0,19,4
Ken Powell,,,,,0,15,11,10,6,4,3,6,5,4,4,1,4,0,3,2,2,1,0,0,3,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,17,4
Scott Diclaudio,,,,,,0,11,11,6,3,3,6,6,5,4,1,4,1,3,2,2,1,2,1,3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,18,4
Edward William Louden Jr,,,,,,,1,11,5,1,4,5,6,1,0,1,4,1,1,2,2,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,12,4
Jon Marshall,,,,,,,,0,4,1,4,5,6,1,1,1,3,2,0,2,1,1,1,2,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,14,4
Jennifer Schultz,,,,,,,,,0,7,7,8,8,1,2,1,7,2,1,4,3,1,1,0,0,2,1,2,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,10,4
Abbe Fletman,,,,,,,,,,0,4,7,4,2,5,2,3,3,4,4,2,2,1,0,3,1,2,2,3,1,1,0,0,2,1,0,1,0,1,0,0,0,0,5,4
Brian T Ortelere,,,,,,,,,,,0,7,7,0,0,0,6,2,0,3,1,1,0,2,0,1,0,2,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,8,4
