col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,City Commissioners - Democrat,,,,,,Judge Of The Commonwealth Court - Democrat,,All
,Anthony Clark,Lisa M Deeley,Will Mega,Tracey L Gordon,Omar Sabir,Carol A Jenkins,Todd Eagen,Michael Wojcik,All
Anthony Clark,149,166,70,59,78,63,424,250,All
Lisa M Deeley,,27,62,21,16,12,173,49,All
Will Mega,,,30,22,12,6,80,66,All
Tracey L Gordon,,,,24,11,34,63,66,All
Omar Sabir,,,,,18,14,58,60,All
Carol A Jenkins,,,,,,18,44,68,All
Todd Eagen,,,,,,,54,0,All
Michael Wojcik,,,,,,,,40,All
Total,887,322,239,189,168,160,585,413,All
,City Commissioners - Democrat,,,,,,Judge Of The Commonwealth Court - Democrat,,1
,Anthony Clark,Lisa M Deeley,Omar Sabir,Will Mega,Tracey L Gordon,Carol A Jenkins,Todd Eagen,Michael Wojcik,1
Anthony Clark,6,3,1,2,1,2,13,9,1
Lisa M Deeley,,0,1,1,1,0,3,0,1
Omar Sabir,,,3,0,0,2,2,0,1
Will Mega,,,,2,2,0,1,2,1
Tracey L Gordon,,,,,2,0,1,1,1
Carol A Jenkins,,,,,,0,1,2,1
Todd Eagen,,,,,,,0,0,1
Michael Wojcik,,,,,,,,3,1
Total,30,7,7,7,6,5,15,14,1
,City Commissioners - Democrat,,,,,,Judge Of The Commonwealth Court - Democrat,,2
,Anthony Clark,Lisa M Deeley,Omar Sabir,Tracey L Gordon,Will Mega,Carol A Jenkins,Todd Eagen,Michael Wojcik,2
Anthony Clark,8,5,4,3,3,2,15,9,2
Lisa M Deeley,,0,3,0,1,1,8,1,2
Omar Sabir,,,0,0,1,0,6,3,2
Tracey L Gordon,,,,0,2,2,4,3,2
Will Mega,,,,,1,0,2,2,2
Carol A Jenkins,,,,,,1,3,4,2
Todd Eagen,,,,,,,1,0,2
Michael Wojcik,,,,,,,,1,2
Total,32,10,10,9,9,8,22,17,2
