col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,Mayor - Democrat,,,,,,Judge Of The Superior Court - Democrat,,1
,Jim Kenney,Lynne M Abraham,Nelson Diaz,Anthony Hardy Williams,Doug Oliver,T Milton Street Sr,Alice Beck Dubow,Robert Colville,1
Jim Kenney,58,0,0,0,0,0,35,9,1
Lynne M Abraham,,2,0,0,0,0,5,1,1
Nelson Diaz,,,1,0,0,0,4,0,1
Anthony Hardy Williams,,,,2,0,0,1,1,1
Doug Oliver,,,,,0,0,2,0,1
T Milton Street Sr,,,,,,0,0,0,1
Alice Beck Dubow,,,,,,,1,0,1
Robert Colville,,,,,,,,0,1
Total,102,8,5,4,2,0,48,11,1
,Mayor - Democrat,,,,,,Judge Of The Superior Court - Democrat,,2
,Jim Kenney,Anthony Hardy Williams,Lynne M Abraham,Nelson Diaz,Doug Oliver,T Milton Street Sr,Alice Beck Dubow,Robert Colville,2
Jim Kenney,116,0,0,0,0,0,14,2,2
Anthony Hardy Williams,,1,0,0,0,0,4,0,2
Lynne M Abraham,,,1,0,0,0,3,1,2
Nelson Diaz,,,,0,0,0,0,1,2
Doug Oliver,,,,,0,0,0,0,2
T Milton Street Sr,,,,,,0,0,0,2
Alice Beck Dubow,,,,,,,0,0,2
Robert Colville,,,,,,,,0,2
Total,132,5,5,1,0,0,21,4,2
,Mayor - Democrat,,,,,,Judge Of The Superior Court - Democrat,,3
,Jim Kenney,Lynne M Abraham,Anthony Hardy Williams,Doug Oliver,Nelson Diaz,T Milton Street Sr,Alice Beck Dubow,Robert Colville,3
Jim Kenney,186,0,0,0,0,0,60,7,3
Lynne M Abraham,,4,0,0,0,0,2,0,3
Anthony Hardy Williams,,,1,0,0,0,0,0,3
Doug Oliver,,,,0,0,0,0,0,3
Nelson Diaz,,,,,0,0,0,0,3
T Milton Street Sr,,,,,,0,0,0,3
Alice Beck Dubow,,,,,,,3,0,3
Robert Colville,,,,,,,,0,3
Total,253,6,1,0,0,0,65,7,3
,Mayor - Democrat,,,,,,Judge Of The Superior Court - Democrat,,4
,Jim Kenney,Lynne M Abraham,Nelson Diaz,Anthony Hardy Williams,Doug Oliver,T Milton Street Sr,Alice Beck Dubow,Robert Colville,4
Jim Kenney,48,0,0,0,0,0,33,2,4
Lynne M Abraham,,2,0,0,0,0,4,0,4
Nelson Diaz,,,2,0,0,0,1,0,4
Anthony Hardy Williams,,,,0,0,0,2,0,4
Doug Oliver,,,,,1,0,0,0,4
T Milton Street Sr,,,,,,0,0,0,4
Alice Beck Dubow,,,,,,,1,0,4
Robert Colville,,,,,,,,0,4
Total,83,6,3,2,1,0,41,2,4
,Mayor - Democrat,,,,,,Judge Of The Superior Court - Democrat,,5
,Jim Kenney,Anthony Hardy Williams,Lynne M Abraham,Doug Oliver,Nelson Diaz,T Milton Street Sr,Alice Beck Dubow,Robert Colville,5
