col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,division
,Register Of Wills - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,1
,Ronald R Donatucci,Joffie C Pittman,Sharon Williams Losier,Daniel R Sulman,Christine Hope,Christian Dicicco,Gary S Silver,Matthew Perks,Franklin A Bennett Iii,1
Ronald R Donatucci,10,7,9,3,6,5,1,2,1,1
Joffie C Pittman,,5,2,4,3,1,0,1,0,1
Sharon Williams Losier,,,1,2,2,2,0,2,1,1
Daniel R Sulman,,,,0,1,0,0,1,0,1
Christine Hope,,,,,0,2,0,0,0,1
Christian Dicicco,,,,,,0,0,0,1,1
Gary S Silver,,,,,,,2,0,0,1
Matthew Perks,,,,,,,,0,0,1
Franklin A Bennett Iii,,,,,,,,,0,1
Total,30,16,11,9,6,5,3,3,1,1
,Register Of Wills - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,2
,Ronald R Donatucci,Joffie C Pittman,Gary S Silver,Christian Dicicco,Christine Hope,Daniel R Sulman,Sharon Williams Losier,Matthew Perks,Franklin A Bennett Iii,2
Ronald R Donatucci,5,4,3,2,2,2,2,1,0,2
Joffie C Pittman,,0,2,0,0,2,1,0,0,2
Gary S Silver,,,0,0,0,2,0,0,0,2
Christian Dicicco,,,,0,1,0,1,0,0,2
Christine Hope,,,,,0,0,1,0,0,2
Daniel R Sulman,,,,,,0,0,0,0,2
Sharon Williams Losier,,,,,,,0,0,0,2
Matthew Perks,,,,,,,,0,0,2
Franklin A Bennett Iii,,,,,,,,,0,2
Total,14,4,3,2,2,2,2,1,0,2
,Register Of Wills - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,3
,Ronald R Donatucci,Sharon Williams Losier,Matthew Perks,Christine Hope,Joffie C Pittman,Christian Dicicco,Franklin A Bennett Iii,Daniel R Sulman,Gary S Silver,3
Ronald R Donatucci,1,7,3,2,1,1,1,0,0,3
Sharon Williams Losier,,0,0,2,0,1,1,0,0,3
Matthew Perks,,,1,0,0,0,0,0,0,3
Christine Hope,,,,1,0,1,1,0,0,3
Joffie C Pittman,,,,,1,0,0,0,0,3
Christian Dicicco,,,,,,0,0,0,0,3
Franklin A Bennett Iii,,,,,,,0,0,0,3
Daniel R Sulman,,,,,,,,0,0,3
Gary S Silver,,,,,,,,,0,3
Total,12,7,4,3,2,1,1,0,0,3
,Register Of Wills - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,4
,Ronald R Donatucci,Joffie C Pittman,Daniel R Sulman,Sharon Williams Losier,Christian Dicicco,Matthew Perks,Christine Hope,Gary S Silver,Franklin A Bennett Iii,4
Ronald R Donatucci,2,4,3,6,4,5,5,1,0,4
Joffie C Pittman,,2,8,1,0,2,1,0,0,4
Daniel R Sulman,,,0,1,0,1,1,0,0,4
Sharon Williams Losier,,,,2,0,2,2,1,0,4
Christian Dicicco,,,,,2,2,0,0,0,4
Matthew Perks,,,,,,1,0,0,0,4
Christine Hope,,,,,,,1,1,0,4
Gary S Silver,,,,,,,,1,0,4
Franklin A Bennett Iii,,,,,,,,,0,4
Total,18,12,9,8,7,7,6,2,0,4
,Register Of Wills - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,5
,Ronald R Donatucci,Matthew Perks,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Christian Dicicco,Daniel R Sulman,Franklin A Bennett Iii,Gary S Silver,5
Ronald R Donatucci,6,13,14,12,8,6,6,4,3,5
Matthew Perks,,4,5,2,4,1,2,1,1,5
Sharon Williams Losier,,,1,6,6,2,3,0,1,5
Christine Hope,,,,0,4,4,4,2,0,5
Joffie C Pittman,,,,,2,0,0,0,1,5
Christian Dicicco,,,,,,3,3,2,2,5
Daniel R Sulman,,,,,,,1,2,0,5
Franklin A Bennett Iii,,,,,,,,0,1,5
Gary S Silver,,,,,,,,,0,5
Total,35,17,15,13,11,10,8,4,4,5
,Register Of Wills - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,6
,Ronald R Donatucci,Matthew Perks,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Daniel R Sulman,Christian Dicicco,Franklin A Bennett Iii,Gary S Silver,6
Ronald R Donatucci,1,15,18,16,17,5,5,2,1,6
Matthew Perks,,2,12,12,6,5,3,1,1,6
Sharon Williams Losier,,,1,12,6,2,1,0,0,6
Joffie C Pittman,,,,0,4,4,1,1,0,6
Christine Hope,,,,,1,3,3,2,1,6
Daniel R Sulman,,,,,,1,1,1,0,6
Christian Dicicco,,,,,,,2,1,0,6
Franklin A Bennett Iii,,,,,,,,0,0,6
Gary S Silver,,,,,,,,,0,6
Total,34,23,21,20,19,9,8,3,1,6
,Register Of Wills - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,7
,Ronald R Donatucci,Joffie C Pittman,Sharon Williams Losier,Matthew Perks,Christian Dicicco,Christine Hope,Daniel R Sulman,Gary S Silver,Franklin A Bennett Iii,7
Ronald R Donatucci,2,7,8,7,5,2,0,2,2,7
Joffie C Pittman,,0,8,4,1,0,2,1,0,7
Sharon Williams Losier,,,1,4,2,1,0,1,0,7
Matthew Perks,,,,0,2,0,0,1,2,7
Christian Dicicco,,,,,0,1,0,0,1,7
Christine Hope,,,,,,2,0,1,0,7
Daniel R Sulman,,,,,,,1,0,0,7
Gary S Silver,,,,,,,,0,1,7
Franklin A Bennett Iii,,,,,,,,,0,7
Total,17,10,10,9,6,5,3,3,2,7
,Register Of Wills - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,8
,Ronald R Donatucci,Sharon Williams Losier,Matthew Perks,Joffie C Pittman,Christian Dicicco,Christine Hope,Franklin A Bennett Iii,Daniel R Sulman,Gary S Silver,8
Ronald R Donatucci,4,16,11,11,11,6,6,2,3,8
Sharon Williams Losier,,3,5,7,4,3,1,0,1,8
Matthew Perks,,,1,5,2,0,2,1,2,8
Joffie C Pittman,,,,1,3,1,1,0,2,8
Christian Dicicco,,,,,0,3,4,1,0,8
Christine Hope,,,,,,1,1,0,0,8
Franklin A Bennett Iii,,,,,,,0,2,1,8
Daniel R Sulman,,,,,,,,1,0,8
Gary S Silver,,,,,,,,,0,8
Total,36,21,14,13,12,7,6,3,3,8
,Register Of Wills - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,9
,Ronald R Donatucci,Sharon Williams Losier,Christine Hope,Christian Dicicco,Joffie C Pittman,Franklin A Bennett Iii,Gary S Silver,Matthew Perks,Daniel R Sulman,9
Ronald R Donatucci,2,12,11,11,9,6,6,6,3,9
Sharon Williams Losier,,1,6,4,3,3,1,1,2,9
Christine Hope,,,0,5,4,2,1,1,0,9
Christian Dicicco,,,,0,2,2,1,3,1,9
Joffie C Pittman,,,,,0,3,3,3,0,9
Franklin A Bennett Iii,,,,,,0,1,0,1,9
Gary S Silver,,,,,,,0,1,2,9
Matthew Perks,,,,,,,,0,0,9
Daniel R Sulman,,,,,,,,,0,9
Total,29,14,13,11,9,7,6,6,3,9
,Register Of Wills - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,10
,Ronald R Donatucci,Christine Hope,Joffie C Pittman,Sharon Williams Losier,Gary S Silver,Daniel R Sulman,Franklin A Bennett Iii,Matthew Perks,Christian Dicicco,10
Ronald R Donatucci,1,5,8,7,4,3,3,2,2,10
Christine Hope,,3,4,3,0,0,1,0,0,10
Joffie C Pittman,,,0,5,2,0,2,1,0,10
Sharon Williams Losier,,,,0,0,0,0,1,0,10
Gary S Silver,,,,,1,2,2,0,1,10
Daniel R Sulman,,,,,,0,1,0,1,10
Franklin A Bennett Iii,,,,,,,0,0,0,10
Matthew Perks,,,,,,,,1,0,10
Christian Dicicco,,,,,,,,,0,10
Total,17,8,8,7,5,3,3,3,2,10
,Register Of Wills - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,11
,Ronald R Donatucci,Christine Hope,Joffie C Pittman,Matthew Perks,Daniel R Sulman,Sharon Williams Losier,Gary S Silver,Christian Dicicco,Franklin A Bennett Iii,11
Ronald R Donatucci,2,9,3,7,2,5,3,2,1,11
Christine Hope,,0,2,3,1,3,2,1,1,11
Joffie C Pittman,,,2,0,3,2,0,1,0,11
Matthew Perks,,,,0,1,1,1,1,1,11
Daniel R Sulman,,,,,1,0,0,0,0,11
Sharon Williams Losier,,,,,,1,1,0,0,11
Gary S Silver,,,,,,,0,1,0,11
Christian Dicicco,,,,,,,,0,0,11
Franklin A Bennett Iii,,,,,,,,,0,11
Total,18,9,8,7,6,6,3,2,1,11
,Register Of Wills - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,12
,Ronald R Donatucci,Joffie C Pittman,Sharon Williams Losier,Christian Dicicco,Christine Hope,Matthew Perks,Daniel R Sulman,Franklin A Bennett Iii,Gary S Silver,12
Ronald R Donatucci,3,10,9,5,5,6,4,2,1,12
Joffie C Pittman,,1,5,2,1,5,3,1,0,12
Sharon Williams Losier,,,1,2,3,4,0,2,0,12
Christian Dicicco,,,,2,3,0,2,1,0,12
Christine Hope,,,,,1,0,0,2,0,12
Matthew Perks,,,,,,0,2,0,1,12
Daniel R Sulman,,,,,,,1,0,1,12
Franklin A Bennett Iii,,,,,,,,0,0,12
Gary S Silver,,,,,,,,,1,12
Total,22,12,11,8,7,7,5,3,2,12
,Register Of Wills - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,13
