col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,division
,Register Of Wills - Democrat,Justice Of The Supreme Court - Democrat,,,,,,All
,Ronald R Donatucci,Kevin M Dougherty,Anne E Lazarus,David Wecht,Christine Donohue,Dwayne D Woodruff,John Henry Foradora,All
Ronald R Donatucci,54,621,409,417,350,81,74,All
Kevin M Dougherty,,171,411,251,219,62,44,All
Anne E Lazarus,,,33,190,188,49,40,All
David Wecht,,,,57,123,19,31,All
Christine Donohue,,,,,42,32,27,All
Dwayne D Woodruff,,,,,,12,10,All
John Henry Foradora,,,,,,,3,All
Total,"1,023",915,557,543,455,108,89,All
,Justice Of The Supreme Court - Democrat,,,,,,Register Of Wills - Democrat,1
,Anne E Lazarus,Kevin M Dougherty,David Wecht,Christine Donohue,Dwayne D Woodruff,John Henry Foradora,Ronald R Donatucci,1
Anne E Lazarus,1,42,29,14,4,2,37,1
Kevin M Dougherty,,5,21,6,3,2,36,1
David Wecht,,,3,11,0,1,24,1
Christine Donohue,,,,0,2,0,14,1
Dwayne D Woodruff,,,,,0,0,4,1
John Henry Foradora,,,,,,0,3,1
Ronald R Donatucci,,,,,,,0,1
Total,55,54,37,19,5,3,48,1
,Register Of Wills - Democrat,Justice Of The Supreme Court - Democrat,,,,,,2
,Ronald R Donatucci,Kevin M Dougherty,David Wecht,Anne E Lazarus,Christine Donohue,Dwayne D Woodruff,John Henry Foradora,2
Ronald R Donatucci,3,34,28,15,17,6,4,2
Kevin M Dougherty,,7,17,19,9,5,1,2
David Wecht,,,3,7,7,2,0,2
Anne E Lazarus,,,,3,9,2,2,2
Christine Donohue,,,,,3,1,4,2
Dwayne D Woodruff,,,,,,1,1,2
John Henry Foradora,,,,,,,0,2
Total,57,49,35,26,23,7,4,2
,Register Of Wills - Democrat,Justice Of The Supreme Court - Democrat,,,,,,3
,Ronald R Donatucci,Kevin M Dougherty,David Wecht,Christine Donohue,Anne E Lazarus,John Henry Foradora,Dwayne D Woodruff,3
Ronald R Donatucci,2,55,46,32,33,10,4,3
Kevin M Dougherty,,20,28,26,32,5,1,3
David Wecht,,,7,14,17,6,2,3
Christine Donohue,,,,7,20,2,2,3
Anne E Lazarus,,,,,2,5,1,3
John Henry Foradora,,,,,,0,2,3
Dwayne D Woodruff,,,,,,,0,3
Total,86,82,58,47,41,11,4,3
,Register Of Wills - Democrat,Justice Of The Supreme Court - Democrat,,,,,,4
,Ronald R Donatucci,Kevin M Dougherty,David Wecht,Christine Donohue,Anne E Lazarus,Dwayne D Woodruff,John Henry Foradora,4
Ronald R Donatucci,4,30,23,24,15,3,1,4
Kevin M Dougherty,,14,11,15,18,2,1,4
David Wecht,,,6,6,5,2,1,4
Christine Donohue,,,,2,9,1,0,4
Anne E Lazarus,,,,,1,1,0,4
Dwayne D Woodruff,,,,,,1,1,4
John Henry Foradora,,,,,,,0,4
Total,55,51,30,28,21,5,2,4
,Justice Of The Supreme Court - Democrat,,,,,,Register Of Wills - Democrat,5
,Anne E Lazarus,Kevin M Dougherty,David Wecht,Christine Donohue,Dwayne D Woodruff,John Henry Foradora,Ronald R Donatucci,5
Anne E Lazarus,10,58,41,20,4,1,49,5
Kevin M Dougherty,,4,35,16,3,1,46,5
David Wecht,,,1,9,3,2,34,5
Christine Donohue,,,,3,0,0,20,5
Dwayne D Woodruff,,,,,0,0,5,5
John Henry Foradora,,,,,,0,2,5
Ronald R Donatucci,,,,,,,7,5
Total,84,71,52,29,5,2,71,5
,Justice Of The Supreme Court - Democrat,,,,,,Register Of Wills - Democrat,6
,Kevin M Dougherty,Anne E Lazarus,David Wecht,Christine Donohue,John Henry Foradora,Dwayne D Woodruff,Ronald R Donatucci,6
Kevin M Dougherty,21,48,27,14,6,5,66,6
Anne E Lazarus,,5,17,12,4,5,42,6
David Wecht,,,6,10,3,3,38,6
Christine Donohue,,,,5,6,2,27,6
John Henry Foradora,,,,,0,1,10,6
Dwayne D Woodruff,,,,,,1,6,6
Ronald R Donatucci,,,,,,,8,6
Total,105,64,53,38,12,10,104,6
,Register Of Wills - Democrat,Justice Of The Supreme Court - Democrat,,,,,,7
,Ronald R Donatucci,Kevin M Dougherty,David Wecht,Christine Donohue,Anne E Lazarus,Dwayne D Woodruff,John Henry Foradora,7
Ronald R Donatucci,5,55,39,40,29,5,5,7
