col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,division
,City Commissioners - Democrat,,,,,,Justice Of The Supreme Court - Democrat,,,,,,1
,Anthony Clark,Lisa M Deeley,Carol A Jenkins,Omar Sabir,Will Mega,Tracey L Gordon,David Wecht,Kevin M Dougherty,Anne E Lazarus,Christine Donohue,Dwayne D Woodruff,John Henry Foradora,1
Anthony Clark,1,26,2,4,3,4,41,33,6,10,6,1,1
Lisa M Deeley,,0,5,0,1,0,28,24,6,4,2,0,1
Carol A Jenkins,,,0,1,0,1,5,10,10,7,2,2,1
Omar Sabir,,,,0,3,0,5,7,4,2,0,1,1
Will Mega,,,,,0,0,3,5,2,3,1,1,1
Tracey L Gordon,,,,,,0,2,2,1,2,3,1,1
David Wecht,,,,,,,2,32,8,11,2,0,1
Kevin M Dougherty,,,,,,,,1,11,8,3,2,1
Anne E Lazarus,,,,,,,,,0,5,3,1,1
Christine Donohue,,,,,,,,,,0,3,1,1
Dwayne D Woodruff,,,,,,,,,,,1,0,1
John Henry Foradora,,,,,,,,,,,,0,1
Total,55,34,16,9,8,6,51,51,20,19,8,4,1
,Justice Of The Supreme Court - Democrat,,,,,,City Commissioners - Democrat,,,,,,2
,Kevin M Dougherty,Anne E Lazarus,David Wecht,Christine Donohue,Dwayne D Woodruff,John Henry Foradora,Anthony Clark,Tracey L Gordon,Lisa M Deeley,Omar Sabir,Will Mega,Carol A Jenkins,2
Kevin M Dougherty,12,49,39,31,8,9,62,27,33,15,14,15,2
Anne E Lazarus,,5,26,23,7,6,36,26,19,12,9,15,2
David Wecht,,,4,19,4,2,38,15,15,10,7,5,2
Christine Donohue,,,,5,5,2,29,17,13,10,9,8,2
Dwayne D Woodruff,,,,,1,2,10,6,2,4,1,5,2
John Henry Foradora,,,,,,0,7,7,1,1,2,5,2
Anthony Clark,,,,,,,4,17,15,8,4,6,2
Tracey L Gordon,,,,,,,,0,5,5,3,7,2
Lisa M Deeley,,,,,,,,,0,4,4,3,2
Omar Sabir,,,,,,,,,,0,4,1,2
Will Mega,,,,,,,,,,,1,2,2
Carol A Jenkins,,,,,,,,,,,,1,2
Total,118,72,60,57,17,15,92,44,33,24,22,21,2
,City Commissioners - Democrat,,,,,,Justice Of The Supreme Court - Democrat,,,,,,3
,Anthony Clark,Will Mega,Lisa M Deeley,Carol A Jenkins,Omar Sabir,Tracey L Gordon,Kevin M Dougherty,David Wecht,Christine Donohue,Anne E Lazarus,Dwayne D Woodruff,John Henry Foradora,3
Anthony Clark,3,14,9,2,7,3,27,31,25,12,2,2,3
Will Mega,,1,2,3,1,1,8,17,15,4,2,1,3
