col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,1
,Blondell Reynolds Brown,Isaiah Thomas,Derek S Green,W Wilson Goode Jr,William K Greenlee,Allan Domb,Ed Neilson,Helen Gym,Sherrie Cohen,Wilson Alexander,Jenne Ayers,Thomas Wyatt,Carla M Cain,Frank Rizzo,Paul Steinke,Marnie Aument Loughrey,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Christian Dicicco,Matthew Perks,Daniel R Sulman,Gary S Silver,Franklin A Bennett Iii,1
Blondell Reynolds Brown,5,66,46,40,35,31,20,15,20,9,5,7,6,7,4,1,45,54,29,28,13,13,8,4,1
Isaiah Thomas,,1,50,42,38,24,27,13,15,6,3,8,9,7,5,0,44,48,36,33,11,16,12,8,1
Derek S Green,,,5,21,32,14,22,5,11,13,8,7,5,3,3,2,51,38,29,28,13,10,8,4,1
W Wilson Goode Jr,,,,3,13,21,4,9,9,4,2,3,3,7,4,0,21,22,26,15,7,11,6,5,1
William K Greenlee,,,,,0,6,22,5,7,4,1,5,3,3,1,1,28,28,13,28,2,11,6,3,1
Allan Domb,,,,,,5,1,6,9,4,3,3,3,4,0,1,16,18,13,9,6,8,4,3,1
Ed Neilson,,,,,,,0,1,3,0,0,0,1,1,0,0,21,21,5,19,0,5,3,1,1
Helen Gym,,,,,,,,3,7,1,1,2,2,3,3,0,10,11,12,5,3,5,1,1,1
Sherrie Cohen,,,,,,,,,0,2,4,3,4,1,1,0,15,12,8,8,2,5,1,1,1
Wilson Alexander,,,,,,,,,,0,6,4,2,0,1,0,10,10,7,6,9,1,2,2,1
Jenne Ayers,,,,,,,,,,,1,2,3,0,0,0,11,5,8,5,6,0,0,1,1
Thomas Wyatt,,,,,,,,,,,,0,2,0,3,0,9,6,7,4,3,2,0,1,1
Carla M Cain,,,,,,,,,,,,,0,1,0,0,4,8,7,0,4,1,4,0,1
Frank Rizzo,,,,,,,,,,,,,,0,2,0,4,5,2,4,2,4,3,1,1
Paul Steinke,,,,,,,,,,,,,,,1,0,3,4,8,3,0,2,0,0,1
Marnie Aument Loughrey,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,1
Sharon Williams Losier,,,,,,,,,,,,,,,,,0,38,23,27,10,10,3,3,1
Christine Hope,,,,,,,,,,,,,,,,,,0,20,26,10,5,8,3,1
Joffie C Pittman,,,,,,,,,,,,,,,,,,,2,8,9,7,3,3,1
Christian Dicicco,,,,,,,,,,,,,,,,,,,,0,2,9,2,2,1
Matthew Perks,,,,,,,,,,,,,,,,,,,,,0,2,1,0,1
Daniel R Sulman,,,,,,,,,,,,,,,,,,,,,,0,3,2,1
Gary S Silver,,,,,,,,,,,,,,,,,,,,,,,0,4,1
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,96,93,90,54,48,45,29,27,25,19,18,16,12,10,9,2,74,70,57,45,21,20,16,9,1
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,2
,Derek S Green,Blondell Reynolds Brown,Isaiah Thomas,William K Greenlee,W Wilson Goode Jr,Ed Neilson,Allan Domb,Sherrie Cohen,Jenne Ayers,Helen Gym,Wilson Alexander,Thomas Wyatt,Frank Rizzo,Paul Steinke,Carla M Cain,Marnie Aument Loughrey,Sharon Williams Losier,Christine Hope,Christian Dicicco,Joffie C Pittman,Matthew Perks,Daniel R Sulman,Franklin A Bennett Iii,Gary S Silver,2
Derek S Green,7,74,81,72,40,49,30,19,20,10,12,17,8,9,6,3,89,50,58,38,19,17,17,15,2
Blondell Reynolds Brown,,3,76,62,57,37,28,27,17,21,14,11,15,3,5,0,80,62,46,49,14,16,18,16,2
Isaiah Thomas,,,5,69,46,53,26,25,12,16,11,12,7,6,3,1,83,51,59,36,14,21,14,8,2
William K Greenlee,,,,0,31,52,20,14,9,9,7,4,6,2,3,1,66,41,55,18,8,18,8,7,2
W Wilson Goode Jr,,,,,1,15,15,24,10,11,10,6,12,3,5,0,49,39,19,39,12,9,10,9,2
Ed Neilson,,,,,,0,12,10,7,3,2,2,2,0,1,0,51,27,39,16,3,11,6,4,2
Allan Domb,,,,,,,4,11,9,5,5,8,4,6,5,1,28,20,15,18,8,7,8,9,2
Sherrie Cohen,,,,,,,,1,11,6,3,7,8,3,4,4,31,24,12,18,6,4,9,11,2
Jenne Ayers,,,,,,,,,1,5,6,4,5,4,8,3,20,14,8,15,8,3,8,6,2
Helen Gym,,,,,,,,,,0,4,3,3,2,2,2,16,15,10,9,2,4,2,4,2
