col_1,col_2,col_3,division
,Judge Of The Commonwealth Court - Democrat,,All
,Todd Eagen,Michael Wojcik,All
Todd Eagen,418,0,All
Michael Wojcik,,302,All
Total,418,302,All
,Judge Of The Commonwealth Court - Democrat,,1
,Todd Eagen,Michael Wojcik,1
Todd Eagen,55,0,1
Michael Wojcik,,33,1
Total,55,33,1
,Judge Of The Commonwealth Court - Democrat,,2
,Todd Eagen,Michael Wojcik,2
Todd Eagen,63,0,2
Michael Wojcik,,46,2
Total,63,46,2
,Judge Of The Commonwealth Court - Democrat,,3
,Todd Eagen,Michael Wojcik,3
Todd Eagen,48,0,3
Michael Wojcik,,38,3
Total,48,38,3
,Judge Of The Commonwealth Court - Democrat,,4
,Todd Eagen,Michael Wojcik,4
Todd Eagen,59,0,4
Michael Wojcik,,39,4
Total,59,39,4
,Judge Of The Commonwealth Court - Democrat,,5
,Todd Eagen,Michael Wojcik,5
Todd Eagen,24,0,5
Michael Wojcik,,14,5
Total,24,14,5
,Judge Of The Commonwealth Court - Democrat,,6
,Todd Eagen,Michael Wojcik,6
Todd Eagen,14,0,6
Michael Wojcik,,12,6
Total,14,12,6
,Judge Of The Commonwealth Court - Democrat,,7
,Todd Eagen,Michael Wojcik,7
Todd Eagen,23,0,7
Michael Wojcik,,22,7
Total,23,22,7
,Judge Of The Commonwealth Court - Democrat,,8
,Michael Wojcik,Todd Eagen,8
Michael Wojcik,9,0,8
Todd Eagen,,7,8
Total,9,7,8
,Judge Of The Commonwealth Court - Democrat,,9
,Todd Eagen,Michael Wojcik,9
Todd Eagen,31,0,9
Michael Wojcik,,25,9
Total,31,25,9
,Judge Of The Commonwealth Court - Democrat,,10
,Todd Eagen,Michael Wojcik,10
Todd Eagen,61,0,10
Michael Wojcik,,34,10
Total,61,34,10
,Judge Of The Commonwealth Court - Democrat,,11
,Todd Eagen,Michael Wojcik,11
Todd Eagen,33,0,11
Michael Wojcik,,30,11
Total,33,30,11
