col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,division
,Justice Of The Supreme Court - Democrat,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,1
,Kevin M Dougherty,Anne E Lazarus,David Wecht,Christine Donohue,Dwayne D Woodruff,John Henry Foradora,William K Greenlee,Blondell Reynolds Brown,Helen Gym,Paul Steinke,Sherrie Cohen,W Wilson Goode Jr,Allan Domb,Isaiah Thomas,Derek S Green,Jenne Ayers,Carla M Cain,Ed Neilson,Thomas Wyatt,Frank Rizzo,Wilson Alexander,Marnie Aument Loughrey,1
Kevin M Dougherty,0,27,14,14,11,3,20,18,14,13,15,18,15,15,15,10,9,9,5,4,4,2,1
Anne E Lazarus,,0,16,15,10,6,15,15,21,21,19,16,18,12,11,12,6,5,5,3,2,3,1
David Wecht,,,0,5,7,4,10,11,11,9,12,11,10,5,6,6,5,4,3,4,1,2,1
Christine Donohue,,,,2,1,2,8,4,8,12,6,6,10,6,3,6,5,3,4,4,2,0,1
Dwayne D Woodruff,,,,,2,1,9,7,7,4,9,8,3,7,7,5,2,3,2,0,2,0,1
John Henry Foradora,,,,,,0,2,3,3,5,3,3,4,4,4,3,3,0,0,1,0,2,1
William K Greenlee,,,,,,,1,15,8,11,12,11,7,7,5,4,3,9,3,3,1,0,1
Blondell Reynolds Brown,,,,,,,,0,8,6,10,14,6,8,6,5,1,7,1,1,1,0,1
Helen Gym,,,,,,,,,0,13,11,8,6,3,5,8,4,1,1,2,2,3,1
Paul Steinke,,,,,,,,,,0,8,5,12,3,4,6,3,1,4,4,1,1,1
Sherrie Cohen,,,,,,,,,,,0,10,4,6,3,6,6,7,1,0,0,3,1
W Wilson Goode Jr,,,,,,,,,,,,0,6,8,8,6,3,3,1,1,2,1,1
Allan Domb,,,,,,,,,,,,,0,5,8,4,1,3,4,4,1,0,1
Isaiah Thomas,,,,,,,,,,,,,,0,8,4,5,2,2,3,2,1,1
Derek S Green,,,,,,,,,,,,,,,0,5,3,1,1,1,3,0,1
Jenne Ayers,,,,,,,,,,,,,,,,0,3,0,0,1,1,1,1
Carla M Cain,,,,,,,,,,,,,,,,,0,2,1,1,2,2,1
Ed Neilson,,,,,,,,,,,,,,,,,,0,2,0,0,0,1
Thomas Wyatt,,,,,,,,,,,,,,,,,,,0,0,0,0,1
Frank Rizzo,,,,,,,,,,,,,,,,,,,,0,0,0,1
