col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,col_57,col_58,col_59,col_60,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Helen Gym,Paul Steinke,Allan Domb,Derek S Green,Thomas Wyatt,Sherrie Cohen,Blondell Reynolds Brown,Isaiah Thomas,W Wilson Goode Jr,William K Greenlee,Jenne Ayers,Frank Rizzo,Carla M Cain,Ed Neilson,Wilson Alexander,Marnie Aument Loughrey,Rainy Papademetriou,Abbe Fletman,Kai Scott,Ken Powell,Stella Tsai,Chris Mallios,Brian T Ortelere,Betsy Wahl,Jodi Lobel,Anthony Kyriakakis,Lucretia Clemons,Sandjai Weaver,Mia Roberts Perez,Joshua Hill,Jennifer Schultz,Tracy B Roman,Stephanie M Sawyer,Daine Grey Jr,Lynne M Summers,Leon Goodman,Deborah Watson Stokes,Chris Mccabe,Frances Fattah,Scott Diclaudio,James F Berardinelli,Vincent N Melchiorre,Lyris Younge,Rania Major,Thomas Martin,Marissa Brumbach,Leon A King Ii,Jon Marshall,Vince Giusini,Shanese Johnson,Wayne M D Bennett,Vincent Furlong,Michael Fanning,Edward William Louden Jr,Sherman Toppin,William J Ciancaglini,Franklin A Bennett Iii,Tangie M Boston,Starr Marshall Cash,All
Helen Gym,21,"1,170",889,721,871,503,316,305,207,216,181,65,124,89,36,74,"1,012","1,039",967,825,917,891,785,829,767,790,748,547,367,274,267,192,227,160,142,110,143,150,101,75,132,119,80,112,86,133,112,48,85,84,75,72,73,52,39,47,37,24,25,All
Paul Steinke,,10,928,775,948,368,225,324,123,190,105,71,47,76,30,35,955,978,878,837,854,860,780,744,732,748,694,540,278,273,199,139,169,139,94,103,108,137,71,90,163,125,66,90,88,95,85,53,95,50,70,68,85,40,39,54,36,25,19,All
Allan Domb,,,51,731,732,226,214,237,147,174,129,118,73,71,44,36,760,731,685,729,651,615,639,608,619,619,588,482,187,264,207,175,150,117,127,150,112,121,86,127,145,115,106,101,109,102,81,101,102,64,69,107,75,67,50,58,36,20,26,All
Derek S Green,,,,14,696,183,244,284,174,148,124,62,57,69,77,32,694,631,666,706,609,567,605,585,569,568,576,472,175,232,164,184,126,125,118,148,106,113,113,145,101,97,131,86,107,76,90,112,89,76,88,71,73,93,53,36,49,25,26,All
Thomas Wyatt,,,,,3,183,109,246,98,81,78,50,47,26,34,23,749,748,695,696,659,664,654,644,609,613,606,493,172,204,147,115,105,98,76,84,86,91,64,74,102,97,63,67,84,64,49,59,69,43,66,52,56,47,30,32,31,14,12,All
Sherrie Cohen,,,,,,7,325,229,192,247,176,60,118,61,33,68,405,387,341,258,395,296,268,270,258,226,201,118,297,161,220,165,203,141,161,111,141,133,133,73,102,117,65,107,101,130,103,50,56,81,60,46,55,40,36,32,25,31,28,All
Blondell Reynolds Brown,,,,,,,19,285,299,257,96,72,80,64,40,42,324,271,302,244,271,192,214,167,169,164,159,97,241,182,143,152,176,166,142,118,121,118,173,78,94,110,96,102,94,64,113,59,60,94,69,68,57,63,52,34,35,29,27,All
Isaiah Thomas,,,,,,,,9,294,156,84,51,38,39,35,14,292,237,327,233,232,204,210,187,200,158,176,98,211,185,106,105,151,120,121,104,106,117,142,56,64,118,86,62,104,61,81,47,60,65,70,51,71,34,53,41,38,26,34,All
