col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,division
,Sheriff - Democrat,Council At Large - Democrat,,,,,,,,,,,,,,,,All
,Jewell Williams,Derek S Green,Blondell Reynolds Brown,Isaiah Thomas,W Wilson Goode Jr,William K Greenlee,Allan Domb,Helen Gym,Sherrie Cohen,Jenne Ayers,Ed Neilson,Thomas Wyatt,Wilson Alexander,Frank Rizzo,Carla M Cain,Paul Steinke,Marnie Aument Loughrey,All
Jewell Williams,131,"1,226","1,117",988,879,705,664,592,634,579,470,330,368,285,242,204,135,All
Derek S Green,,78,519,643,371,433,312,265,238,281,285,220,243,118,108,125,64,All
Blondell Reynolds Brown,,,28,587,669,547,336,313,439,192,348,111,112,143,102,70,62,All
Isaiah Thomas,,,,64,511,426,294,316,238,151,294,134,78,116,80,103,36,All
W Wilson Goode Jr,,,,,10,404,243,234,360,125,272,84,72,136,65,50,21,All
William K Greenlee,,,,,,8,187,171,303,89,419,68,44,86,38,56,30,All
Allan Domb,,,,,,,76,205,172,167,89,151,99,127,117,108,58,All
Helen Gym,,,,,,,,73,211,149,131,84,53,76,87,106,51,All
Sherrie Cohen,,,,,,,,,9,123,219,78,66,117,88,64,29,All
Jenne Ayers,,,,,,,,,,20,37,106,157,58,108,57,41,All
Ed Neilson,,,,,,,,,,,16,44,33,38,27,29,20,All
Thomas Wyatt,,,,,,,,,,,,14,97,31,78,82,37,All
Wilson Alexander,,,,,,,,,,,,,12,33,56,31,15,All
Frank Rizzo,,,,,,,,,,,,,,11,28,39,31,All
Carla M Cain,,,,,,,,,,,,,,,13,26,26,All
Paul Steinke,,,,,,,,,,,,,,,,1,23,All
Marnie Aument Loughrey,,,,,,,,,,,,,,,,,2,All
Total,"2,783","1,560","1,368","1,347","1,065",927,895,807,774,669,646,433,411,357,325,272,150,All
,Sheriff - Democrat,Council At Large - Democrat,,,,,,,,,,,,,,,,1
,Jewell Williams,Derek S Green,Blondell Reynolds Brown,Isaiah Thomas,Sherrie Cohen,W Wilson Goode Jr,Allan Domb,Jenne Ayers,William K Greenlee,Thomas Wyatt,Ed Neilson,Helen Gym,Wilson Alexander,Paul Steinke,Frank Rizzo,Carla M Cain,Marnie Aument Loughrey,1
Jewell Williams,3,41,39,23,22,22,15,18,17,18,13,17,14,7,7,4,4,1
Derek S Green,,4,18,14,9,11,6,12,11,11,7,7,11,6,3,2,3,1
Blondell Reynolds Brown,,,2,14,19,20,8,10,14,7,11,11,9,2,3,2,2,1
Isaiah Thomas,,,,1,7,12,3,8,5,4,7,7,1,4,3,0,1,1
Sherrie Cohen,,,,,0,11,5,4,10,5,9,5,3,2,5,1,2,1
W Wilson Goode Jr,,,,,,0,4,2,13,3,6,5,1,1,4,0,1,1
Allan Domb,,,,,,,5,6,2,7,2,4,3,3,3,3,1,1
Jenne Ayers,,,,,,,,0,4,9,4,6,6,4,1,2,0,1
William K Greenlee,,,,,,,,,0,2,9,5,2,1,2,0,0,1
Thomas Wyatt,,,,,,,,,,0,4,2,5,4,2,3,2,1
Ed Neilson,,,,,,,,,,,0,6,2,1,0,1,0,1
Helen Gym,,,,,,,,,,,,0,2,2,1,2,0,1
Wilson Alexander,,,,,,,,,,,,,1,3,2,1,2,1
Paul Steinke,,,,,,,,,,,,,,0,3,0,0,1
Frank Rizzo,,,,,,,,,,,,,,,0,0,1,1
Carla M Cain,,,,,,,,,,,,,,,,0,1,1
Marnie Aument Loughrey,,,,,,,,,,,,,,,,,0,1
Total,81,52,47,32,26,26,25,22,22,21,19,17,17,10,9,6,4,1
,Sheriff - Democrat,Council At Large - Democrat,,,,,,,,,,,,,,,,2
,Jewell Williams,Derek S Green,Blondell Reynolds Brown,Isaiah Thomas,W Wilson Goode Jr,Allan Domb,Jenne Ayers,William K Greenlee,Sherrie Cohen,Helen Gym,Ed Neilson,Wilson Alexander,Frank Rizzo,Thomas Wyatt,Paul Steinke,Carla M Cain,Marnie Aument Loughrey,2
Jewell Williams,3,39,33,29,28,22,27,24,22,21,19,19,16,14,9,6,4,2
Derek S Green,,4,10,16,11,7,13,10,5,8,9,12,7,7,5,4,1,2
Blondell Reynolds Brown,,,0,14,21,11,5,20,12,11,16,4,6,2,4,2,2,2
Isaiah Thomas,,,,4,16,9,4,16,7,8,13,2,4,5,6,1,0,2
W Wilson Goode Jr,,,,,1,5,3,18,15,7,17,5,5,1,2,2,1,2
Allan Domb,,,,,,2,8,8,9,7,2,8,8,10,4,5,1,2
Jenne Ayers,,,,,,,1,2,5,12,1,9,8,5,2,4,2,2
William K Greenlee,,,,,,,,1,10,6,18,4,1,2,2,1,0,2
Sherrie Cohen,,,,,,,,,0,7,10,5,10,5,4,1,1,2
Helen Gym,,,,,,,,,,2,4,2,7,5,6,2,3,2
Ed Neilson,,,,,,,,,,,0,1,1,1,0,0,1,2
Wilson Alexander,,,,,,,,,,,,1,4,5,1,4,0,2
Frank Rizzo,,,,,,,,,,,,,1,3,2,3,0,2
Thomas Wyatt,,,,,,,,,,,,,,0,4,4,2,2
Paul Steinke,,,,,,,,,,,,,,,0,0,1,2
Carla M Cain,,,,,,,,,,,,,,,,0,1,2
Marnie Aument Loughrey,,,,,,,,,,,,,,,,,0,2
Total,89,47,40,38,36,32,32,32,31,28,27,21,19,19,12,10,4,2
,Sheriff - Democrat,Council At Large - Democrat,,,,,,,,,,,,,,,,3
,Jewell Williams,Derek S Green,Allan Domb,Isaiah Thomas,W Wilson Goode Jr,Blondell Reynolds Brown,William K Greenlee,Helen Gym,Jenne Ayers,Sherrie Cohen,Ed Neilson,Wilson Alexander,Frank Rizzo,Paul Steinke,Marnie Aument Loughrey,Thomas Wyatt,Carla M Cain,3
Jewell Williams,10,25,18,20,23,19,19,13,20,14,10,9,9,8,7,5,3,3
Derek S Green,,0,6,9,7,6,7,6,6,7,8,5,1,4,0,5,0,3
Allan Domb,,,4,10,8,10,8,3,7,3,3,3,6,3,2,3,2,3
Isaiah Thomas,,,,0,11,8,10,3,5,2,7,1,6,5,4,1,0,3
W Wilson Goode Jr,,,,,0,15,11,3,4,7,6,2,5,2,2,1,0,3
Blondell Reynolds Brown,,,,,,2,11,4,3,10,7,2,3,2,4,0,2,3
William K Greenlee,,,,,,,0,4,3,6,11,0,4,2,1,1,0,3
Helen Gym,,,,,,,,6,3,5,2,1,1,4,2,2,0,3
Jenne Ayers,,,,,,,,,1,2,2,5,2,3,4,2,2,3
Sherrie Cohen,,,,,,,,,,0,5,2,1,2,0,1,1,3
Ed Neilson,,,,,,,,,,,0,0,0,0,1,0,0,3
Wilson Alexander,,,,,,,,,,,,1,0,2,1,2,1,3
Frank Rizzo,,,,,,,,,,,,,1,2,2,0,0,3
Paul Steinke,,,,,,,,,,,,,,0,3,2,0,3
Marnie Aument Loughrey,,,,,,,,,,,,,,,0,0,1,3
Thomas Wyatt,,,,,,,,,,,,,,,,0,1,3
Carla M Cain,,,,,,,,,,,,,,,,,0,3
Total,81,30,29,26,26,24,24,22,22,15,14,12,11,9,7,6,4,3
,Sheriff - Democrat,Council At Large - Democrat,,,,,,,,,,,,,,,,4
,Jewell Williams,Derek S Green,Helen Gym,Isaiah Thomas,Sherrie Cohen,Jenne Ayers,Allan Domb,Blondell Reynolds Brown,William K Greenlee,Ed Neilson,Frank Rizzo,Thomas Wyatt,W Wilson Goode Jr,Wilson Alexander,Paul Steinke,Carla M Cain,Marnie Aument Loughrey,4
Jewell Williams,2,26,11,13,15,14,13,10,11,8,8,10,5,9,4,4,5,4
Derek S Green,,1,6,7,5,10,4,7,7,7,5,3,1,9,3,0,1,4
Helen Gym,,,4,6,8,4,4,4,3,1,4,3,2,1,2,2,2,4
Isaiah Thomas,,,,2,5,2,0,8,5,8,3,1,9,2,1,0,1,4
Sherrie Cohen,,,,,1,4,5,4,4,2,6,3,2,1,1,4,3,4
Jenne Ayers,,,,,,0,3,1,1,3,4,2,1,7,2,1,0,4
Allan Domb,,,,,,,3,2,3,0,4,6,0,2,2,2,2,4
Blondell Reynolds Brown,,,,,,,,0,7,4,3,0,7,1,2,0,1,4
William K Greenlee,,,,,,,,,0,6,2,3,3,0,2,1,0,4
Ed Neilson,,,,,,,,,,0,2,1,6,1,1,0,0,4
Frank Rizzo,,,,,,,,,,,1,2,2,0,0,2,1,4
Thomas Wyatt,,,,,,,,,,,,1,0,1,1,2,2,4
W Wilson Goode Jr,,,,,,,,,,,,,0,0,0,0,0,4
Wilson Alexander,,,,,,,,,,,,,,1,0,0,1,4
Paul Steinke,,,,,,,,,,,,,,,1,0,0,4
Carla M Cain,,,,,,,,,,,,,,,,0,2,4
Marnie Aument Loughrey,,,,,,,,,,,,,,,,,0,4
Total,53,31,20,19,19,17,16,16,13,12,12,11,11,10,6,5,5,4
,Sheriff - Democrat,Council At Large - Democrat,,,,,,,,,,,,,,,,5
