col_1,col_2,division
,Register Of Wills - Democrat,All
,Ronald R Donatucci,All
Ronald R Donatucci,"1,328",All
Total,"1,328",All
,Register Of Wills - Democrat,1
,Ronald R Donatucci,1
Ronald R Donatucci,49,1
Total,49,1
,Register Of Wills - Democrat,2
,Ronald R Donatucci,2
Ronald R Donatucci,59,2
Total,59,2
,Register Of Wills - Democrat,3
,Ronald R Donatucci,3
Ronald R Donatucci,51,3
Total,51,3
,Register Of Wills - Democrat,4
,Ronald R Donatucci,4
Ronald R Donatucci,80,4
Total,80,4
,Register Of Wills - Democrat,5
,Ronald R Donatucci,5
Ronald R Donatucci,62,5
Total,62,5
,Register Of Wills - Democrat,6
,Ronald R Donatucci,6
Ronald R Donatucci,54,6
Total,54,6
,Register Of Wills - Democrat,7
,Ronald R Donatucci,7
Ronald R Donatucci,58,7
Total,58,7
,Register Of Wills - Democrat,8
,Ronald R Donatucci,8
Ronald R Donatucci,36,8
Total,36,8
,Register Of Wills - Democrat,9
,Ronald R Donatucci,9
Ronald R Donatucci,39,9
Total,39,9
,Register Of Wills - Democrat,10
,Ronald R Donatucci,10
Ronald R Donatucci,36,10
Total,36,10
,Register Of Wills - Democrat,11
,Ronald R Donatucci,11
Ronald R Donatucci,68,11
Total,68,11
,Register Of Wills - Democrat,12
,Ronald R Donatucci,12
Ronald R Donatucci,75,12
Total,75,12
,Register Of Wills - Democrat,13
,Ronald R Donatucci,13
Ronald R Donatucci,51,13
Total,51,13
,Register Of Wills - Democrat,14
,Ronald R Donatucci,14
Ronald R Donatucci,67,14
Total,67,14
,Register Of Wills - Democrat,15
,Ronald R Donatucci,15
Ronald R Donatucci,73,15
Total,73,15
,Register Of Wills - Democrat,16
,Ronald R Donatucci,16
Ronald R Donatucci,65,16
Total,65,16
,Register Of Wills - Democrat,17
,Ronald R Donatucci,17
Ronald R Donatucci,52,17
Total,52,17
,Register Of Wills - Democrat,18
,Ronald R Donatucci,18
Ronald R Donatucci,63,18
Total,63,18
,Register Of Wills - Democrat,19
,Ronald R Donatucci,19
Ronald R Donatucci,60,19
Total,60,19
,Register Of Wills - Democrat,20
,Ronald R Donatucci,20
Ronald R Donatucci,67,20
Total,67,20
,Register Of Wills - Democrat,21
,Ronald R Donatucci,21
Ronald R Donatucci,71,21
Total,71,21
,Register Of Wills - Democrat,22
,Ronald R Donatucci,22
Ronald R Donatucci,68,22
Total,68,22
,Register Of Wills - Democrat,23
,Ronald R Donatucci,23
Ronald R Donatucci,24,23
Total,24,23
