col_1,col_2,division
,District Council 3rd District - Democrat,All
,Jannie L Blackwell,All
Jannie L Blackwell,"2,762",All
Total,"2,762",All
,District Council 3rd District - Democrat,1
,Jannie L Blackwell,1
Jannie L Blackwell,94,1
Total,94,1
,District Council 3rd District - Democrat,2
,Jannie L Blackwell,2
Jannie L Blackwell,93,2
Total,93,2
,District Council 3rd District - Democrat,3
,Jannie L Blackwell,3
Jannie L Blackwell,138,3
Total,138,3
,District Council 3rd District - Democrat,4
,Jannie L Blackwell,4
Jannie L Blackwell,158,4
Total,158,4
,District Council 3rd District - Democrat,5
,Jannie L Blackwell,5
Jannie L Blackwell,80,5
Total,80,5
,District Council 3rd District - Democrat,6
,Jannie L Blackwell,6
Jannie L Blackwell,113,6
Total,113,6
,District Council 3rd District - Democrat,7
,Jannie L Blackwell,7
Jannie L Blackwell,103,7
Total,103,7
,District Council 3rd District - Democrat,8
,Jannie L Blackwell,8
Jannie L Blackwell,112,8
Total,112,8
,District Council 3rd District - Democrat,9
,Jannie L Blackwell,9
Jannie L Blackwell,164,9
Total,164,9
,District Council 3rd District - Democrat,10
,Jannie L Blackwell,10
Jannie L Blackwell,130,10
Total,130,10
,District Council 3rd District - Democrat,11
,Jannie L Blackwell,11
Jannie L Blackwell,159,11
Total,159,11
,District Council 3rd District - Democrat,12
,Jannie L Blackwell,12
Jannie L Blackwell,123,12
Total,123,12
,District Council 3rd District - Democrat,13
,Jannie L Blackwell,13
Jannie L Blackwell,89,13
Total,89,13
,District Council 3rd District - Democrat,14
,Jannie L Blackwell,14
Jannie L Blackwell,169,14
Total,169,14
,District Council 3rd District - Democrat,15
,Jannie L Blackwell,15
Jannie L Blackwell,130,15
Total,130,15
,District Council 3rd District - Democrat,16
,Jannie L Blackwell,16
Jannie L Blackwell,155,16
Total,155,16
,District Council 3rd District - Democrat,17
,Jannie L Blackwell,17
Jannie L Blackwell,152,17
Total,152,17
,District Council 3rd District - Democrat,18
,Jannie L Blackwell,18
Jannie L Blackwell,161,18
Total,161,18
,District Council 3rd District - Democrat,19
,Jannie L Blackwell,19
Jannie L Blackwell,174,19
Total,174,19
,District Council 3rd District - Democrat,20
,Jannie L Blackwell,20
Jannie L Blackwell,109,20
Total,109,20
,District Council 3rd District - Democrat,21
,Jannie L Blackwell,21
Jannie L Blackwell,85,21
Total,85,21
,District Council 3rd District - Democrat,22
,Jannie L Blackwell,22
Jannie L Blackwell,71,22
Total,71,22
