col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,division
,District Council 2nd District - Democrat,,Council At Large - Democrat,,,,,,,,,,,,,,,,All
,Kenyatta Johnson,Ori C Feibush,Derek S Green,Blondell Reynolds Brown,Allan Domb,Isaiah Thomas,W Wilson Goode Jr,Sherrie Cohen,Jenne Ayers,William K Greenlee,Helen Gym,Thomas Wyatt,Frank Rizzo,Ed Neilson,Paul Steinke,Wilson Alexander,Carla M Cain,Marnie Aument Loughrey,All
Kenyatta Johnson,565,0,560,520,342,409,360,291,300,288,177,173,138,159,116,171,122,58,All
Ori C Feibush,,84,100,83,169,72,59,97,95,79,134,70,106,75,104,48,43,32,All
Derek S Green,,,8,172,146,141,121,75,144,94,59,116,52,48,74,126,56,34,All
Blondell Reynolds Brown,,,,5,196,246,290,252,85,263,114,70,77,131,66,41,61,35,All
Allan Domb,,,,,38,113,97,124,83,149,88,102,110,108,97,50,64,23,All
Isaiah Thomas,,,,,,9,224,133,73,140,78,74,58,44,66,40,33,18,All
W Wilson Goode Jr,,,,,,,2,157,63,165,86,34,72,51,30,33,26,12,All
Sherrie Cohen,,,,,,,,1,88,188,132,52,60,80,91,24,63,28,All
Jenne Ayers,,,,,,,,,7,30,95,59,52,22,41,96,81,33,All
William K Greenlee,,,,,,,,,,1,61,44,55,133,61,18,21,17,All
Helen Gym,,,,,,,,,,,4,47,51,38,109,18,59,36,All
Thomas Wyatt,,,,,,,,,,,,8,37,14,76,58,50,18,All
Frank Rizzo,,,,,,,,,,,,,16,20,41,18,27,22,All
Ed Neilson,,,,,,,,,,,,,,3,34,12,7,10,All
Paul Steinke,,,,,,,,,,,,,,,3,22,25,15,All
Wilson Alexander,,,,,,,,,,,,,,,,5,24,11,All
Carla M Cain,,,,,,,,,,,,,,,,,7,29,All
Marnie Aument Loughrey,,,,,,,,,,,,,,,,,,1,All
Total,"2,017",539,698,657,595,531,454,430,415,403,341,287,275,250,250,233,199,95,All
,District Council 2nd District - Democrat,,Council At Large - Democrat,,,,,,,,,,,,,,,,1
,Kenyatta Johnson,Ori C Feibush,Derek S Green,Blondell Reynolds Brown,Allan Domb,Sherrie Cohen,William K Greenlee,Isaiah Thomas,Ed Neilson,Helen Gym,W Wilson Goode Jr,Jenne Ayers,Paul Steinke,Thomas Wyatt,Frank Rizzo,Wilson Alexander,Carla M Cain,Marnie Aument Loughrey,1
Kenyatta Johnson,18,0,35,23,14,11,16,14,12,6,12,11,7,13,6,6,5,4,1
Ori C Feibush,,2,3,5,5,7,3,1,2,7,1,3,5,1,6,3,2,1,1
Derek S Green,,,0,17,12,8,8,7,5,2,6,3,6,8,5,3,3,1,1
Blondell Reynolds Brown,,,,0,8,9,11,4,6,6,7,2,4,5,4,2,2,3,1
Allan Domb,,,,,1,4,6,4,3,2,3,2,4,4,3,0,2,1,1
Sherrie Cohen,,,,,,0,3,4,3,5,4,4,8,5,3,4,4,4,1
William K Greenlee,,,,,,,0,5,11,4,8,3,3,3,1,1,0,1,1
Isaiah Thomas,,,,,,,,0,2,2,6,1,2,4,3,3,0,1,1
Ed Neilson,,,,,,,,,0,4,4,1,2,0,0,1,0,0,1
Helen Gym,,,,,,,,,,0,3,3,4,1,2,2,3,3,1
W Wilson Goode Jr,,,,,,,,,,,0,1,1,1,2,2,0,1,1
Jenne Ayers,,,,,,,,,,,,0,1,3,0,1,4,3,1
