col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,division
,Justice Of The Supreme Court - Democrat,,,,,,City Commissioners - Democrat,,,,,,All
,Kevin M Dougherty,Anne E Lazarus,David Wecht,Christine Donohue,Dwayne D Woodruff,John Henry Foradora,Anthony Clark,Lisa M Deeley,Carol A Jenkins,Tracey L Gordon,Omar Sabir,Will Mega,All
Kevin M Dougherty,"22,261","58,552","34,799","35,530","9,033","8,250","49,045","38,114","26,808","23,175","23,293","11,485",All
Anne E Lazarus,,"3,269","28,165","29,578","5,800","7,030","28,254","23,626","24,964","17,167","14,824","8,593",All
David Wecht,,,"3,922","16,658","3,370","3,657","29,088","15,803","13,155","9,174","8,742","8,896",All
Christine Donohue,,,,"2,884","4,825","3,672","26,394","16,070","15,403","12,986","10,087","8,540",All
Dwayne D Woodruff,,,,,399,"1,441","6,316","3,284","3,365","3,753","4,017","2,381",All
John Henry Foradora,,,,,,404,"5,200","2,937","4,331","4,098","2,672","2,578",All
Anthony Clark,,,,,,,"3,289","12,188","8,538","9,025","7,706","6,653",All
Lisa M Deeley,,,,,,,,664,"9,167","4,369","8,128","2,315",All
Carol A Jenkins,,,,,,,,,679,"6,598","2,119","1,632",All
Tracey L Gordon,,,,,,,,,,853,"2,852","2,029",All
Omar Sabir,,,,,,,,,,,"1,186","2,369",All
Will Mega,,,,,,,,,,,,581,All
Total,"140,495","81,482","63,095","61,205","14,449","14,406","74,989","47,098","37,577","31,796","30,915","20,450",All
