col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,division
,Judge Of The Commonwealth Court - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Michael Wojcik,Todd Eagen,Tracy B Roman,Ken Powell,Daine Grey Jr,Frances Fattah,Jennifer Schultz,Jon Marshall,Vincent Furlong,James F Berardinelli,Kai Scott,Deborah Watson Stokes,Leon Goodman,Lyris Younge,Scott Diclaudio,Abbe Fletman,Brian T Ortelere,Edward William Louden Jr,Stephanie M Sawyer,Leon A King Ii,Lynne M Summers,Mia Roberts Perez,Rainy Papademetriou,Rania Major,Betsy Wahl,Anthony Kyriakakis,Chris Mccabe,Sandjai Weaver,Wayne M D Bennett,Shanese Johnson,Marissa Brumbach,Sherman Toppin,Starr Marshall Cash,Stella Tsai,Tangie M Boston,Thomas Martin,Franklin A Bennett Iii,Jodi Lobel,Lucretia Clemons,Joshua Hill,Vince Giusini,Vincent N Melchiorre,William J Ciancaglini,Chris Mallios,Michael Fanning,1
Michael Wojcik,1,0,9,7,7,7,5,9,7,7,5,5,5,7,5,4,6,6,5,3,4,4,5,1,3,4,0,2,3,2,2,3,1,1,2,4,0,1,1,1,2,0,0,0,0,1
Todd Eagen,,1,4,5,4,1,6,2,3,2,4,3,2,1,3,2,1,2,2,3,4,1,1,3,4,2,3,1,2,2,1,1,1,2,1,0,2,2,2,0,0,1,1,1,0,1
Tracy B Roman,,,1,5,5,4,5,6,1,4,3,5,4,6,4,4,4,5,5,0,2,2,2,2,3,2,0,3,1,3,1,1,1,2,2,1,1,0,1,1,0,0,0,0,0,1
Ken Powell,,,,0,7,5,8,5,4,6,2,4,6,3,2,1,2,6,2,3,3,1,1,1,1,2,4,0,1,1,0,1,0,1,1,0,1,1,2,0,0,1,1,0,0,1
Daine Grey Jr,,,,,0,5,9,5,5,7,5,5,4,6,4,5,5,5,4,2,3,2,4,1,3,2,3,1,3,1,1,2,0,2,1,1,2,1,2,0,0,2,1,1,1,1
Frances Fattah,,,,,,1,3,3,4,3,4,6,3,4,1,1,1,3,6,2,3,5,2,2,0,2,2,2,3,2,1,2,2,2,2,1,1,0,1,1,0,2,1,0,1,1
Jennifer Schultz,,,,,,,0,5,8,8,3,4,6,2,3,5,6,4,2,4,4,1,4,2,3,3,4,1,2,1,1,1,1,1,1,0,1,2,1,1,0,1,1,0,0,1
Jon Marshall,,,,,,,,0,5,5,3,2,4,3,3,2,3,4,3,3,2,0,3,1,3,5,1,0,2,0,1,3,1,1,1,2,1,1,2,1,0,0,0,1,0,1
Vincent Furlong,,,,,,,,,0,5,3,2,2,1,1,3,5,4,1,4,3,1,5,1,1,3,3,0,2,0,1,2,1,0,0,1,1,1,1,1,1,1,0,0,0,1
James F Berardinelli,,,,,,,,,,0,1,2,3,3,3,4,4,4,2,2,3,0,4,0,2,3,2,1,1,1,1,1,0,1,1,0,0,2,2,1,0,0,1,0,0,1
Kai Scott,,,,,,,,,,,0,6,2,5,2,3,3,2,5,2,4,5,1,5,6,1,3,3,2,2,3,3,2,2,2,2,1,2,1,0,1,1,1,1,1,1
Deborah Watson Stokes,,,,,,,,,,,,0,3,4,2,2,2,2,6,2,4,5,2,5,4,1,1,4,2,4,2,2,2,3,4,1,1,1,1,0,0,1,1,0,0,1
Leon Goodman,,,,,,,,,,,,,1,2,3,1,3,2,1,3,2,2,1,1,0,2,2,1,2,0,0,2,0,0,1,1,0,0,1,0,1,0,0,0,0,1
Lyris Younge,,,,,,,,,,,,,,1,3,2,2,4,4,0,4,4,1,1,3,1,2,2,1,2,2,2,0,1,1,1,0,1,1,0,0,1,1,0,1,1
Scott Diclaudio,,,,,,,,,,,,,,,1,2,4,2,1,0,1,1,2,0,1,0,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1
