col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,division
,District Council 8th District - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Cindy Bass,Kai Scott,Ken Powell,Mia Roberts Perez,Abbe Fletman,Rainy Papademetriou,Daine Grey Jr,Tracy B Roman,Lyris Younge,Leon Goodman,Frances Fattah,Chris Mallios,Stephanie M Sawyer,Deborah Watson Stokes,Jennifer Schultz,Stella Tsai,Scott Diclaudio,Betsy Wahl,Brian T Ortelere,Jon Marshall,Michael Fanning,Thomas Martin,Leon A King Ii,Lucretia Clemons,Lynne M Summers,Vincent N Melchiorre,Anthony Kyriakakis,Edward William Louden Jr,James F Berardinelli,Shanese Johnson,Wayne M D Bennett,Sherman Toppin,Marissa Brumbach,Vincent Furlong,Rania Major,Joshua Hill,Chris Mccabe,Jodi Lobel,Sandjai Weaver,Vince Giusini,Tangie M Boston,Franklin A Bennett Iii,Starr Marshall Cash,William J Ciancaglini,All
Cindy Bass,"2,404","7,846","7,136","6,417","5,954","5,639","5,864","6,143","5,483","5,260","5,118","4,519","4,639","4,330","4,126","3,910","4,189","3,504","3,442","3,535","3,483","3,261","3,052","2,858","2,916","2,603","2,329","2,571","2,209","2,470","2,372","2,225","2,152","1,966","1,858","1,727","1,665","1,567","1,721","1,193","1,116","1,045",963,685,All
Kai Scott,,104,"3,992","5,302","5,189","4,147","4,087","2,838","3,089","2,056","2,620","4,515","3,602","2,987","1,560","3,047","1,519","2,524","1,786",851,"2,957","1,983","1,655","1,677","1,359","2,560","1,723",620,954,"1,340","1,155","1,142",832,734,824,944,"1,190",916,856,583,546,442,493,282,All
Ken Powell,,,130,"3,508","3,621","3,173","3,256","3,670","3,037","2,975","2,009","3,021","1,901","1,623","1,495","1,592","2,549","1,052","1,929","2,050","2,718","1,979","1,294",856,"1,017","1,659",926,"1,632","1,104",818,989,787,488,896,603,825,620,509,572,479,325,429,273,246,All
Mia Roberts Perez,,,,74,"4,336","3,582","3,452","2,626","2,270","1,606","2,184","3,869","3,059","2,625","1,524","2,901","1,343","2,245","1,380",633,"2,761","1,557","1,219","1,399","1,167","2,196","1,481",460,704,952,803,979,810,547,774,794,934,827,628,382,397,278,472,251,All
Abbe Fletman,,,,,69,"4,254","3,616","2,414","1,957","1,526","1,448","4,279","2,316","1,964","1,599","2,959","1,447","2,106","2,006",714,"2,443","1,534",896,"1,042",692,"2,226","1,571",508,"1,191",508,630,585,556,673,424,658,976,790,376,402,190,188,208,169,All
Rainy Papademetriou,,,,,,59,"3,018","1,982","1,415","2,121","1,889","3,333","1,883","1,838","1,932","2,659","1,066","1,783","2,703","1,419","2,167","1,741",801,"1,047",630,"1,703","1,740",623,"1,221",490,530,464,"1,130",723,451,527,647,742,399,319,183,200,183,163,All
Daine Grey Jr,,,,,,,82,"2,195","2,504","2,319","1,430","2,687","2,730","2,446","1,570","2,287","1,878","1,799","1,336","1,151","1,832","1,169","1,324",932,"1,160","1,416","1,356",936,"1,227",936,"1,049",902,611,"1,005",715,713,615,534,717,543,423,352,395,202,All
Tracy B Roman,,,,,,,,105,"3,014","2,074","2,133","1,687","1,816","1,259","1,733",951,"2,515","1,041","1,642","1,759","1,766","1,651","1,091",960,"1,347","1,459",460,"1,610",886,"1,019",875,750,710,888,905,560,340,450,673,444,457,394,353,236,All
Lyris Younge,,,,,,,,,152,"1,741","1,554","1,376","2,110","1,326","1,330",757,"2,362",903,803,"1,684","1,437","1,141","1,069","1,003","1,108","1,046",525,"1,528",671,983,824,"1,054",576,703,643,453,615,485,591,454,360,304,387,184,All
Leon Goodman,,,,,,,,,,122,"1,875","1,152",965,"1,776","1,792","1,309","1,737",818,"1,408","2,286","1,011","1,050","1,358",742,960,342,658,"1,398","1,010",781,"1,021",735,921,892,578,672,417,418,642,434,388,434,275,251,All
Frances Fattah,,,,,,,,,,,101,"1,070","1,534","1,682","1,678",924,741,"1,024","1,667","1,271","1,182","1,535","1,381","1,069","1,381","1,092",447,630,493,"1,282",987,987,"1,135",832,831,674,525,442,754,332,541,492,462,290,All
Chris Mallios,,,,,,,,,,,,25,"2,091","1,737",731,"2,318","1,027","1,663","1,261",371,"2,532","1,175",646,533,355,"1,989","1,360",177,680,293,447,348,292,215,172,491,752,555,248,261,122,153,221,138,All
Stephanie M Sawyer,,,,,,,,,,,,,52,"2,241","1,228","1,685","1,044","1,867",598,463,"1,413","1,108","1,165","1,089","1,237","1,248","1,081",400,581,"1,102",783,695,788,510,749,518,559,563,639,360,534,293,479,263,All
