col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,division
,City Commissioners - Democrat,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,All
,Anthony Clark,Lisa M Deeley,Carol A Jenkins,Tracey L Gordon,Omar Sabir,Will Mega,Derek S Green,Blondell Reynolds Brown,Allan Domb,William K Greenlee,Helen Gym,Isaiah Thomas,W Wilson Goode Jr,Sherrie Cohen,Ed Neilson,Paul Steinke,Jenne Ayers,Thomas Wyatt,Frank Rizzo,Wilson Alexander,Carla M Cain,Marnie Aument Loughrey,All
Anthony Clark,"4,104","12,188","8,538","9,025","7,706","6,653","33,650","26,450","20,371","19,012","11,011","16,491","20,369","15,880","13,573","10,207","15,881","11,216","10,195","11,845","6,051","3,844",All
Lisa M Deeley,,"1,066","9,167","4,369","8,128","2,315","16,674","18,122","14,099","21,409","13,883","12,530","10,981","16,033","20,047","10,496","6,607","6,390","7,111","2,209","4,818","3,879",All
Carol A Jenkins,,,519,"6,598","2,119","1,632","11,678","11,594","13,759","9,545","17,627","8,427","7,741","14,371","4,377","13,387","7,814","10,052","5,616","3,421","6,807","3,132",All
Tracey L Gordon,,,,777,"2,852","2,029","11,041","10,868","11,834","6,547","9,327","8,520","8,061","9,245","4,352","6,407","8,016","7,611","5,485","4,409","6,443","3,019",All
Omar Sabir,,,,,885,"2,369","13,683","16,689","6,802","11,166","6,891","14,892","12,955","7,190","8,743","3,958","4,387","3,402","3,232","2,531","2,346","1,678",All
Will Mega,,,,,,640,"9,811","6,426","5,862","4,730","4,802","5,586","5,277","4,437","2,737","3,287","6,607","3,579","2,828","4,943","1,952","1,035",All
Derek S Green,,,,,,,"2,587","22,987","17,391","18,511","11,548","20,049","14,751","11,371","13,042","10,547","12,562","12,389","5,720","10,395","5,356","3,120",All
Blondell Reynolds Brown,,,,,,,,"1,526","14,695","25,554","15,329","20,600","27,570","19,167","16,564","8,386","8,004","5,871","6,713","4,394","4,881","3,292",All
Allan Domb,,,,,,,,,"3,724","14,167","14,066","11,964","10,184","12,337","10,648","15,132","8,246","11,839","9,953","4,685","5,746","3,101",All
William K Greenlee,,,,,,,,,,666,"12,142","14,004","16,867","17,362","21,724","8,645","3,958","4,818","6,533","2,083","2,105","3,162",All
Helen Gym,,,,,,,,,,,"2,157","11,973","11,700","19,277","6,223","17,175","7,747","9,411","5,054","2,142","4,895","3,205",All
Isaiah Thomas,,,,,,,,,,,,"1,811","17,769","9,817","9,958","9,832","5,627","8,422","4,475","2,923","2,841","1,379",All
W Wilson Goode Jr,,,,,,,,,,,,,861,"13,880","11,092","6,093","5,323","4,532","6,574","3,028","2,756","1,316",All
Sherrie Cohen,,,,,,,,,,,,,,520,"10,226","11,735","8,050","6,602","6,482","2,699","5,825","2,903",All
Ed Neilson,,,,,,,,,,,,,,,"2,318","5,091","2,374","3,599","5,212","1,488","1,488","2,580",All
Paul Steinke,,,,,,,,,,,,,,,,657,"4,533","12,740","5,139","2,137","2,390","2,056",All
Jenne Ayers,,,,,,,,,,,,,,,,,"1,047","5,570","3,871","7,356","6,552","3,161",All
Thomas Wyatt,,,,,,,,,,,,,,,,,,556,"3,868","4,296","3,880","1,755",All
Frank Rizzo,,,,,,,,,,,,,,,,,,,"1,396","1,886","2,584","2,016",All
Wilson Alexander,,,,,,,,,,,,,,,,,,,,665,"2,348","1,012",All
Carla M Cain,,,,,,,,,,,,,,,,,,,,,244,"2,630",All
Marnie Aument Loughrey,,,,,,,,,,,,,,,,,,,,,,202,All
Total,"74,989","47,098","37,577","31,796","30,915","20,450","67,939","62,105","56,882","50,197","48,463","47,370","45,755","45,152","40,309","36,468","32,305","29,947","25,656","19,040","16,888","10,726",All
