col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,Mayor - Democrat,,,,,,All
,Jim Kenney,Anthony Hardy Williams,Lynne M Abraham,Nelson Diaz,Doug Oliver,T Milton Street Sr,All
Jim Kenney,"1,470",0,0,0,0,0,All
Anthony Hardy Williams,,538,0,0,0,0,All
Lynne M Abraham,,,276,0,0,0,All
Nelson Diaz,,,,156,0,0,All
Doug Oliver,,,,,100,0,All
T Milton Street Sr,,,,,,40,All
Total,"1,470",538,276,156,100,40,All
,Mayor - Democrat,,,,,,1
,Jim Kenney,Anthony Hardy Williams,Nelson Diaz,Lynne M Abraham,Doug Oliver,T Milton Street Sr,1
Jim Kenney,52,0,0,0,0,0,1
Anthony Hardy Williams,,17,0,0,0,0,1
Nelson Diaz,,,6,0,0,0,1
Lynne M Abraham,,,,5,0,0,1
Doug Oliver,,,,,3,0,1
T Milton Street Sr,,,,,,2,1
Total,52,17,6,5,3,2,1
,Mayor - Democrat,,,,,,2
,Jim Kenney,Anthony Hardy Williams,Lynne M Abraham,Nelson Diaz,Doug Oliver,T Milton Street Sr,2
Jim Kenney,38,0,0,0,0,0,2
Anthony Hardy Williams,,20,0,0,0,0,2
Lynne M Abraham,,,9,0,0,0,2
Nelson Diaz,,,,8,0,0,2
Doug Oliver,,,,,5,0,2
T Milton Street Sr,,,,,,1,2
Total,38,20,9,8,5,1,2
,Mayor - Democrat,,,,,,3
,Jim Kenney,Anthony Hardy Williams,Lynne M Abraham,Nelson Diaz,T Milton Street Sr,Doug Oliver,3
Jim Kenney,41,0,0,0,0,0,3
Anthony Hardy Williams,,15,0,0,0,0,3
Lynne M Abraham,,,13,0,0,0,3
Nelson Diaz,,,,2,0,0,3
T Milton Street Sr,,,,,2,0,3
Doug Oliver,,,,,,1,3
Total,41,15,13,2,2,1,3
,Mayor - Democrat,,,,,,4
,Anthony Hardy Williams,Jim Kenney,Lynne M Abraham,Doug Oliver,Nelson Diaz,T Milton Street Sr,4
Anthony Hardy Williams,56,0,0,0,0,0,4
Jim Kenney,,46,0,0,0,0,4
Lynne M Abraham,,,14,0,0,0,4
Doug Oliver,,,,5,0,0,4
Nelson Diaz,,,,,5,0,4
T Milton Street Sr,,,,,,3,4
Total,56,46,14,5,5,3,4
,Mayor - Democrat,,,,,,5
,Jim Kenney,Anthony Hardy Williams,Lynne M Abraham,Doug Oliver,Nelson Diaz,T Milton Street Sr,5
Jim Kenney,55,0,0,0,0,0,5
Anthony Hardy Williams,,12,0,0,0,0,5
Lynne M Abraham,,,6,0,0,0,5
Doug Oliver,,,,5,0,0,5
Nelson Diaz,,,,,4,0,5
T Milton Street Sr,,,,,,3,5
Total,55,12,6,5,4,3,5
,Mayor - Democrat,,,,,,6
