col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,division
,Justice Of The Supreme Court - Democrat,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,All
,Kevin M Dougherty,David Wecht,Christine Donohue,Anne E Lazarus,John Henry Foradora,Dwayne D Woodruff,Derek S Green,Marnie Aument Loughrey,Allan Domb,Blondell Reynolds Brown,Jenne Ayers,William K Greenlee,Ed Neilson,Frank Rizzo,W Wilson Goode Jr,Wilson Alexander,Thomas Wyatt,Sherrie Cohen,Isaiah Thomas,Paul Steinke,Helen Gym,Carla M Cain,All
Kevin M Dougherty,74,182,192,251,55,49,226,236,179,179,118,175,140,145,129,79,108,108,105,92,86,88,All
David Wecht,,38,99,106,22,24,152,108,74,92,89,70,64,49,65,69,71,42,43,38,38,29,All
Christine Donohue,,,17,142,30,25,143,94,76,74,122,57,52,66,55,82,66,66,43,45,62,57,All
Anne E Lazarus,,,,11,53,21,119,99,108,100,90,67,58,86,64,58,68,77,61,75,77,61,All
John Henry Foradora,,,,,8,11,40,22,34,27,37,20,19,19,15,21,36,24,13,22,16,26,All
Dwayne D Woodruff,,,,,,2,30,18,23,33,19,17,15,12,18,15,29,19,20,16,17,14,All
Derek S Green,,,,,,,8,82,66,85,85,73,56,36,51,73,72,40,61,49,40,35,All
Marnie Aument Loughrey,,,,,,,,49,61,85,49,97,90,55,41,28,40,35,23,37,35,31,All
Allan Domb,,,,,,,,,8,62,47,42,28,58,39,25,49,40,46,65,37,31,All
Blondell Reynolds Brown,,,,,,,,,,4,37,91,60,37,78,31,39,43,58,22,35,22,All
Jenne Ayers,,,,,,,,,,,5,24,19,34,25,56,41,45,17,30,36,45,All
William K Greenlee,,,,,,,,,,,,4,86,47,55,18,25,28,32,25,17,16,All
Ed Neilson,,,,,,,,,,,,,17,24,47,17,21,25,28,19,24,17,All
Frank Rizzo,,,,,,,,,,,,,,6,43,20,27,41,26,32,26,29,All
W Wilson Goode Jr,,,,,,,,,,,,,,,1,19,18,34,50,13,30,16,All
Wilson Alexander,,,,,,,,,,,,,,,,4,43,26,15,20,13,15,All
Thomas Wyatt,,,,,,,,,,,,,,,,,0,31,25,47,23,23,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,1,22,25,41,39,All
Isaiah Thomas,,,,,,,,,,,,,,,,,,,5,24,27,8,All
Paul Steinke,,,,,,,,,,,,,,,,,,,,3,26,14,All
Helen Gym,,,,,,,,,,,,,,,,,,,,,7,32,All
Carla M Cain,,,,,,,,,,,,,,,,,,,,,,1,All
Total,779,393,384,355,120,77,385,364,239,234,231,210,201,185,167,166,162,150,149,135,133,123,All
,Justice Of The Supreme Court - Democrat,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,1
,Kevin M Dougherty,Anne E Lazarus,Christine Donohue,David Wecht,Dwayne D Woodruff,John Henry Foradora,Derek S Green,Marnie Aument Loughrey,Carla M Cain,Ed Neilson,Allan Domb,Isaiah Thomas,Jenne Ayers,Frank Rizzo,Thomas Wyatt,Helen Gym,William K Greenlee,Blondell Reynolds Brown,Sherrie Cohen,W Wilson Goode Jr,Wilson Alexander,Paul Steinke,1
Kevin M Dougherty,3,18,16,7,2,1,14,13,10,11,10,10,4,7,7,4,8,4,2,7,4,2,1
Anne E Lazarus,,0,15,5,3,2,7,11,9,10,7,6,5,6,5,8,4,6,4,2,4,4,1
Christine Donohue,,,1,5,1,0,6,9,8,8,8,5,6,3,6,5,3,5,4,1,5,3,1
David Wecht,,,,3,0,0,8,3,2,3,3,5,4,4,5,2,2,1,1,4,3,2,1
Dwayne D Woodruff,,,,,0,1,1,1,3,2,1,0,2,1,2,2,0,1,2,1,1,0,1
