col_1,col_2,col_3,division
,District Council 10th District - Republican,Sheriff - Republican,All
,Brian J O Neill,Christopher Sawyer,All
Brian J O Neill,"1,063","2,953",All
Christopher Sawyer,,637,All
Total,"4,016","3,590",All
