col_1,col_2,col_3,division
,Mayor - Republican,Judge Of The Court Of Common Pleas - Republican,1
,Melissa Murray Bailey,Vincent Furlong,1
Melissa Murray Bailey,0,5,1
Vincent Furlong,,0,1
Total,5,5,1
,Mayor - Republican,Judge Of The Court Of Common Pleas - Republican,2
,Melissa Murray Bailey,Vincent Furlong,2
Melissa Murray Bailey,0,5,2
Vincent Furlong,,0,2
Total,5,5,2
,Mayor - Republican,Judge Of The Court Of Common Pleas - Republican,3
,Melissa Murray Bailey,Vincent Furlong,3
Melissa Murray Bailey,0,6,3
Vincent Furlong,,0,3
Total,6,6,3
,Mayor - Republican,Judge Of The Court Of Common Pleas - Republican,4
,Melissa Murray Bailey,Vincent Furlong,4
Melissa Murray Bailey,0,3,4
Vincent Furlong,,0,4
Total,3,3,4
,Judge Of The Court Of Common Pleas - Republican,Mayor - Republican,5
,Vincent Furlong,Melissa Murray Bailey,5
Vincent Furlong,2,3,5
Melissa Murray Bailey,,0,5
Total,5,3,5
,Judge Of The Court Of Common Pleas - Republican,Mayor - Republican,6
,Vincent Furlong,Melissa Murray Bailey,6
Vincent Furlong,1,10,6
Melissa Murray Bailey,,0,6
Total,11,10,6
,Mayor - Republican,Judge Of The Court Of Common Pleas - Republican,7
,Melissa Murray Bailey,Vincent Furlong,7
Melissa Murray Bailey,1,14,7
Vincent Furlong,,0,7
Total,15,14,7
,Mayor - Republican,Judge Of The Court Of Common Pleas - Republican,8
,Melissa Murray Bailey,Vincent Furlong,8
Melissa Murray Bailey,1,7,8
Vincent Furlong,,0,8
Total,8,7,8
,Mayor - Republican,Judge Of The Court Of Common Pleas - Republican,9
,Melissa Murray Bailey,Vincent Furlong,9
Melissa Murray Bailey,0,8,9
Vincent Furlong,,0,9
Total,8,8,9
,Mayor - Republican,Judge Of The Court Of Common Pleas - Republican,10
,Melissa Murray Bailey,Vincent Furlong,10
Melissa Murray Bailey,0,3,10
Vincent Furlong,,0,10
Total,3,3,10
,Judge Of The Court Of Common Pleas - Republican,Mayor - Republican,11
,Vincent Furlong,Melissa Murray Bailey,11
Vincent Furlong,2,5,11
Melissa Murray Bailey,,0,11
Total,7,5,11
,Mayor - Republican,Judge Of The Court Of Common Pleas - Republican,12
,Melissa Murray Bailey,Vincent Furlong,12
Melissa Murray Bailey,0,2,12
Vincent Furlong,,0,12
Total,2,2,12
,Mayor - Republican,Judge Of The Court Of Common Pleas - Republican,13
,Melissa Murray Bailey,Vincent Furlong,13
Melissa Murray Bailey,2,0,13
Vincent Furlong,,0,13
Total,2,0,13
,Mayor - Republican,Judge Of The Court Of Common Pleas - Republican,14
,Melissa Murray Bailey,Vincent Furlong,14
Melissa Murray Bailey,0,2,14
Vincent Furlong,,0,14
Total,2,2,14
,Judge Of The Court Of Common Pleas - Republican,Mayor - Republican,15
,Vincent Furlong,Melissa Murray Bailey,15
Vincent Furlong,1,3,15
Melissa Murray Bailey,,0,15
Total,4,3,15
,Mayor - Republican,Judge Of The Court Of Common Pleas - Republican,16
,Melissa Murray Bailey,Vincent Furlong,16
Melissa Murray Bailey,1,8,16
Vincent Furlong,,0,16
Total,9,8,16
,Judge Of The Court Of Common Pleas - Republican,Mayor - Republican,17
,Vincent Furlong,Melissa Murray Bailey,17
Vincent Furlong,1,14,17
Melissa Murray Bailey,,0,17
Total,15,14,17
,Judge Of The Court Of Common Pleas - Republican,Mayor - Republican,All
,Vincent Furlong,Melissa Murray Bailey,All
Vincent Furlong,7,98,All
Melissa Murray Bailey,,5,All
Total,105,103,All
