col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,City Commissioners - Democrat,,,,,,All
,Derek S Green,Blondell Reynolds Brown,Isaiah Thomas,William K Greenlee,Allan Domb,W Wilson Goode Jr,Ed Neilson,Jenne Ayers,Wilson Alexander,Thomas Wyatt,Sherrie Cohen,Helen Gym,Carla M Cain,Frank Rizzo,Paul Steinke,Marnie Aument Loughrey,Anthony Clark,Omar Sabir,Lisa M Deeley,Tracey L Gordon,Will Mega,Carol A Jenkins,All
Derek S Green,42,405,370,352,178,171,282,196,170,120,81,62,58,42,50,33,476,274,283,138,164,102,All
Blondell Reynolds Brown,,13,395,356,164,245,281,107,69,76,125,92,65,61,57,35,279,318,273,131,61,101,All
Isaiah Thomas,,,41,325,141,196,281,65,30,67,59,75,45,50,35,26,215,276,264,89,81,64,All
William K Greenlee,,,,28,126,128,295,45,21,46,68,56,22,30,28,25,153,247,266,63,65,64,All
Allan Domb,,,,,30,85,80,75,56,79,57,49,56,28,38,18,181,59,71,87,82,75,All
W Wilson Goode Jr,,,,,,12,68,63,36,38,95,62,35,65,34,14,192,135,64,82,41,68,All
Ed Neilson,,,,,,,4,15,12,18,24,32,4,16,13,15,80,210,246,27,49,22,All
Jenne Ayers,,,,,,,,21,128,60,47,36,59,19,19,18,227,45,46,80,109,57,All
Wilson Alexander,,,,,,,,,11,48,25,12,26,14,20,11,179,26,17,48,84,38,All
Thomas Wyatt,,,,,,,,,,5,48,25,42,12,31,19,133,35,23,76,34,61,All
Sherrie Cohen,,,,,,,,,,,3,43,41,25,20,21,104,51,35,65,28,55,All
Helen Gym,,,,,,,,,,,,14,27,17,24,19,74,41,36,44,22,35,All
Carla M Cain,,,,,,,,,,,,,5,15,13,15,68,26,34,67,18,60,All
Frank Rizzo,,,,,,,,,,,,,,2,11,9,68,28,17,27,16,26,All
Paul Steinke,,,,,,,,,,,,,,,1,12,61,18,13,20,13,28,All
Marnie Aument Loughrey,,,,,,,,,,,,,,,,8,43,18,29,19,13,14,All
Anthony Clark,,,,,,,,,,,,,,,,,59,83,40,91,100,109,All
Omar Sabir,,,,,,,,,,,,,,,,,,4,220,30,13,15,All
Lisa M Deeley,,,,,,,,,,,,,,,,,,,2,26,48,15,All
Tracey L Gordon,,,,,,,,,,,,,,,,,,,,5,26,40,All
Will Mega,,,,,,,,,,,,,,,,,,,,,4,7,All
Carol A Jenkins,,,,,,,,,,,,,,,,,,,,,,6,All
Total,990,774,687,571,428,424,391,390,263,233,217,207,168,123,116,93,884,424,395,294,253,228,All
,City Commissioners - Democrat,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,1
,Anthony Clark,Will Mega,Carol A Jenkins,Omar Sabir,Lisa M Deeley,Tracey L Gordon,Derek S Green,Blondell Reynolds Brown,Isaiah Thomas,W Wilson Goode Jr,Allan Domb,Jenne Ayers,William K Greenlee,Thomas Wyatt,Ed Neilson,Helen Gym,Frank Rizzo,Sherrie Cohen,Carla M Cain,Paul Steinke,Marnie Aument Loughrey,Wilson Alexander,1
Anthony Clark,3,4,5,2,3,2,12,10,8,8,5,7,1,7,2,4,5,3,1,2,1,1,1
Will Mega,,0,0,1,3,2,7,5,4,3,6,4,4,2,3,3,3,1,2,0,1,0,1
