col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,division
,District Council 8th District - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Cindy Bass,Mia Roberts Perez,Kai Scott,Daine Grey Jr,Deborah Watson Stokes,Stephanie M Sawyer,Lyris Younge,Frances Fattah,Tracy B Roman,Abbe Fletman,Ken Powell,Anthony Kyriakakis,Betsy Wahl,Rainy Papademetriou,Chris Mallios,Stella Tsai,Scott Diclaudio,Jennifer Schultz,Leon Goodman,Vincent N Melchiorre,Shanese Johnson,Jon Marshall,Leon A King Ii,Michael Fanning,Brian T Ortelere,Marissa Brumbach,Thomas Martin,Rania Major,Wayne M D Bennett,Lynne M Summers,Lucretia Clemons,Sherman Toppin,Jodi Lobel,Joshua Hill,Edward William Louden Jr,Sandjai Weaver,Tangie M Boston,Starr Marshall Cash,Vincent Furlong,James F Berardinelli,Chris Mccabe,Franklin A Bennett Iii,Vince Giusini,William J Ciancaglini,1
Cindy Bass,13,47,48,41,39,37,37,34,35,26,30,21,23,22,25,21,28,27,26,16,20,19,17,19,22,15,15,18,16,16,14,13,11,14,12,12,11,8,10,10,6,8,7,4,1
Mia Roberts Perez,,2,38,30,34,33,22,17,13,25,14,21,26,21,24,25,11,10,11,22,6,4,10,14,7,9,8,11,9,8,8,11,6,8,2,6,6,3,3,1,6,3,3,2,1
Kai Scott,,,1,32,33,33,24,20,13,25,17,21,23,21,27,16,15,11,9,20,11,6,11,13,6,6,7,7,9,9,8,6,7,6,4,10,5,5,4,3,5,4,4,3,1
Daine Grey Jr,,,,0,28,30,20,13,17,24,14,17,21,25,25,19,18,6,9,18,7,6,10,10,9,4,10,9,8,3,4,7,3,1,7,4,4,5,6,2,6,2,2,1,1
Deborah Watson Stokes,,,,,0,33,19,16,11,19,6,19,27,19,23,22,6,12,13,18,10,6,12,9,7,11,9,13,6,10,12,10,12,6,4,7,8,6,9,1,7,4,2,3,1
Stephanie M Sawyer,,,,,,1,19,12,9,18,8,18,23,20,23,21,8,11,6,16,10,2,7,12,7,9,6,10,5,5,6,5,5,3,2,5,8,6,4,1,6,1,1,4,1
Lyris Younge,,,,,,,0,13,12,10,14,8,12,8,15,5,15,10,8,7,9,8,8,12,6,7,6,4,6,7,7,10,6,4,3,8,3,5,3,4,5,2,4,1,1
Frances Fattah,,,,,,,,0,11,4,9,5,5,4,6,6,7,11,12,2,9,6,11,5,8,5,10,9,9,9,4,10,3,8,4,8,4,3,6,2,2,4,2,2,1
Tracy B Roman,,,,,,,,,1,9,14,3,5,8,6,4,16,7,12,5,10,10,5,9,11,5,8,13,8,6,3,4,0,5,7,4,6,3,4,4,1,1,2,1,1
Abbe Fletman,,,,,,,,,,1,8,18,19,20,21,18,7,5,4,18,4,5,2,6,6,5,4,4,3,3,6,1,5,1,1,3,3,1,2,3,3,3,3,1,1
Ken Powell,,,,,,,,,,,1,7,4,7,7,6,16,11,12,8,10,11,6,10,10,6,7,6,8,6,3,4,4,8,7,6,3,0,4,4,0,3,2,2,1
Anthony Kyriakakis,,,,,,,,,,,,0,20,21,17,18,4,5,6,17,5,4,4,5,4,9,3,2,5,1,7,3,7,1,1,3,0,1,3,1,1,0,2,0,1
Betsy Wahl,,,,,,,,,,,,,0,16,19,19,3,9,4,17,5,0,5,7,3,10,4,6,2,6,7,3,7,0,0,3,5,4,3,0,2,2,3,1,1
Rainy Papademetriou,,,,,,,,,,,,,,1,17,19,8,6,6,15,4,5,2,5,6,6,7,4,5,3,9,1,7,1,4,4,3,1,2,2,2,0,2,0,1
Chris Mallios,,,,,,,,,,,,,,,0,14,10,2,1,18,1,3,4,9,4,6,2,0,4,1,3,4,5,2,1,3,1,4,0,1,5,1,2,1,1
Stella Tsai,,,,,,,,,,,,,,,,0,4,9,7,15,4,1,1,5,5,6,3,7,3,5,7,4,6,2,2,4,5,0,3,0,3,2,1,0,1
Scott Diclaudio,,,,,,,,,,,,,,,,,0,8,8,6,7,8,6,8,10,4,4,5,7,4,1,4,1,5,9,4,3,1,2,6,1,3,2,1,1
Jennifer Schultz,,,,,,,,,,,,,,,,,,0,11,2,8,7,5,6,7,7,6,10,6,13,6,5,6,6,5,5,7,2,6,5,0,4,4,3,1
Leon Goodman,,,,,,,,,,,,,,,,,,,1,3,7,10,7,3,9,5,7,8,8,4,2,5,3,6,7,2,4,1,7,3,1,3,1,1,1
Vincent N Melchiorre,,,,,,,,,,,,,,,,,,,,1,3,4,2,6,2,4,0,0,1,0,2,1,4,3,0,1,2,2,1,0,3,0,1,2,1
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,0,8,8,4,7,4,4,9,8,8,4,4,4,6,4,6,9,4,4,0,0,0,0,1,1
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,0,4,4,10,4,6,4,5,3,2,3,5,5,5,3,1,1,3,3,0,2,1,0,1
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,1,1,2,4,5,6,6,6,3,7,4,9,4,4,4,2,4,0,1,2,0,2,1
Michael Fanning,,,,,,,,,,,,,,,,,,,,,,,,0,4,9,7,7,2,2,4,7,5,1,1,2,4,5,1,2,4,1,2,2,1
Brian T Ortelere,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,6,4,0,3,3,5,7,3,2,1,1,5,1,3,3,1,1
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,6,2,3,7,3,7,1,1,1,5,3,1,0,1,0,2,1,1
Thomas Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,4,4,5,5,2,1,2,3,2,5,1,1,2,3,1,1
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,6,3,8,2,2,3,4,9,2,4,2,1,2,1,2,1
Wayne M D Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,6,0,6,3,5,2,2,2,2,1,1,2,0,1
Lynne M Summers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,3,5,7,3,5,3,2,4,2,0,4,3,2,1
Lucretia Clemons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,7,1,0,4,3,2,4,1,1,2,2,0,1
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,4,1,4,2,4,1,1,5,1,0,0,1
Jodi Lobel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,4,3,1,2,1,2,2,1,2,1
Joshua Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,2,1,1,2,0,4,1,2,1
Edward William Louden Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,0,1,2,0,1,1,0,1
Sandjai Weaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,2,2,0,2,1,0,1
Tangie M Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,0,1,0,0,2,1
Starr Marshall Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,4,1,1,1,1
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,2,1,0,1
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,3,2,1
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,2,1
Vince Giusini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1
William J Ciancaglini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,125,62,58,52,52,48,43,37,37,36,35,34,34,34,33,31,30,29,29,28,24,23,23,23,22,22,22,21,21,19,18,18,17,15,14,14,13,11,11,10,8,8,7,5,1
,District Council 8th District - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
