col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,District Council 7th District - Democrat,,All
,Derek S Green,Blondell Reynolds Brown,William K Greenlee,Allan Domb,Isaiah Thomas,Ed Neilson,Sherrie Cohen,W Wilson Goode Jr,Jenne Ayers,Helen Gym,Frank Rizzo,Thomas Wyatt,Paul Steinke,Wilson Alexander,Marnie Aument Loughrey,Carla M Cain,Maria Quinones Sanchez,Manny Morales,All
Derek S Green,918,"1,971","1,808","1,481","1,826","1,321",937,"1,013","1,413",702,634,"1,149",791,"1,290",628,573,"1,641","1,435",All
Blondell Reynolds Brown,,228,"2,505","1,118","1,798","1,847","1,665","2,002",727,968,679,591,520,457,754,509,"1,175",938,All
William K Greenlee,,,113,"1,220","1,506","2,754","1,494","1,461",402,726,745,465,634,262,"1,198",252,985,"1,301",All
Allan Domb,,,,565,"1,059",863,933,739,806,920,966,987,"1,088",549,460,639,"1,085",675,All
Isaiah Thomas,,,,,353,"1,179",851,"1,434",493,853,482,611,610,338,218,311,"1,213",517,All
Ed Neilson,,,,,,207,"1,096","1,030",256,486,457,318,382,214,866,200,870,"1,105",All
Sherrie Cohen,,,,,,,104,"1,213",803,"1,284",728,616,731,336,370,647,778,463,All
W Wilson Goode Jr,,,,,,,,114,420,754,707,341,352,299,204,279,794,472,All
Jenne Ayers,,,,,,,,,341,734,435,603,442,925,403,752,919,697,All
Helen Gym,,,,,,,,,,246,497,571,914,247,423,539,787,335,All
Frank Rizzo,,,,,,,,,,,215,410,539,258,338,338,639,478,All
Thomas Wyatt,,,,,,,,,,,,146,842,578,268,459,544,429,All
Paul Steinke,,,,,,,,,,,,,80,278,297,268,564,352,All
Wilson Alexander,,,,,,,,,,,,,,190,192,302,625,592,All
Marnie Aument Loughrey,,,,,,,,,,,,,,,43,329,455,"1,080",All
Carla M Cain,,,,,,,,,,,,,,,,92,479,293,All
Maria Quinones Sanchez,,,,,,,,,,,,,,,,,"2,026",0,All
Manny Morales,,,,,,,,,,,,,,,,,,"1,746",All
Total,"6,977","5,492","5,431","4,981","4,562","4,470","3,934","3,652","3,629","3,387","2,787","2,706","2,634","2,492","2,373","1,973","6,510","5,646",All
