col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,division
,District Council 7th District - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Maria Quinones Sanchez,Manny Morales,Tracy B Roman,Ken Powell,Mia Roberts Perez,Leon Goodman,Scott Diclaudio,Jon Marshall,Lyris Younge,Jennifer Schultz,Frances Fattah,Edward William Louden Jr,Kai Scott,Daine Grey Jr,Abbe Fletman,Stephanie M Sawyer,Thomas Martin,Deborah Watson Stokes,Brian T Ortelere,Leon A King Ii,Rainy Papademetriou,Vincent Furlong,Lynne M Summers,Michael Fanning,James F Berardinelli,Wayne M D Bennett,Rania Major,Lucretia Clemons,Betsy Wahl,Chris Mallios,Shanese Johnson,Sherman Toppin,Vince Giusini,Stella Tsai,Vincent N Melchiorre,Joshua Hill,Sandjai Weaver,Anthony Kyriakakis,Marissa Brumbach,Tangie M Boston,Franklin A Bennett Iii,Chris Mccabe,Starr Marshall Cash,William J Ciancaglini,Jodi Lobel,All
Maria Quinones Sanchez,322,0,131,109,118,88,72,63,70,67,66,61,65,58,67,47,43,48,45,35,41,37,40,38,33,29,34,35,33,35,25,29,24,30,28,26,31,20,23,16,16,20,15,19,14,All
Manny Morales,,187,61,60,30,41,47,51,36,34,28,33,28,25,13,27,31,24,16,27,12,18,21,19,16,22,17,12,14,9,18,15,16,11,12,16,9,10,8,14,12,7,10,8,6,All
Tracy B Roman,,,1,85,52,68,74,57,66,47,35,54,45,50,42,40,33,25,30,23,30,25,27,35,22,20,22,19,21,32,17,20,19,15,29,18,14,16,19,16,9,6,7,8,9,All
Ken Powell,,,,4,40,72,63,68,66,38,39,50,46,47,38,27,38,23,30,18,25,29,23,36,19,23,16,20,19,29,20,22,15,11,22,21,11,10,9,10,13,10,10,11,7,All
Mia Roberts Perez,,,,,2,23,25,16,31,33,41,18,43,29,42,29,29,26,19,22,24,16,26,33,13,11,19,12,23,30,9,13,11,18,23,15,14,8,17,5,4,9,15,10,11,All
Leon Goodman,,,,,,3,49,61,49,43,34,46,20,33,19,22,30,25,27,29,23,27,21,17,25,24,17,15,13,9,20,19,21,14,14,18,12,14,12,7,15,11,10,8,5,All
Scott Diclaudio,,,,,,,3,51,57,31,20,48,19,36,24,20,9,12,19,9,20,21,9,18,22,12,9,10,12,15,9,8,9,4,16,8,8,11,5,9,3,5,4,8,5,All
Jon Marshall,,,,,,,,2,48,28,20,47,16,24,14,12,17,14,20,12,12,21,11,14,16,14,9,8,10,4,13,12,11,8,6,8,6,9,4,10,8,5,5,3,3,All
