col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,division
,District Council 9th District - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Cherelle Parker,Kai Scott,Tracy B Roman,Ken Powell,Mia Roberts Perez,Frances Fattah,Rainy Papademetriou,Brian T Ortelere,Michael Fanning,Abbe Fletman,Lyris Younge,Thomas Martin,Daine Grey Jr,Scott Diclaudio,Leon Goodman,Stephanie M Sawyer,Chris Mallios,Vincent N Melchiorre,Jennifer Schultz,Deborah Watson Stokes,Jon Marshall,Lynne M Summers,Leon A King Ii,Shanese Johnson,Edward William Louden Jr,Lucretia Clemons,Wayne M D Bennett,Vincent Furlong,James F Berardinelli,Sherman Toppin,Betsy Wahl,Stella Tsai,Rania Major,Anthony Kyriakakis,Sandjai Weaver,Marissa Brumbach,Joshua Hill,Chris Mccabe,Tangie M Boston,Vince Giusini,Jodi Lobel,Starr Marshall Cash,Franklin A Bennett Iii,William J Ciancaglini,All
Cherelle Parker,"2,413","7,357","6,899","6,615","5,886","5,252","5,027","4,977","4,920","4,264","4,259","4,302","3,912","3,633","3,433","3,325","3,450","3,264","2,798","3,051","2,579","2,619","2,481","2,541","2,175","1,956","1,925","1,794","1,510","1,685","1,594","1,508","1,514","1,356","1,316","1,213","1,295","1,144","1,221",997,"1,013",959,863,675,All
Kai Scott,,148,"4,172","4,121","5,307","3,854","3,962","3,732","4,317","3,478","2,648","3,047","2,470","1,537","1,324","2,555","3,191","2,969","1,197","1,952",852,"1,336","1,480","1,535",656,"1,212","1,026",780,554,"1,009",994,798,825,729,790,677,689,773,733,565,566,650,395,335,All
Tracy B Roman,,,223,"5,236","3,778","3,386","3,305","3,294","3,159","3,666","2,891","3,273","2,327","2,676","2,121","1,819","2,777","2,814","1,665","1,377","1,652","1,355","1,121","1,256","1,608",920,904,954,834,707,801,769,824,542,647,619,602,403,563,465,430,436,385,318,All
Ken Powell,,,,179,"3,617","3,319","3,330","3,383","3,314","3,638","2,784","3,370","2,281","2,508","2,119","1,513","2,906","2,928","1,304","1,108","1,924",996,"1,145",986,"1,588",720,958,917,837,730,595,491,588,592,516,379,716,479,426,469,362,319,402,303,All
Mia Roberts Perez,,,,,105,"3,264","3,561","3,406","4,165","3,108","1,912","2,691","1,850","1,307",879,"1,982","2,958","2,853","1,032","1,487",632,"1,105",979,963,475,973,725,535,435,729,880,819,717,582,535,668,511,630,484,401,498,513,238,280,All
Frances Fattah,,,,,,80,"2,690","2,599","2,624","2,442","1,296","3,120","1,288",695,"1,169","1,376","2,232","2,272",942,"1,592",648,"1,248","1,223","1,353",589,836,785,713,413,731,712,689,718,434,616,478,630,424,605,283,346,431,402,265,All
Rainy Papademetriou,,,,,,,31,"4,586","3,442","3,113","1,032","2,972","1,243",959,829,699,"2,196","2,213",989,672,848,625,577,542,597,596,435,750,868,382,386,433,392,541,361,417,323,289,259,330,368,211,170,195,All
Brian T Ortelere,,,,,,,,79,"3,372","2,993",917,"2,799","1,253","1,050",912,532,"2,139","2,159","1,036",551,819,484,588,464,674,380,562,745,904,428,270,316,393,384,314,184,314,276,253,330,174,143,250,186,All
