col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,division
,Register Of Wills - Democrat,City Commissioners - Democrat,,,,,,All
,Ronald R Donatucci,Anthony Clark,Lisa M Deeley,Tracey L Gordon,Omar Sabir,Carol A Jenkins,Will Mega,All
Ronald R Donatucci,87,"1,057",503,268,214,206,213,All
Anthony Clark,,135,350,105,78,98,109,All
Lisa M Deeley,,,60,40,66,38,19,All
Tracey L Gordon,,,,43,29,62,34,All
Omar Sabir,,,,,34,22,21,All
Carol A Jenkins,,,,,,39,10,All
Will Mega,,,,,,,35,All
Total,"1,594","1,244",609,361,288,286,273,All
,Register Of Wills - Democrat,City Commissioners - Democrat,,,,,,1
,Ronald R Donatucci,Anthony Clark,Lisa M Deeley,Will Mega,Tracey L Gordon,Omar Sabir,Carol A Jenkins,1
Ronald R Donatucci,2,41,29,20,13,7,9,1
Anthony Clark,,0,22,5,2,3,2,1
Lisa M Deeley,,,4,2,3,0,2,1
Will Mega,,,,0,5,1,2,1
Tracey L Gordon,,,,,2,1,2,1
Omar Sabir,,,,,,5,2,1
Carol A Jenkins,,,,,,,0,1
Total,73,45,35,21,17,13,11,1
,Register Of Wills - Democrat,City Commissioners - Democrat,,,,,,2
,Ronald R Donatucci,Anthony Clark,Lisa M Deeley,Will Mega,Carol A Jenkins,Omar Sabir,Tracey L Gordon,2
Ronald R Donatucci,6,17,9,6,6,2,2,2
Anthony Clark,,5,4,2,3,0,0,2
Lisa M Deeley,,,0,1,2,1,0,2
Will Mega,,,,1,1,0,0,2
Carol A Jenkins,,,,,0,0,0,2
Omar Sabir,,,,,,2,0,2
Tracey L Gordon,,,,,,,0,2
Total,35,23,10,7,6,4,2,2
,Register Of Wills - Democrat,City Commissioners - Democrat,,,,,,3
,Ronald R Donatucci,Anthony Clark,Lisa M Deeley,Carol A Jenkins,Will Mega,Omar Sabir,Tracey L Gordon,3
Ronald R Donatucci,3,32,12,7,6,4,4,3
Anthony Clark,,1,8,3,2,3,2,3
Lisa M Deeley,,,2,1,0,0,2,3
Carol A Jenkins,,,,2,1,0,0,3
Will Mega,,,,,3,1,0,3
Omar Sabir,,,,,,1,0,3
Tracey L Gordon,,,,,,,0,3
Total,45,33,14,9,9,5,4,3
,Register Of Wills - Democrat,City Commissioners - Democrat,,,,,,4
,Ronald R Donatucci,Anthony Clark,Lisa M Deeley,Will Mega,Carol A Jenkins,Omar Sabir,Tracey L Gordon,4
Ronald R Donatucci,3,32,21,7,6,2,1,4
Anthony Clark,,3,17,4,3,0,1,4
Lisa M Deeley,,,1,1,1,2,0,4
Will Mega,,,,1,0,0,0,4
Carol A Jenkins,,,,,1,0,0,4
Omar Sabir,,,,,,1,0,4
Tracey L Gordon,,,,,,,0,4
Total,45,37,24,8,7,3,1,4
,Register Of Wills - Democrat,City Commissioners - Democrat,,,,,,5
,Ronald R Donatucci,Anthony Clark,Lisa M Deeley,Will Mega,Tracey L Gordon,Omar Sabir,Carol A Jenkins,5
Ronald R Donatucci,0,31,15,12,12,7,3,5
Anthony Clark,,12,7,10,5,3,1,5
Lisa M Deeley,,,4,0,4,2,0,5
Will Mega,,,,1,0,2,0,5
Tracey L Gordon,,,,,0,0,0,5
Omar Sabir,,,,,,2,1,5
Carol A Jenkins,,,,,,,0,5
Total,51,47,20,16,14,11,3,5
,Register Of Wills - Democrat,City Commissioners - Democrat,,,,,,6
,Ronald R Donatucci,Anthony Clark,Tracey L Gordon,Will Mega,Carol A Jenkins,Omar Sabir,Lisa M Deeley,6
Ronald R Donatucci,3,23,11,12,4,7,6,6
Anthony Clark,,5,4,7,1,2,3,6
Tracey L Gordon,,,6,2,3,3,0,6
Will Mega,,,,2,0,0,2,6
Carol A Jenkins,,,,,3,1,1,6
Omar Sabir,,,,,,1,0,6
Lisa M Deeley,,,,,,,0,6
Total,40,29,19,15,9,8,6,6
,Register Of Wills - Democrat,City Commissioners - Democrat,,,,,,7
,Ronald R Donatucci,Anthony Clark,Lisa M Deeley,Omar Sabir,Will Mega,Carol A Jenkins,Tracey L Gordon,7
Ronald R Donatucci,3,37,20,8,7,5,3,7
Anthony Clark,,7,17,2,1,2,1,7
Lisa M Deeley,,,1,3,2,0,1,7
Omar Sabir,,,,1,0,3,0,7
Will Mega,,,,,1,0,2,7
Carol A Jenkins,,,,,,2,0,7
Tracey L Gordon,,,,,,,3,7
Total,52,44,24,11,8,7,7,7
,Register Of Wills - Democrat,City Commissioners - Democrat,,,,,,8
,Ronald R Donatucci,Anthony Clark,Lisa M Deeley,Tracey L Gordon,Carol A Jenkins,Omar Sabir,Will Mega,8
Ronald R Donatucci,2,36,21,14,10,12,6,8
Anthony Clark,,2,12,7,4,2,2,8
Lisa M Deeley,,,1,2,3,4,0,8
Tracey L Gordon,,,,3,2,2,2,8
Carol A Jenkins,,,,,5,3,0,8
Omar Sabir,,,,,,0,1,8
Will Mega,,,,,,,0,8
Total,60,40,23,19,18,14,6,8
,Register Of Wills - Democrat,City Commissioners - Democrat,,,,,,9
,Ronald R Donatucci,Anthony Clark,Lisa M Deeley,Carol A Jenkins,Tracey L Gordon,Omar Sabir,Will Mega,9
Ronald R Donatucci,3,31,12,5,5,2,0,9
Anthony Clark,,5,9,5,2,1,0,9
Lisa M Deeley,,,1,0,2,0,0,9
Carol A Jenkins,,,,0,1,0,0,9
Tracey L Gordon,,,,,0,0,0,9
Omar Sabir,,,,,,2,0,9
Will Mega,,,,,,,0,9
Total,40,38,14,6,5,4,0,9
,Register Of Wills - Democrat,City Commissioners - Democrat,,,,,,10
,Ronald R Donatucci,Anthony Clark,Lisa M Deeley,Omar Sabir,Will Mega,Tracey L Gordon,Carol A Jenkins,10
Ronald R Donatucci,3,20,11,8,9,6,4,10
Anthony Clark,,5,7,4,1,1,0,10
Lisa M Deeley,,,5,1,2,0,1,10
Omar Sabir,,,,0,2,1,1,10
Will Mega,,,,,0,1,2,10
Tracey L Gordon,,,,,,1,0,10
Carol A Jenkins,,,,,,,0,10
Total,38,26,16,9,9,7,4,10
,Register Of Wills - Democrat,City Commissioners - Democrat,,,,,,11
,Ronald R Donatucci,Anthony Clark,Lisa M Deeley,Tracey L Gordon,Omar Sabir,Will Mega,Carol A Jenkins,11
Ronald R Donatucci,4,32,13,9,11,6,5,11
Anthony Clark,,4,8,4,3,2,3,11
Lisa M Deeley,,,2,1,0,0,1,11
Tracey L Gordon,,,,2,1,5,0,11
Omar Sabir,,,,,0,0,2,11
Will Mega,,,,,,2,0,11
Carol A Jenkins,,,,,,,0,11
Total,54,37,15,14,11,11,6,11
,Register Of Wills - Democrat,City Commissioners - Democrat,,,,,,12
,Ronald R Donatucci,Anthony Clark,Lisa M Deeley,Tracey L Gordon,Will Mega,Omar Sabir,Carol A Jenkins,12
Ronald R Donatucci,2,28,12,11,8,5,3,12
Anthony Clark,,10,7,7,3,1,2,12
Lisa M Deeley,,,1,4,0,2,1,12
Tracey L Gordon,,,,1,0,0,0,12
Will Mega,,,,,0,3,1,12
Omar Sabir,,,,,,0,0,12
Carol A Jenkins,,,,,,,1,12
Total,42,40,15,13,9,6,5,12
,Register Of Wills - Democrat,City Commissioners - Democrat,,,,,,13
,Ronald R Donatucci,Anthony Clark,Lisa M Deeley,Tracey L Gordon,Will Mega,Carol A Jenkins,Omar Sabir,13
Ronald R Donatucci,8,96,47,19,14,12,15,13
Anthony Clark,,9,42,5,8,4,10,13
Lisa M Deeley,,,2,2,1,3,0,13
Tracey L Gordon,,,,2,6,6,2,13
Will Mega,,,,,4,0,1,13
Carol A Jenkins,,,,,,5,1,13
Omar Sabir,,,,,,,0,13
Total,131,109,52,27,22,19,18,13
,Register Of Wills - Democrat,City Commissioners - Democrat,,,,,,14
,Ronald R Donatucci,Anthony Clark,Lisa M Deeley,Omar Sabir,Tracey L Gordon,Will Mega,Carol A Jenkins,14
Ronald R Donatucci,4,66,24,13,7,9,4,14
Anthony Clark,,6,21,11,3,4,3,14
Lisa M Deeley,,,1,0,3,1,0,14
Omar Sabir,,,,3,1,2,0,14
Tracey L Gordon,,,,,0,0,2,14
Will Mega,,,,,,0,0,14
Carol A Jenkins,,,,,,,0,14
Total,82,74,28,17,11,9,6,14
,Register Of Wills - Democrat,City Commissioners - Democrat,,,,,,15
,Ronald R Donatucci,Anthony Clark,Lisa M Deeley,Omar Sabir,Tracey L Gordon,Will Mega,Carol A Jenkins,15
Ronald R Donatucci,2,53,31,15,12,12,9,15
Anthony Clark,,5,17,3,4,10,5,15
Lisa M Deeley,,,2,10,1,2,2,15
Omar Sabir,,,,3,1,1,2,15
Tracey L Gordon,,,,,4,1,5,15
Will Mega,,,,,,2,0,15
Carol A Jenkins,,,,,,,1,15
Total,81,62,36,20,20,18,15,15
,Register Of Wills - Democrat,City Commissioners - Democrat,,,,,,16
,Ronald R Donatucci,Anthony Clark,Lisa M Deeley,Tracey L Gordon,Carol A Jenkins,Omar Sabir,Will Mega,16
Ronald R Donatucci,1,44,24,23,10,10,3,16
Anthony Clark,,3,17,10,3,3,0,16
Lisa M Deeley,,,4,1,2,4,1,16
Tracey L Gordon,,,,5,5,2,1,16
Carol A Jenkins,,,,,3,1,0,16
Omar Sabir,,,,,,1,0,16
Will Mega,,,,,,,3,16
Total,68,48,30,29,14,12,6,16
,Register Of Wills - Democrat,City Commissioners - Democrat,,,,,,17
,Ronald R Donatucci,Anthony Clark,Lisa M Deeley,Carol A Jenkins,Tracey L Gordon,Will Mega,Omar Sabir,17
Ronald R Donatucci,3,62,28,11,13,9,6,17
Anthony Clark,,4,24,6,5,7,4,17
Lisa M Deeley,,,5,4,2,0,0,17
Carol A Jenkins,,,,2,2,0,0,17
Tracey L Gordon,,,,,0,1,1,17
Will Mega,,,,,,1,1,17
Omar Sabir,,,,,,,3,17
Total,81,69,36,15,14,12,10,17
,Register Of Wills - Democrat,City Commissioners - Democrat,,,,,,18
,Ronald R Donatucci,Anthony Clark,Lisa M Deeley,Tracey L Gordon,Omar Sabir,Carol A Jenkins,Will Mega,18
Ronald R Donatucci,11,66,35,26,20,22,11,18
Anthony Clark,,5,18,14,4,8,4,18
Lisa M Deeley,,,6,2,9,4,1,18
Tracey L Gordon,,,,2,2,5,1,18
Omar Sabir,,,,,3,3,2,18
Carol A Jenkins,,,,,,3,2,18
Will Mega,,,,,,,4,18
Total,116,71,43,28,27,26,16,18
,Register Of Wills - Democrat,City Commissioners - Democrat,,,,,,19
