col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,division
,District Council 1st District - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Mark F Squilla,Abbe Fletman,Rainy Papademetriou,Ken Powell,Chris Mallios,Kai Scott,Mia Roberts Perez,Tracy B Roman,Scott Diclaudio,Stella Tsai,Marissa Brumbach,Vincent N Melchiorre,Michael Fanning,Jennifer Schultz,Anthony Kyriakakis,Brian T Ortelere,James F Berardinelli,Vince Giusini,Stephanie M Sawyer,Daine Grey Jr,Betsy Wahl,Thomas Martin,Lyris Younge,Jon Marshall,Lynne M Summers,Deborah Watson Stokes,Leon Goodman,Chris Mccabe,Lucretia Clemons,Vincent Furlong,Jodi Lobel,William J Ciancaglini,Leon A King Ii,Edward William Louden Jr,Rania Major,Wayne M D Bennett,Frances Fattah,Joshua Hill,Shanese Johnson,Sandjai Weaver,Sherman Toppin,Franklin A Bennett Iii,Starr Marshall Cash,Tangie M Boston,All
Mark F Squilla,"2,924","4,485","4,080","4,046","3,417","3,365","3,378","3,266","3,575","3,068","3,195","2,973","2,886","2,783","2,609","2,639","2,647","2,503","2,288","2,061","2,125","1,933","1,945","1,532","1,695","1,602","1,570","1,480","1,524","1,393","1,389","1,461","1,050","1,135","1,090","1,020",964,943,736,711,572,472,403,376,All
Abbe Fletman,,73,"3,741","2,928","3,784","3,980","3,027","1,544","1,701","2,766","1,230","2,148","1,997","1,691","2,147","2,492","1,770",901,"1,958","1,933","1,582","1,164","1,211",481,658,880,702,"1,048","1,140",535,972,306,655,356,471,531,370,576,276,309,254,146,130,132,All
Rainy Papademetriou,,,122,"2,541","2,687","2,736","2,490","1,250","1,511","2,739","1,226","1,874","1,734","1,549","2,275","2,744","1,902",990,"1,288","1,413","1,403","1,393",856,631,614,725,652,936,"1,023",659,787,392,686,496,517,404,462,566,268,348,245,148,143,128,All
Ken Powell,,,,105,"2,245","2,143","2,065","2,027","2,628","1,495","1,055","2,113","2,404","1,048","1,519","2,042","1,676","1,043","1,345","1,598",786,"1,331","1,748","1,190",492,424,"1,020",652,458,688,434,454,559,859,314,443,319,442,236,250,301,214,119,112,All
Chris Mallios,,,,,55,"3,472","2,657","1,089","1,108","2,288",857,"1,867","1,979",965,"1,942","1,494","1,472",694,"1,597","1,376","1,237",680,844,412,292,720,403,877,705,294,721,305,590,165,195,399,266,456,146,140,156,142,142,83,All
Kai Scott,,,,,,22,"3,007","1,071",930,"2,463",808,"1,606","1,557","1,224","2,007","1,607","1,381",526,"1,861","1,600","1,454",620,978,280,493,836,513,995,"1,091",332,852,247,701,193,386,513,397,583,296,303,255,164,193,157,All
Mia Roberts Perez,,,,,,,110,"1,515","1,088","2,712","1,146","1,470","1,548","1,621","1,835","1,354","1,373",591,"2,095","1,647","1,682",463,997,329,985,"1,131",489,759,"1,103",437,897,342,632,262,694,456,627,582,441,422,293,161,245,196,All
Tracy B Roman,,,,,,,,125,"2,366","1,113","1,466","1,475","1,459","1,683",684,826,942,"1,083","1,361","1,332",942,"1,097","1,708","1,495","1,169",928,"1,045",392,669,752,621,530,448,896,743,458,574,389,465,438,317,211,221,223,All
