col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,Justice Of The Supreme Court - Democrat,,,,,,1
,Helen Gym,Paul Steinke,Sherrie Cohen,Blondell Reynolds Brown,W Wilson Goode Jr,Isaiah Thomas,William K Greenlee,Thomas Wyatt,Allan Domb,Derek S Green,Jenne Ayers,Ed Neilson,Carla M Cain,Frank Rizzo,Wilson Alexander,Marnie Aument Loughrey,Anne E Lazarus,Kevin M Dougherty,David Wecht,Christine Donohue,John Henry Foradora,Dwayne D Woodruff,1
Helen Gym,7,102,101,59,40,38,30,30,27,18,19,14,13,6,4,6,126,77,65,65,15,8,1
Paul Steinke,,0,57,39,20,23,23,34,26,15,12,11,5,5,3,4,90,64,49,47,9,4,1
Sherrie Cohen,,,0,46,26,24,24,10,12,9,17,11,11,4,3,5,85,53,45,45,10,6,1
Blondell Reynolds Brown,,,,1,21,13,21,11,8,7,9,10,5,1,3,3,52,38,35,33,7,2,1
W Wilson Goode Jr,,,,,0,13,15,10,9,9,10,3,2,6,0,1,36,24,23,21,7,3,1
Isaiah Thomas,,,,,,0,8,13,7,9,8,4,5,1,1,1,32,21,11,18,6,5,1
William K Greenlee,,,,,,,0,4,7,6,4,10,4,3,1,0,29,31,21,17,4,2,1
Thomas Wyatt,,,,,,,,0,13,8,6,5,2,1,2,3,33,24,21,21,7,4,1
Allan Domb,,,,,,,,,1,12,6,4,6,4,2,1,22,22,18,18,8,2,1
Derek S Green,,,,,,,,,,0,6,2,4,4,5,1,22,22,15,10,5,2,1
Jenne Ayers,,,,,,,,,,,0,2,8,3,5,6,24,19,13,17,4,7,1
Ed Neilson,,,,,,,,,,,,1,2,0,2,0,16,19,10,9,1,1,1
Carla M Cain,,,,,,,,,,,,,0,1,4,4,18,12,4,14,6,1,1
Frank Rizzo,,,,,,,,,,,,,,0,0,0,9,9,4,3,3,1,1
Wilson Alexander,,,,,,,,,,,,,,,0,1,7,8,4,7,2,0,1
Marnie Aument Loughrey,,,,,,,,,,,,,,,,0,7,5,1,7,3,0,1
Anne E Lazarus,,,,,,,,,,,,,,,,,0,79,66,65,17,5,1
Kevin M Dougherty,,,,,,,,,,,,,,,,,,1,39,32,8,4,1
David Wecht,,,,,,,,,,,,,,,,,,,0,35,7,4,1
Christine Donohue,,,,,,,,,,,,,,,,,,,,0,11,7,1
John Henry Foradora,,,,,,,,,,,,,,,,,,,,,0,2,1
Dwayne D Woodruff,,,,,,,,,,,,,,,,,,,,,,0,1
Total,177,126,112,74,48,46,44,42,41,33,32,23,20,12,11,9,153,111,83,82,23,11,1
,Justice Of The Supreme Court - Democrat,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,2
,Anne E Lazarus,Kevin M Dougherty,David Wecht,Christine Donohue,John Henry Foradora,Dwayne D Woodruff,Helen Gym,Sherrie Cohen,Paul Steinke,Blondell Reynolds Brown,W Wilson Goode Jr,Isaiah Thomas,Derek S Green,William K Greenlee,Allan Domb,Thomas Wyatt,Jenne Ayers,Wilson Alexander,Ed Neilson,Frank Rizzo,Carla M Cain,Marnie Aument Loughrey,2
Anne E Lazarus,4,76,53,37,10,7,101,68,63,53,45,36,35,24,21,23,14,10,9,6,8,6,2
Kevin M Dougherty,,1,40,27,8,5,67,40,39,49,42,31,29,17,18,14,14,10,8,8,9,5,2
David Wecht,,,0,27,6,2,52,39,33,34,34,20,13,14,12,8,12,6,4,4,0,0,2
