col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,division
,District Council 2nd District - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Kenyatta Johnson,Ori C Feibush,Rainy Papademetriou,Mia Roberts Perez,Abbe Fletman,Kai Scott,Stella Tsai,Chris Mallios,Anthony Kyriakakis,Brian T Ortelere,Jennifer Schultz,Ken Powell,Daine Grey Jr,Betsy Wahl,Stephanie M Sawyer,Lynne M Summers,Deborah Watson Stokes,Tracy B Roman,Vincent N Melchiorre,Lucretia Clemons,Frances Fattah,Scott Diclaudio,Jodi Lobel,Chris Mccabe,Joshua Hill,Leon Goodman,Thomas Martin,James F Berardinelli,Marissa Brumbach,Leon A King Ii,Vincent Furlong,Lyris Younge,Vince Giusini,Jon Marshall,Sherman Toppin,Michael Fanning,Rania Major,Shanese Johnson,Wayne M D Bennett,Edward William Louden Jr,Sandjai Weaver,William J Ciancaglini,Franklin A Bennett Iii,Tangie M Boston,Starr Marshall Cash,All
Kenyatta Johnson,112,0,133,116,93,106,100,78,70,77,77,81,71,61,71,82,74,67,59,52,75,53,49,51,52,64,50,35,41,53,41,43,21,36,31,24,27,33,27,31,21,15,14,13,10,All
Ori C Feibush,,57,106,82,94,81,82,70,67,46,49,43,42,62,49,36,39,34,35,43,19,42,39,33,29,20,25,30,30,16,14,14,31,15,18,20,18,13,17,12,16,16,12,9,9,All
Rainy Papademetriou,,,4,140,130,122,146,108,103,114,62,56,77,80,65,44,50,28,69,50,43,17,61,61,58,24,46,41,30,22,15,14,24,10,12,11,16,12,12,17,9,8,3,4,5,All
Mia Roberts Perez,,,,1,111,113,135,90,84,80,59,63,72,80,82,65,60,44,61,54,48,21,61,47,56,21,37,25,36,25,15,20,15,9,21,24,18,19,17,7,18,9,6,7,11,All
Abbe Fletman,,,,,1,143,113,132,84,74,58,62,78,76,68,27,48,32,52,47,13,21,34,34,19,20,18,37,32,26,15,17,22,14,17,17,10,11,16,8,10,6,4,3,2,All
Kai Scott,,,,,,0,103,122,81,68,56,65,77,70,65,23,59,27,45,52,24,19,31,34,29,26,27,28,31,34,13,22,15,6,19,19,12,14,20,11,16,7,4,8,8,All
Stella Tsai,,,,,,,0,95,85,78,62,43,60,88,69,48,57,31,50,51,42,12,62,49,47,17,29,27,35,26,13,6,17,7,10,10,20,10,21,9,18,9,7,5,6,All
Chris Mallios,,,,,,,,0,79,60,38,51,64,61,57,15,41,15,39,34,14,15,22,26,16,15,8,29,21,27,8,9,17,2,9,18,4,4,15,8,5,9,6,2,2,All
Anthony Kyriakakis,,,,,,,,,0,51,32,41,49,48,43,18,34,18,32,31,16,16,30,22,23,23,11,31,16,27,14,6,17,9,10,8,9,12,10,12,10,9,5,2,2,All
Brian T Ortelere,,,,,,,,,,2,32,49,47,30,28,34,18,18,47,33,31,23,38,55,37,12,44,37,11,15,16,11,17,9,10,12,4,4,12,14,8,8,4,3,1,All
Jennifer Schultz,,,,,,,,,,,1,34,38,63,39,46,46,39,14,35,22,23,32,18,16,40,25,23,40,21,23,14,13,22,15,8,23,17,16,15,15,5,9,7,7,All
Ken Powell,,,,,,,,,,,,1,42,28,36,20,18,39,34,22,20,38,17,11,16,35,27,33,15,28,22,32,19,26,21,20,10,13,11,24,10,10,7,5,4,All
Daine Grey Jr,,,,,,,,,,,,,1,40,71,25,40,35,36,20,19,24,10,17,20,26,17,37,18,21,15,21,17,14,12,16,9,16,15,15,13,4,8,5,3,All
Betsy Wahl,,,,,,,,,,,,,,0,52,31,53,27,28,49,15,8,35,20,18,15,9,10,34,19,10,7,12,6,7,9,19,11,11,4,11,3,3,4,5,All
Stephanie M Sawyer,,,,,,,,,,,,,,,0,41,59,35,33,29,33,12,27,18,14,20,9,26,30,21,16,14,9,7,10,16,20,20,19,9,15,10,10,11,9,All
Lynne M Summers,,,,,,,,,,,,,,,,1,42,36,34,31,41,19,41,31,41,28,35,15,23,20,20,10,14,10,19,13,22,24,15,13,15,9,13,7,10,All
Deborah Watson Stokes,,,,,,,,,,,,,,,,,1,35,25,31,33,12,25,19,17,28,14,11,26,25,19,17,5,7,12,13,19,17,15,12,15,9,9,13,9,All
Tracy B Roman,,,,,,,,,,,,,,,,,,3,15,25,19,38,16,10,13,35,11,18,21,23,22,35,13,20,22,12,16,15,14,25,14,4,7,7,6,All
Vincent N Melchiorre,,,,,,,,,,,,,,,,,,,0,24,22,16,29,46,29,10,41,13,9,8,13,11,16,4,9,15,4,5,9,7,8,16,6,3,1,All
Lucretia Clemons,,,,,,,,,,,,,,,,,,,,1,23,11,24,17,12,15,18,10,20,22,8,7,10,5,14,6,16,16,11,7,12,5,7,8,3,All
Frances Fattah,,,,,,,,,,,,,,,,,,,,,0,10,25,20,32,18,28,8,16,20,19,10,10,8,12,10,14,20,12,9,9,9,11,6,6,All
Scott Diclaudio,,,,,,,,,,,,,,,,,,,,,,0,7,8,13,28,14,31,4,10,22,27,24,25,14,18,6,9,10,24,8,17,10,6,3,All
Jodi Lobel,,,,,,,,,,,,,,,,,,,,,,,0,35,32,17,26,10,29,4,9,11,6,8,9,8,11,7,6,3,9,7,3,7,6,All
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,,0,31,9,40,8,9,7,7,6,10,6,6,5,4,5,6,4,3,3,5,3,5,All
Joshua Hill,,,,,,,,,,,,,,,,,,,,,,,,,0,16,36,10,10,14,12,4,14,9,12,10,7,9,12,10,2,6,2,7,6,All
Leon Goodman,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,19,16,24,16,19,12,30,14,8,16,15,14,21,12,7,10,6,6,All
Thomas Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,8,16,5,13,12,15,8,5,9,6,5,6,7,7,4,6,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,14,19,8,23,11,7,9,6,5,11,15,5,14,10,5,3,All
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,8,4,11,4,8,10,16,15,8,7,10,3,6,5,6,All
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,9,13,10,11,7,12,16,14,9,11,6,7,8,2,All
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,11,11,7,3,8,14,15,5,12,6,4,1,All
Lyris Younge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,19,9,11,2,4,5,16,5,3,3,4,5,All
Vince Giusini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,12,10,8,5,9,8,6,16,6,2,1,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,5,3,8,10,14,5,1,7,6,3,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,4,10,7,7,10,3,3,3,6,All
Michael Fanning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,6,6,6,4,9,5,4,5,All
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,6,4,11,5,4,6,4,All
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,11,6,2,9,4,4,All
Wayne M D Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,8,5,8,7,1,All
Edward William Louden Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,8,4,2,2,All
Sandjai Weaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,3,5,5,All
William J Ciancaglini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,4,3,All
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,2,All
Tangie M Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,All
Starr Marshall Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,443,274,272,223,217,210,200,171,151,141,135,132,131,129,128,125,121,108,107,100,99,99,94,91,90,89,81,76,74,73,60,59,59,51,49,48,48,48,46,45,39,35,26,22,19,All
,District Council 2nd District - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
