col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,col_57,col_58,col_59,col_60,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Helen Gym,Derek S Green,Blondell Reynolds Brown,Sherrie Cohen,William K Greenlee,Isaiah Thomas,W Wilson Goode Jr,Allan Domb,Paul Steinke,Thomas Wyatt,Carla M Cain,Jenne Ayers,Frank Rizzo,Ed Neilson,Wilson Alexander,Marnie Aument Loughrey,Kai Scott,Abbe Fletman,Rainy Papademetriou,Stella Tsai,Daine Grey Jr,Ken Powell,Mia Roberts Perez,Chris Mallios,Leon Goodman,Deborah Watson Stokes,Michael Fanning,Scott Diclaudio,Betsy Wahl,James F Berardinelli,Stephanie M Sawyer,Lucretia Clemons,Leon A King Ii,Lyris Younge,Tracy B Roman,Frances Fattah,Anthony Kyriakakis,Lynne M Summers,Thomas Martin,Brian T Ortelere,Jennifer Schultz,Vincent N Melchiorre,Jodi Lobel,Chris Mccabe,Shanese Johnson,Vince Giusini,Jon Marshall,Wayne M D Bennett,Joshua Hill,Sherman Toppin,Vincent Furlong,Rania Major,Marissa Brumbach,Sandjai Weaver,Edward William Louden Jr,Franklin A Bennett Iii,Starr Marshall Cash,Tangie M Boston,William J Ciancaglini,1
Helen Gym,0,91,98,107,80,46,39,29,36,16,11,17,4,7,0,3,106,98,98,97,90,93,93,90,80,84,67,27,40,41,31,24,19,21,22,16,21,15,14,15,15,17,14,14,13,11,9,6,8,7,7,6,8,8,4,4,1,5,3,1
Derek S Green,,0,95,78,73,55,32,28,22,18,8,14,11,6,6,2,96,83,87,83,87,91,79,74,84,85,58,35,27,35,27,20,27,26,21,19,21,10,16,12,9,10,13,10,14,11,12,10,9,7,9,8,8,7,9,5,4,4,1,1
Blondell Reynolds Brown,,,0,71,72,50,41,27,16,8,11,9,9,7,3,2,91,69,80,73,82,77,76,67,65,74,54,31,34,28,40,21,21,27,24,20,23,11,8,13,10,13,7,7,14,10,7,11,7,8,6,6,5,5,7,5,4,5,1,1
Sherrie Cohen,,,,0,73,33,22,27,26,13,11,10,10,5,2,1,89,83,86,85,80,79,81,77,74,72,61,21,27,31,24,16,14,11,13,15,14,15,13,11,9,10,9,9,11,10,8,6,8,6,7,6,5,4,1,4,2,4,3,1
William K Greenlee,,,,,0,32,27,18,19,10,2,6,8,10,1,2,77,71,75,68,73,72,67,69,64,60,53,19,24,27,22,14,17,15,11,13,15,7,9,11,6,11,7,13,5,6,6,6,9,9,6,4,4,3,4,0,4,1,1,1
Isaiah Thomas,,,,,,2,42,28,21,18,11,5,14,8,3,0,51,38,36,34,37,30,33,32,39,37,26,29,25,27,29,24,25,21,20,21,12,13,15,10,12,9,15,13,14,4,7,13,7,12,7,8,7,6,5,6,5,3,3,1
W Wilson Goode Jr,,,,,,,1,13,11,6,6,6,12,5,1,0,36,26,28,23,28,26,29,25,27,27,18,20,23,13,23,19,18,18,12,20,11,11,11,6,5,13,7,8,13,7,5,8,6,9,2,6,5,7,4,6,6,2,2,1
Allan Domb,,,,,,,,0,17,9,9,5,11,3,2,3,25,28,26,20,24,20,17,15,27,20,9,18,16,21,15,17,17,14,12,11,11,8,8,9,11,3,9,5,6,4,10,10,5,5,6,4,4,5,5,4,3,3,1,1
Paul Steinke,,,,,,,,,0,18,4,6,1,3,2,1,30,40,31,25,19,22,27,24,19,17,14,5,15,15,10,8,9,8,6,4,9,4,7,9,3,13,2,11,1,9,2,5,3,4,6,3,2,3,2,0,1,2,2,1
