col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,1
,Derek S Green,Blondell Reynolds Brown,Allan Domb,Sherrie Cohen,William K Greenlee,Isaiah Thomas,Ed Neilson,Helen Gym,W Wilson Goode Jr,Jenne Ayers,Paul Steinke,Thomas Wyatt,Frank Rizzo,Wilson Alexander,Carla M Cain,Marnie Aument Loughrey,Sharon Williams Losier,Christian Dicicco,Christine Hope,Joffie C Pittman,Matthew Perks,Gary S Silver,Daniel R Sulman,Franklin A Bennett Iii,1
Derek S Green,1,17,12,8,8,7,5,2,6,3,6,8,5,3,3,1,23,13,12,6,7,4,3,4,1
Blondell Reynolds Brown,,1,8,9,11,4,6,6,7,2,4,5,4,2,2,3,12,10,9,5,4,5,6,4,1
Allan Domb,,,1,4,6,4,3,2,3,2,4,4,3,0,2,1,10,9,7,4,1,4,1,1,1
Sherrie Cohen,,,,0,3,4,3,5,4,4,8,5,3,4,4,4,10,10,7,5,1,4,6,4,1
William K Greenlee,,,,,0,5,11,4,8,3,3,3,1,1,0,1,7,12,6,4,3,3,2,2,1
Isaiah Thomas,,,,,,0,2,2,6,1,2,4,3,3,0,1,8,8,6,2,3,1,1,3,1
Ed Neilson,,,,,,,1,4,4,1,2,0,0,1,0,0,5,10,5,2,1,0,0,0,1
Helen Gym,,,,,,,,1,3,3,4,1,2,2,3,3,5,6,6,6,1,2,2,0,1
W Wilson Goode Jr,,,,,,,,,0,1,1,1,2,2,0,1,6,7,5,4,1,2,0,2,1
Jenne Ayers,,,,,,,,,,4,1,3,0,1,4,3,5,4,4,5,3,2,2,0,1
Paul Steinke,,,,,,,,,,,0,3,4,2,1,1,5,10,5,3,2,1,3,1,1
Thomas Wyatt,,,,,,,,,,,,2,1,3,3,1,8,6,5,2,4,3,2,3,1
Frank Rizzo,,,,,,,,,,,,,1,1,0,1,5,8,4,2,1,1,1,1,1
Wilson Alexander,,,,,,,,,,,,,,1,0,0,5,4,5,3,2,1,1,2,1
Carla M Cain,,,,,,,,,,,,,,,1,2,4,2,4,3,2,2,1,0,1
Marnie Aument Loughrey,,,,,,,,,,,,,,,,0,4,2,4,3,0,1,3,1,1
Sharon Williams Losier,,,,,,,,,,,,,,,,,1,13,16,6,4,2,3,3,1
Christian Dicicco,,,,,,,,,,,,,,,,,,2,10,4,4,3,2,1,1
Christine Hope,,,,,,,,,,,,,,,,,,,0,4,2,3,1,3,1
Joffie C Pittman,,,,,,,,,,,,,,,,,,,,0,2,4,3,0,1
Matthew Perks,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1
Gary S Silver,,,,,,,,,,,,,,,,,,,,,,0,2,1,1
Daniel R Sulman,,,,,,,,,,,,,,,,,,,,,,,0,2,1
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,40,29,20,20,20,17,16,15,15,14,14,14,12,10,8,6,36,33,23,14,11,8,7,6,1
,Judge Of The Municipal Court - Democrat,,,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,2
