col_1,col_2,division
,Judge Of The Commonwealth Court - Republican,1
,Paul Lalley,1
Paul Lalley,12,1
Total,12,1
,Judge Of The Commonwealth Court - Republican,2
,Paul Lalley,2
Paul Lalley,13,2
Total,13,2
,Judge Of The Commonwealth Court - Republican,3
,Paul Lalley,3
Paul Lalley,7,3
Total,7,3
,Judge Of The Commonwealth Court - Republican,4
,Paul Lalley,4
Paul Lalley,6,4
Total,6,4
,Judge Of The Commonwealth Court - Republican,5
,Paul Lalley,5
Paul Lalley,32,5
Total,32,5
,Judge Of The Commonwealth Court - Republican,6
,Paul Lalley,6
Paul Lalley,9,6
Total,9,6
,Judge Of The Commonwealth Court - Republican,7
,Paul Lalley,7
Paul Lalley,6,7
Total,6,7
,Judge Of The Commonwealth Court - Republican,8
,Paul Lalley,8
Paul Lalley,6,8
Total,6,8
,Judge Of The Commonwealth Court - Republican,9
,Paul Lalley,9
Paul Lalley,7,9
Total,7,9
,Judge Of The Commonwealth Court - Republican,10
,Paul Lalley,10
Paul Lalley,16,10
Total,16,10
,Judge Of The Commonwealth Court - Republican,11
,Paul Lalley,11
Paul Lalley,6,11
Total,6,11
,Judge Of The Commonwealth Court - Republican,12
,Paul Lalley,12
Paul Lalley,8,12
Total,8,12
,Judge Of The Commonwealth Court - Republican,13
,Paul Lalley,13
Paul Lalley,13,13
Total,13,13
,Judge Of The Commonwealth Court - Republican,14
,Paul Lalley,14
Paul Lalley,9,14
Total,9,14
,Judge Of The Commonwealth Court - Republican,15
,Paul Lalley,15
Paul Lalley,15,15
Total,15,15
,Judge Of The Commonwealth Court - Republican,16
,Paul Lalley,16
Paul Lalley,14,16
Total,14,16
,Judge Of The Commonwealth Court - Republican,17
,Paul Lalley,17
Paul Lalley,7,17
Total,7,17
,Judge Of The Commonwealth Court - Republican,18
,Paul Lalley,18
Paul Lalley,11,18
Total,11,18
,Judge Of The Commonwealth Court - Republican,19
,Paul Lalley,19
Paul Lalley,7,19
Total,7,19
,Judge Of The Commonwealth Court - Republican,20
,Paul Lalley,20
Paul Lalley,10,20
Total,10,20
,Judge Of The Commonwealth Court - Republican,21
,Paul Lalley,21
Paul Lalley,18,21
Total,18,21
,Judge Of The Commonwealth Court - Republican,22
,Paul Lalley,22
Paul Lalley,26,22
Total,26,22
,Judge Of The Commonwealth Court - Republican,23
,Paul Lalley,23
Paul Lalley,7,23
Total,7,23
,Judge Of The Commonwealth Court - Republican,24
,Paul Lalley,24
Paul Lalley,9,24
Total,9,24
,Judge Of The Commonwealth Court - Republican,25
,Paul Lalley,25
Paul Lalley,26,25
Total,26,25
,Judge Of The Commonwealth Court - Republican,26
,Paul Lalley,26
Paul Lalley,22,26
Total,22,26
,Judge Of The Commonwealth Court - Republican,27
,Paul Lalley,27
Paul Lalley,8,27
Total,8,27
,Judge Of The Commonwealth Court - Republican,28
,Paul Lalley,28
Paul Lalley,19,28
Total,19,28
,Judge Of The Commonwealth Court - Republican,29
,Paul Lalley,29
Paul Lalley,26,29
Total,26,29
,Judge Of The Commonwealth Court - Republican,30
,Paul Lalley,30
Paul Lalley,15,30
Total,15,30
,Judge Of The Commonwealth Court - Republican,31
,Paul Lalley,31
Paul Lalley,21,31
Total,21,31
,Judge Of The Commonwealth Court - Republican,32
,Paul Lalley,32
Paul Lalley,20,32
Total,20,32
,Judge Of The Commonwealth Court - Republican,33
,Paul Lalley,33
Paul Lalley,36,33
Total,36,33
,Judge Of The Commonwealth Court - Republican,34
,Paul Lalley,34
Paul Lalley,42,34
Total,42,34
,Judge Of The Commonwealth Court - Republican,35
,Paul Lalley,35
Paul Lalley,10,35
Total,10,35
,Judge Of The Commonwealth Court - Republican,36
,Paul Lalley,36
Paul Lalley,12,36
Total,12,36
,Judge Of The Commonwealth Court - Republican,37
,Paul Lalley,37
Paul Lalley,11,37
Total,11,37
,Judge Of The Commonwealth Court - Republican,38
,Paul Lalley,38
Paul Lalley,21,38
Total,21,38
,Judge Of The Commonwealth Court - Republican,39
,Paul Lalley,39
Paul Lalley,24,39
Total,24,39
,Judge Of The Commonwealth Court - Republican,40
,Paul Lalley,40
Paul Lalley,19,40
Total,19,40
,Judge Of The Commonwealth Court - Republican,41
,Paul Lalley,41
Paul Lalley,28,41
Total,28,41
,Judge Of The Commonwealth Court - Republican,42
,Paul Lalley,42
Paul Lalley,23,42
Total,23,42
,Judge Of The Commonwealth Court - Republican,43
,Paul Lalley,43
Paul Lalley,18,43
Total,18,43
,Judge Of The Commonwealth Court - Republican,44
,Paul Lalley,44
Paul Lalley,32,44
Total,32,44
,Judge Of The Commonwealth Court - Republican,45
,Paul Lalley,45
Paul Lalley,34,45
Total,34,45
,Judge Of The Commonwealth Court - Republican,All
,Paul Lalley,All
Paul Lalley,741,All
Total,741,All
