col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,division
,Justice Of The Supreme Court - Democrat,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,All
,Anne E Lazarus,Kevin M Dougherty,Christine Donohue,David Wecht,John Henry Foradora,Dwayne D Woodruff,Helen Gym,Sherrie Cohen,Derek S Green,William K Greenlee,Blondell Reynolds Brown,Paul Steinke,Allan Domb,Isaiah Thomas,W Wilson Goode Jr,Thomas Wyatt,Frank Rizzo,Jenne Ayers,Carla M Cain,Ed Neilson,Wilson Alexander,Marnie Aument Loughrey,All
Anne E Lazarus,18,"1,823","1,402",904,237,97,"1,943","1,471","1,187","1,226","1,215",807,692,633,625,450,291,270,186,102,70,73,All
Kevin M Dougherty,,34,"1,160",591,93,93,"1,558","1,209","1,162","1,112","1,114",622,707,583,503,365,317,207,176,140,85,61,All
Christine Donohue,,,12,418,64,62,"1,250","1,029",932,871,864,461,384,395,330,287,178,207,135,82,52,65,All
David Wecht,,,,9,159,45,784,559,471,470,438,391,343,300,359,267,112,127,61,69,57,24,All
John Henry Foradora,,,,,0,18,191,172,89,136,142,67,74,50,119,43,45,48,39,9,16,17,All
Dwayne D Woodruff,,,,,,0,103,60,79,53,74,52,44,67,63,40,26,34,27,10,18,7,All
Helen Gym,,,,,,,31,"1,471",996,"1,116","1,117",706,504,499,547,374,153,178,123,74,31,56,All
Sherrie Cohen,,,,,,,,7,809,"1,002",980,408,317,261,361,169,146,153,115,59,26,43,All
Derek S Green,,,,,,,,,6,806,869,374,356,416,273,263,109,133,78,72,73,20,All
William K Greenlee,,,,,,,,,,5,942,319,345,229,331,124,138,75,44,100,28,25,All
Blondell Reynolds Brown,,,,,,,,,,,6,230,269,313,458,96,111,89,88,57,37,19,All
Paul Steinke,,,,,,,,,,,,9,384,343,188,415,88,84,45,45,16,20,All
Allan Domb,,,,,,,,,,,,,12,266,175,212,187,94,68,73,35,28,All
Isaiah Thomas,,,,,,,,,,,,,,8,321,280,75,74,50,47,20,14,All
W Wilson Goode Jr,,,,,,,,,,,,,,,5,128,116,69,39,41,23,4,All
Thomas Wyatt,,,,,,,,,,,,,,,,2,56,61,35,23,24,9,All
Frank Rizzo,,,,,,,,,,,,,,,,,10,51,45,24,19,15,All
Jenne Ayers,,,,,,,,,,,,,,,,,,2,102,16,47,45,All
Carla M Cain,,,,,,,,,,,,,,,,,,,2,8,30,48,All
Ed Neilson,,,,,,,,,,,,,,,,,,,,0,10,7,All
Wilson Alexander,,,,,,,,,,,,,,,,,,,,,2,8,All
Marnie Aument Loughrey,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"2,779","2,493","1,776","1,213",310,184,"2,522","1,845","1,612","1,581","1,574","1,083","1,047",925,865,636,439,362,261,177,126,99,All
,Justice Of The Supreme Court - Democrat,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,1
,Kevin M Dougherty,Anne E Lazarus,Christine Donohue,David Wecht,John Henry Foradora,Dwayne D Woodruff,Helen Gym,Derek S Green,Blondell Reynolds Brown,Sherrie Cohen,William K Greenlee,Isaiah Thomas,W Wilson Goode Jr,Allan Domb,Paul Steinke,Thomas Wyatt,Carla M Cain,Jenne Ayers,Frank Rizzo,Ed Neilson,Wilson Alexander,Marnie Aument Loughrey,1
Kevin M Dougherty,7,139,98,35,12,6,117,109,106,95,83,78,51,48,36,25,24,17,24,15,6,4,1
Anne E Lazarus,,2,104,41,15,5,123,111,108,102,86,69,46,42,39,23,16,19,17,8,4,3,1
Christine Donohue,,,0,21,4,6,92,92,78,86,78,50,29,24,23,16,12,13,11,7,2,3,1
David Wecht,,,,0,6,2,34,28,21,23,26,26,25,18,19,14,8,8,3,5,5,3,1
John Henry Foradora,,,,,0,1,11,5,12,13,8,6,7,9,4,4,4,0,4,0,2,0,1
Dwayne D Woodruff,,,,,,0,5,4,5,6,4,5,6,5,2,1,3,1,2,2,0,0,1
Helen Gym,,,,,,,0,91,98,107,80,46,39,29,36,16,11,17,4,7,0,3,1
