col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,Judge Of The Commonwealth Court - Republican,Council At Large - Republican,,,,,,,1
,Paul Lalley,David Oh,James Williams,Al Taubenberger,Matt Wolfe,Daniel Tinney,Dennis M O Brien,Terry Tracy,1
Paul Lalley,1,3,3,2,2,1,1,0,1
David Oh,,0,3,2,2,1,1,0,1
James Williams,,,0,2,2,1,1,0,1
Al Taubenberger,,,,0,2,1,1,0,1
Matt Wolfe,,,,,0,1,1,0,1
Daniel Tinney,,,,,,0,0,0,1
Dennis M O Brien,,,,,,,0,0,1
Terry Tracy,,,,,,,,0,1
Total,4,3,3,2,2,1,1,0,1
,Council At Large - Republican,,,,,,,Judge Of The Commonwealth Court - Republican,2
,James Williams,Al Taubenberger,Daniel Tinney,David Oh,Dennis M O Brien,Matt Wolfe,Terry Tracy,Paul Lalley,2
James Williams,1,2,2,2,2,2,2,3,2
Al Taubenberger,,0,1,1,1,2,1,2,2
Daniel Tinney,,,0,1,1,1,2,2,2
David Oh,,,,0,2,1,1,2,2
Dennis M O Brien,,,,,0,1,1,2,2
Matt Wolfe,,,,,,0,1,2,2
Terry Tracy,,,,,,,0,2,2
Paul Lalley,,,,,,,,1,2
Total,4,2,2,2,2,2,2,4,2
,Council At Large - Republican,,,,,,,Judge Of The Commonwealth Court - Republican,3
,James Williams,Dennis M O Brien,Terry Tracy,Daniel Tinney,David Oh,Matt Wolfe,Al Taubenberger,Paul Lalley,3
James Williams,0,4,4,3,3,3,2,6,3
Dennis M O Brien,,0,2,2,2,3,1,4,3
Terry Tracy,,,0,2,3,1,1,4,3
Daniel Tinney,,,,0,2,1,2,3,3
David Oh,,,,,0,1,1,3,3
Matt Wolfe,,,,,,0,1,3,3
Al Taubenberger,,,,,,,0,2,3
Paul Lalley,,,,,,,,0,3
Total,6,4,4,3,3,3,2,6,3
,Judge Of The Commonwealth Court - Republican,Council At Large - Republican,,,,,,,4
,Paul Lalley,Terry Tracy,David Oh,James Williams,Al Taubenberger,Daniel Tinney,Dennis M O Brien,Matt Wolfe,4
Paul Lalley,0,3,1,2,1,1,1,0,4
Terry Tracy,,0,1,2,1,1,1,0,4
David Oh,,,1,1,0,0,0,0,4
James Williams,,,,0,1,1,1,0,4
Al Taubenberger,,,,,0,1,1,0,4
Daniel Tinney,,,,,,0,1,0,4
Dennis M O Brien,,,,,,,0,0,4
Matt Wolfe,,,,,,,,0,4
Total,3,3,2,2,1,1,1,0,4
,Judge Of The Commonwealth Court - Republican,Council At Large - Republican,,,,,,,5
,Paul Lalley,Al Taubenberger,David Oh,Dennis M O Brien,Matt Wolfe,Terry Tracy,Daniel Tinney,James Williams,5
Paul Lalley,1,3,2,2,2,3,2,1,5
Al Taubenberger,,0,2,2,2,3,2,1,5
David Oh,,,0,2,2,2,1,1,5
Dennis M O Brien,,,,0,3,2,1,0,5
Matt Wolfe,,,,,0,2,1,0,5
Terry Tracy,,,,,,0,2,1,5
Daniel Tinney,,,,,,,0,1,5
James Williams,,,,,,,,0,5
Total,4,3,3,3,3,3,2,1,5
,Judge Of The Commonwealth Court - Republican,Council At Large - Republican,,,,,,,6
,Paul Lalley,David Oh,Terry Tracy,James Williams,Matt Wolfe,Al Taubenberger,Daniel Tinney,Dennis M O Brien,6
Paul Lalley,0,7,6,5,4,3,3,3,6
David Oh,,0,5,5,2,3,3,3,6
Terry Tracy,,,0,5,3,1,1,2,6
James Williams,,,,0,2,0,0,1,6
Matt Wolfe,,,,,0,1,1,2,6
Al Taubenberger,,,,,,0,3,2,6
Daniel Tinney,,,,,,,0,2,6
Dennis M O Brien,,,,,,,,0,6
Total,9,8,7,6,4,3,3,3,6
,Judge Of The Commonwealth Court - Republican,Council At Large - Republican,,,,,,,7
,Paul Lalley,Terry Tracy,David Oh,Dennis M O Brien,Matt Wolfe,Daniel Tinney,James Williams,Al Taubenberger,7
Paul Lalley,0,13,7,7,7,5,4,3,7
Terry Tracy,,0,6,6,7,4,3,2,7
David Oh,,,0,5,1,4,3,2,7
Dennis M O Brien,,,,0,2,4,2,2,7
Matt Wolfe,,,,,0,0,0,1,7
Daniel Tinney,,,,,,0,3,2,7
James Williams,,,,,,,0,1,7
Al Taubenberger,,,,,,,,0,7
Total,16,13,7,7,7,5,4,3,7
,Council At Large - Republican,,,,,,,Judge Of The Commonwealth Court - Republican,8
,Terry Tracy,David Oh,Matt Wolfe,Dennis M O Brien,Al Taubenberger,Daniel Tinney,James Williams,Paul Lalley,8
Terry Tracy,0,5,5,4,2,2,0,6,8
David Oh,,0,3,3,2,2,0,3,8
Matt Wolfe,,,1,3,1,2,0,4,8
Dennis M O Brien,,,,0,2,2,0,3,8
Al Taubenberger,,,,,0,0,0,1,8
Daniel Tinney,,,,,,0,0,2,8
James Williams,,,,,,,0,0,8
Paul Lalley,,,,,,,,1,8
Total,8,6,6,4,3,2,0,7,8
,Judge Of The Commonwealth Court - Republican,Council At Large - Republican,,,,,,,9
,Paul Lalley,David Oh,Matt Wolfe,Terry Tracy,Al Taubenberger,James Williams,Daniel Tinney,Dennis M O Brien,9
Paul Lalley,0,6,5,5,3,3,2,2,9
David Oh,,0,4,3,2,3,2,2,9
Matt Wolfe,,,0,2,2,1,2,1,9
Terry Tracy,,,,0,2,2,0,1,9
Al Taubenberger,,,,,0,1,0,1,9
James Williams,,,,,,0,1,2,9
Daniel Tinney,,,,,,,0,1,9
Dennis M O Brien,,,,,,,,0,9
Total,8,6,5,5,3,3,2,2,9
,Council At Large - Republican,,,,,,,Judge Of The Commonwealth Court - Republican,10
,Al Taubenberger,David Oh,Matt Wolfe,Daniel Tinney,Dennis M O Brien,Terry Tracy,James Williams,Paul Lalley,10
Al Taubenberger,0,2,1,1,1,0,0,1,10
David Oh,,0,1,1,1,0,0,1,10
Matt Wolfe,,,0,1,1,1,0,2,10
Daniel Tinney,,,,0,1,0,0,1,10
Dennis M O Brien,,,,,0,0,0,1,10
Terry Tracy,,,,,,0,0,1,10
James Williams,,,,,,,0,0,10
Paul Lalley,,,,,,,,0,10
Total,2,2,2,1,1,1,0,2,10
,Judge Of The Commonwealth Court - Republican,Council At Large - Republican,,,,,,,11
,Paul Lalley,Terry Tracy,Daniel Tinney,David Oh,James Williams,Dennis M O Brien,Matt Wolfe,Al Taubenberger,11
Paul Lalley,0,5,4,4,4,3,2,1,11
Terry Tracy,,0,2,2,3,2,1,0,11
Daniel Tinney,,,0,3,3,3,2,1,11
David Oh,,,,0,3,2,1,1,11
James Williams,,,,,0,3,1,1,11
Dennis M O Brien,,,,,,0,1,1,11
Matt Wolfe,,,,,,,0,0,11
Al Taubenberger,,,,,,,,0,11
Total,7,5,4,4,4,3,2,1,11
,Council At Large - Republican,,,,,,,Judge Of The Commonwealth Court - Republican,12
,David Oh,Al Taubenberger,Matt Wolfe,Terry Tracy,Daniel Tinney,Dennis M O Brien,James Williams,Paul Lalley,12
David Oh,0,1,1,1,0,0,0,2,12
Al Taubenberger,,0,1,1,0,0,0,1,12
Matt Wolfe,,,0,1,0,0,0,1,12
Terry Tracy,,,,0,0,0,0,1,12
Daniel Tinney,,,,,0,0,0,0,12
Dennis M O Brien,,,,,,0,0,0,12
James Williams,,,,,,,0,0,12
Paul Lalley,,,,,,,,0,12
Total,2,1,1,1,0,0,0,2,12
,Council At Large - Republican,,,,,,,Judge Of The Commonwealth Court - Republican,13
,Al Taubenberger,David Oh,James Williams,Matt Wolfe,Terry Tracy,Daniel Tinney,Dennis M O Brien,Paul Lalley,13
Al Taubenberger,0,0,0,1,0,0,0,0,13
David Oh,,0,0,0,1,0,0,0,13
James Williams,,,0,0,0,0,0,1,13
Matt Wolfe,,,,0,0,0,0,0,13
Terry Tracy,,,,,0,0,0,0,13
Daniel Tinney,,,,,,0,0,0,13
Dennis M O Brien,,,,,,,0,0,13
Paul Lalley,,,,,,,,0,13
Total,1,1,1,1,1,0,0,1,13
,Council At Large - Republican,,,,,,,Judge Of The Commonwealth Court - Republican,14
,David Oh,Al Taubenberger,Daniel Tinney,Dennis M O Brien,Matt Wolfe,James Williams,Terry Tracy,Paul Lalley,14
David Oh,0,1,1,1,1,0,0,2,14
Al Taubenberger,,0,1,1,1,0,0,1,14
Daniel Tinney,,,0,1,1,0,0,1,14
Dennis M O Brien,,,,0,1,0,0,1,14
Matt Wolfe,,,,,0,0,0,1,14
James Williams,,,,,,0,0,0,14
Terry Tracy,,,,,,,0,0,14
Paul Lalley,,,,,,,,0,14
Total,2,1,1,1,1,0,0,2,14
,Council At Large - Republican,,,,,,,Judge Of The Commonwealth Court - Republican,15
,David Oh,James Williams,Terry Tracy,Al Taubenberger,Matt Wolfe,Daniel Tinney,Dennis M O Brien,Paul Lalley,15
David Oh,0,1,1,1,1,0,0,1,15
