col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Michael Fanning,Tracy B Roman,Scott Diclaudio,Ken Powell,Jennifer Schultz,Abbe Fletman,James F Berardinelli,Vincent Furlong,Lyris Younge,Vincent N Melchiorre,Chris Mallios,Daine Grey Jr,Mia Roberts Perez,Stephanie M Sawyer,Jon Marshall,Kai Scott,Rainy Papademetriou,Brian T Ortelere,Marissa Brumbach,Lynne M Summers,Leon Goodman,Vince Giusini,Thomas Martin,Anthony Kyriakakis,Betsy Wahl,Chris Mccabe,Edward William Louden Jr,Wayne M D Bennett,William J Ciancaglini,Deborah Watson Stokes,Stella Tsai,Jodi Lobel,Leon A King Ii,Lucretia Clemons,Joshua Hill,Frances Fattah,Rania Major,Sherman Toppin,Sandjai Weaver,Shanese Johnson,Franklin A Bennett Iii,Starr Marshall Cash,Tangie M Boston,All
Michael Fanning,251,294,291,309,124,240,134,164,190,293,267,170,203,205,128,190,153,116,163,101,61,116,165,110,96,139,62,85,90,76,52,64,36,61,43,35,38,34,25,29,49,37,22,All
Tracy B Roman,,43,424,400,236,284,173,169,266,232,210,221,204,204,242,160,184,179,170,170,183,101,165,92,108,90,145,94,82,104,93,71,80,52,54,70,65,51,47,52,36,32,21,All
Scott Diclaudio,,,54,398,173,275,218,170,248,252,225,203,183,176,246,167,165,189,134,118,151,136,178,106,65,96,141,90,108,59,65,54,58,35,55,47,43,40,43,31,53,13,19,All
Ken Powell,,,,31,150,282,147,157,281,248,255,227,199,179,266,202,197,173,139,95,159,102,161,119,86,98,135,89,59,49,59,58,65,62,62,46,43,43,37,34,37,16,14,All
Jennifer Schultz,,,,,31,146,211,189,110,92,83,138,129,145,111,87,114,145,132,191,141,114,111,113,145,103,100,94,87,103,115,83,62,75,64,67,58,49,45,50,43,23,22,All
Abbe Fletman,,,,,,10,121,111,170,216,251,241,174,186,134,209,182,157,128,88,88,78,128,85,77,67,50,58,40,54,80,65,48,42,34,27,24,39,21,22,14,13,12,All
James F Berardinelli,,,,,,,44,190,80,125,102,109,75,80,109,83,143,141,74,110,120,159,98,126,77,92,101,90,125,53,73,79,63,43,61,31,37,43,37,21,45,15,10,All
Vincent Furlong,,,,,,,,34,100,105,57,112,72,79,105,58,114,109,83,113,113,137,106,112,78,105,93,91,107,59,57,61,58,34,60,45,40,43,31,29,36,25,22,All
Lyris Younge,,,,,,,,,17,145,137,222,188,175,110,189,99,63,56,58,108,69,55,77,65,55,115,49,30,52,49,32,50,47,31,44,30,43,25,28,17,30,18,All
Vincent N Melchiorre,,,,,,,,,,3,253,134,158,157,96,167,133,100,155,64,48,126,109,98,66,79,37,43,91,28,47,51,26,44,25,26,19,17,30,20,27,16,16,All
Chris Mallios,,,,,,,,,,,4,162,171,175,91,200,115,104,122,68,44,57,107,91,69,87,30,36,49,49,61,72,31,38,33,19,9,26,24,18,20,20,13,All
Daine Grey Jr,,,,,,,,,,,,9,173,178,80,182,91,95,45,88,92,57,60,69,48,57,72,67,25,56,62,41,69,28,43,35,34,50,36,34,23,24,20,All
Mia Roberts Perez,,,,,,,,,,,,,10,214,40,205,68,48,108,102,60,83,60,83,117,83,43,50,49,98,77,56,47,79,42,58,52,32,27,35,17,30,16,All
Stephanie M Sawyer,,,,,,,,,,,,,,2,48,184,52,39,102,124,60,52,61,73,112,89,30,55,49,115,83,72,45,52,48,50,43,36,28,44,22,41,33,All
Jon Marshall,,,,,,,,,,,,,,,16,44,146,153,85,69,143,62,130,58,45,43,115,62,45,25,34,19,52,23,44,27,24,38,26,24,24,10,7,All
Kai Scott,,,,,,,,,,,,,,,,5,77,43,69,61,56,79,56,105,87,75,33,50,24,57,66,42,61,75,40,55,35,32,35,31,19,24,15,All
Rainy Papademetriou,,,,,,,,,,,,,,,,,6,165,124,65,71,99,115,107,62,54,67,42,52,37,60,48,40,40,29,19,29,34,25,16,20,14,10,All
Brian T Ortelere,,,,,,,,,,,,,,,,,,16,86,59,89,80,115,76,44,55,63,57,46,27,44,34,43,24,37,29,28,33,25,14,28,7,11,All
Marissa Brumbach,,,,,,,,,,,,,,,,,,,8,105,45,76,98,87,127,76,28,31,56,86,87,77,32,59,37,40,39,16,32,35,19,30,14,All
Lynne M Summers,,,,,,,,,,,,,,,,,,,,3,83,83,88,79,122,76,65,67,65,99,83,68,52,51,57,67,58,38,42,51,36,26,24,All
Leon Goodman,,,,,,,,,,,,,,,,,,,,,20,60,60,55,44,47,115,76,39,57,37,57,55,33,48,41,33,40,28,32,21,14,19,All
