col_1,col_2,col_3,division
,Mayor - Republican,Sheriff - Republican,6
,Melissa Murray Bailey,Christopher Sawyer,6
Melissa Murray Bailey,1,0,6
Christopher Sawyer,,0,6
Total,1,0,6
,Sheriff - Republican,Mayor - Republican,7
,Christopher Sawyer,Melissa Murray Bailey,7
Christopher Sawyer,1,0,7
Melissa Murray Bailey,,0,7
Total,1,0,7
,Sheriff - Republican,Mayor - Republican,12
,Christopher Sawyer,Melissa Murray Bailey,12
Christopher Sawyer,0,1,12
Melissa Murray Bailey,,0,12
Total,1,1,12
,Sheriff - Republican,Mayor - Republican,14
,Christopher Sawyer,Melissa Murray Bailey,14
Christopher Sawyer,0,1,14
Melissa Murray Bailey,,0,14
Total,1,1,14
,Mayor - Republican,Sheriff - Republican,17
,Melissa Murray Bailey,Christopher Sawyer,17
Melissa Murray Bailey,1,2,17
Christopher Sawyer,,0,17
Total,3,2,17
,Sheriff - Republican,Mayor - Republican,18
,Christopher Sawyer,Melissa Murray Bailey,18
Christopher Sawyer,1,1,18
Melissa Murray Bailey,,0,18
Total,2,1,18
,Sheriff - Republican,Mayor - Republican,20
,Christopher Sawyer,Melissa Murray Bailey,20
Christopher Sawyer,0,1,20
Melissa Murray Bailey,,0,20
Total,1,1,20
,Sheriff - Republican,Mayor - Republican,21
,Christopher Sawyer,Melissa Murray Bailey,21
Christopher Sawyer,0,6,21
Melissa Murray Bailey,,0,21
Total,6,6,21
,Mayor - Republican,Sheriff - Republican,22
,Melissa Murray Bailey,Christopher Sawyer,22
Melissa Murray Bailey,2,2,22
Christopher Sawyer,,0,22
Total,4,2,22
,Sheriff - Republican,Mayor - Republican,23
,Christopher Sawyer,Melissa Murray Bailey,23
Christopher Sawyer,2,14,23
Melissa Murray Bailey,,0,23
Total,16,14,23
,Sheriff - Republican,Mayor - Republican,24
,Christopher Sawyer,Melissa Murray Bailey,24
Christopher Sawyer,0,3,24
Melissa Murray Bailey,,0,24
Total,3,3,24
,Sheriff - Republican,Mayor - Republican,25
,Christopher Sawyer,Melissa Murray Bailey,25
Christopher Sawyer,2,5,25
Melissa Murray Bailey,,0,25
Total,7,5,25
,Sheriff - Republican,Mayor - Republican,28
,Christopher Sawyer,Melissa Murray Bailey,28
Christopher Sawyer,0,1,28
Melissa Murray Bailey,,0,28
Total,1,1,28
,Sheriff - Republican,Mayor - Republican,29
,Christopher Sawyer,Melissa Murray Bailey,29
Christopher Sawyer,0,4,29
Melissa Murray Bailey,,0,29
Total,4,4,29
,Sheriff - Republican,Mayor - Republican,30
,Christopher Sawyer,Melissa Murray Bailey,30
Christopher Sawyer,0,2,30
Melissa Murray Bailey,,0,30
Total,2,2,30
,Mayor - Republican,Sheriff - Republican,31
,Melissa Murray Bailey,Christopher Sawyer,31
Melissa Murray Bailey,1,4,31
Christopher Sawyer,,0,31
Total,5,4,31
,Sheriff - Republican,Mayor - Republican,33
,Christopher Sawyer,Melissa Murray Bailey,33
Christopher Sawyer,0,2,33
Melissa Murray Bailey,,0,33
Total,2,2,33
,Sheriff - Republican,Mayor - Republican,34
,Christopher Sawyer,Melissa Murray Bailey,34
Christopher Sawyer,1,9,34
Melissa Murray Bailey,,1,34
Total,10,10,34
,Sheriff - Republican,Mayor - Republican,35
,Christopher Sawyer,Melissa Murray Bailey,35
Christopher Sawyer,0,1,35
Melissa Murray Bailey,,0,35
Total,1,1,35
,Sheriff - Republican,Mayor - Republican,36
,Christopher Sawyer,Melissa Murray Bailey,36
Christopher Sawyer,0,1,36
Melissa Murray Bailey,,0,36
Total,1,1,36
,Sheriff - Republican,Mayor - Republican,37
,Christopher Sawyer,Melissa Murray Bailey,37
Christopher Sawyer,0,2,37
Melissa Murray Bailey,,0,37
Total,2,2,37
,Mayor - Republican,Sheriff - Republican,39
,Melissa Murray Bailey,Christopher Sawyer,39
Melissa Murray Bailey,1,2,39
Christopher Sawyer,,0,39
Total,3,2,39
,Sheriff - Republican,Mayor - Republican,41
,Christopher Sawyer,Melissa Murray Bailey,41
Christopher Sawyer,0,3,41
Melissa Murray Bailey,,0,41
Total,3,3,41
,Sheriff - Republican,Mayor - Republican,42
,Christopher Sawyer,Melissa Murray Bailey,42
Christopher Sawyer,0,1,42
Melissa Murray Bailey,,0,42
Total,1,1,42
,Sheriff - Republican,Mayor - Republican,All
,Christopher Sawyer,Melissa Murray Bailey,All
Christopher Sawyer,7,68,All
Melissa Murray Bailey,,7,All
Total,75,75,All
