col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,District Council 7th District - Democrat,,Judge Of The Municipal Court - Democrat,,,,,,,,All
,Manny Morales,Maria Quinones Sanchez,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Matthew Perks,Christian Dicicco,Gary S Silver,Franklin A Bennett Iii,Daniel R Sulman,All
Manny Morales,781,0,122,67,75,74,53,33,26,18,All
Maria Quinones Sanchez,,376,102,82,74,69,59,28,28,16,All
Sharon Williams Losier,,,13,61,59,55,28,18,16,7,All
Christine Hope,,,,9,35,27,48,17,25,11,All
Joffie C Pittman,,,,,9,51,16,13,10,13,All
Matthew Perks,,,,,,3,26,13,8,7,All
Christian Dicicco,,,,,,,10,13,15,7,All
Gary S Silver,,,,,,,,7,10,7,All
Franklin A Bennett Iii,,,,,,,,,1,3,All
Daniel R Sulman,,,,,,,,,,1,All
Total,"1,049",622,240,165,161,149,126,74,57,36,All
,District Council 7th District - Democrat,,Judge Of The Municipal Court - Democrat,,,,,,,,1
,Manny Morales,Maria Quinones Sanchez,Sharon Williams Losier,Matthew Perks,Joffie C Pittman,Christine Hope,Christian Dicicco,Franklin A Bennett Iii,Gary S Silver,Daniel R Sulman,1
Manny Morales,40,0,5,2,1,2,3,3,0,0,1
Maria Quinones Sanchez,,22,4,5,5,3,1,0,2,1,1
Sharon Williams Losier,,,2,2,1,3,2,2,1,1,1
Matthew Perks,,,,0,2,1,1,1,1,0,1
Joffie C Pittman,,,,,0,0,0,0,1,0,1
Christine Hope,,,,,,0,2,1,1,1,1
Christian Dicicco,,,,,,,0,2,0,0,1
Franklin A Bennett Iii,,,,,,,,0,0,0,1
Gary S Silver,,,,,,,,,1,0,1
Daniel R Sulman,,,,,,,,,,0,1
Total,48,33,11,7,6,5,4,3,3,1,1
,District Council 7th District - Democrat,,Judge Of The Municipal Court - Democrat,,,,,,,,2
