col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,Mayor - Democrat,,,,,,District Council 7th District - Democrat,,All
,Jim Kenney,Nelson Diaz,Anthony Hardy Williams,Lynne M Abraham,Doug Oliver,T Milton Street Sr,Maria Quinones Sanchez,Manny Morales,All
Jim Kenney,64,0,0,0,0,0,126,128,All
Nelson Diaz,,27,0,0,0,0,95,82,All
Anthony Hardy Williams,,,14,0,0,0,31,28,All
Lynne M Abraham,,,,9,0,0,15,13,All
Doug Oliver,,,,,1,0,11,4,All
T Milton Street Sr,,,,,,0,7,8,All
Maria Quinones Sanchez,,,,,,,25,0,All
Manny Morales,,,,,,,,36,All
Total,318,204,73,37,16,15,310,299,All
,District Council 7th District - Democrat,,Mayor - Democrat,,,,,,3
,Maria Quinones Sanchez,Manny Morales,Nelson Diaz,Jim Kenney,Anthony Hardy Williams,Doug Oliver,Lynne M Abraham,T Milton Street Sr,3
Maria Quinones Sanchez,3,0,25,7,6,2,2,2,3
Manny Morales,,5,4,7,3,0,0,0,3
Nelson Diaz,,,2,0,0,0,0,0,3
Jim Kenney,,,,2,0,0,0,0,3
Anthony Hardy Williams,,,,,2,0,0,0,3
Doug Oliver,,,,,,0,0,0,3
Lynne M Abraham,,,,,,,0,0,3
T Milton Street Sr,,,,,,,,0,3
Total,47,19,31,16,11,2,2,2,3
,District Council 7th District - Democrat,,Mayor - Democrat,,,,,,8
,Manny Morales,Maria Quinones Sanchez,Nelson Diaz,Jim Kenney,Anthony Hardy Williams,Doug Oliver,Lynne M Abraham,T Milton Street Sr,8
Manny Morales,9,0,11,12,6,0,1,1,8
Maria Quinones Sanchez,,2,17,5,2,1,0,0,8
Nelson Diaz,,,7,0,0,0,0,0,8
Jim Kenney,,,,5,0,0,0,0,8
Anthony Hardy Williams,,,,,3,0,0,0,8
Doug Oliver,,,,,,0,0,0,8
Lynne M Abraham,,,,,,,0,0,8
T Milton Street Sr,,,,,,,,0,8
Total,40,27,35,22,11,1,1,1,8
,District Council 7th District - Democrat,,Mayor - Democrat,,,,,,13
,Manny Morales,Maria Quinones Sanchez,Jim Kenney,Nelson Diaz,Lynne M Abraham,Anthony Hardy Williams,Doug Oliver,T Milton Street Sr,13
Manny Morales,7,0,22,17,6,3,1,1,13
Maria Quinones Sanchez,,1,6,4,2,3,2,0,13
Jim Kenney,,,4,0,0,0,0,0,13
Nelson Diaz,,,,6,0,0,0,0,13
Lynne M Abraham,,,,,0,0,0,0,13
Anthony Hardy Williams,,,,,,1,0,0,13
Doug Oliver,,,,,,,0,0,13
T Milton Street Sr,,,,,,,,0,13
Total,57,18,32,27,8,7,3,1,13
,District Council 7th District - Democrat,,Mayor - Democrat,,,,,,14
,Maria Quinones Sanchez,Manny Morales,Jim Kenney,Nelson Diaz,Anthony Hardy Williams,Doug Oliver,Lynne M Abraham,T Milton Street Sr,14
Maria Quinones Sanchez,3,0,25,21,8,2,2,0,14
Manny Morales,,2,21,6,2,1,1,0,14
Jim Kenney,,,13,0,0,0,0,0,14
Nelson Diaz,,,,2,0,0,0,0,14
Anthony Hardy Williams,,,,,5,0,0,0,14
Doug Oliver,,,,,,1,0,0,14
Lynne M Abraham,,,,,,,0,0,14
T Milton Street Sr,,,,,,,,0,14
Total,61,33,59,29,15,4,3,0,14
,District Council 7th District - Democrat,,Mayor - Democrat,,,,,,15
,Manny Morales,Maria Quinones Sanchez,Jim Kenney,Nelson Diaz,T Milton Street Sr,Anthony Hardy Williams,Lynne M Abraham,Doug Oliver,15
Manny Morales,2,0,20,12,4,4,1,2,15
Maria Quinones Sanchez,,1,15,8,4,2,1,0,15
Jim Kenney,,,7,0,0,0,0,0,15
Nelson Diaz,,,,4,0,0,0,0,15
T Milton Street Sr,,,,,0,0,0,0,15
Anthony Hardy Williams,,,,,,1,0,0,15
Lynne M Abraham,,,,,,,2,0,15
Doug Oliver,,,,,,,,0,15
Total,45,31,42,24,8,7,4,2,15
,Mayor - Democrat,,,,,,District Council 7th District - Democrat,,16
,Jim Kenney,Nelson Diaz,Lynne M Abraham,Anthony Hardy Williams,Doug Oliver,T Milton Street Sr,Maria Quinones Sanchez,Manny Morales,16
Jim Kenney,12,0,0,0,0,0,24,13,16
Nelson Diaz,,2,0,0,0,0,4,11,16
Lynne M Abraham,,,5,0,0,0,5,2,16
Anthony Hardy Williams,,,,1,0,0,4,4,16
Doug Oliver,,,,,0,0,2,0,16
T Milton Street Sr,,,,,,0,0,1,16
Maria Quinones Sanchez,,,,,,,4,0,16
Manny Morales,,,,,,,,5,16
Total,49,17,12,9,2,1,43,36,16
,Mayor - Democrat,,,,,,District Council 7th District - Democrat,,17
,Jim Kenney,Nelson Diaz,Anthony Hardy Williams,Lynne M Abraham,Doug Oliver,T Milton Street Sr,Maria Quinones Sanchez,Manny Morales,17
Jim Kenney,21,0,0,0,0,0,44,33,17
Nelson Diaz,,4,0,0,0,0,16,21,17
Anthony Hardy Williams,,,1,0,0,0,6,6,17
Lynne M Abraham,,,,2,0,0,3,2,17
Doug Oliver,,,,,0,0,2,0,17
T Milton Street Sr,,,,,,0,1,1,17
Maria Quinones Sanchez,,,,,,,11,0,17
Manny Morales,,,,,,,,6,17
Total,98,41,13,7,2,2,83,69,17
