col_1,col_2,division
,District Council 1st District - Democrat,1
,Mark F Squilla,1
Mark F Squilla,183,1
Total,183,1
,District Council 1st District - Democrat,2
,Mark F Squilla,2
Mark F Squilla,103,2
Total,103,2
,District Council 1st District - Democrat,3
,Mark F Squilla,3
Mark F Squilla,74,3
Total,74,3
,District Council 1st District - Democrat,4
,Mark F Squilla,4
Mark F Squilla,94,4
Total,94,4
,District Council 1st District - Democrat,5
,Mark F Squilla,5
Mark F Squilla,121,5
Total,121,5
,District Council 1st District - Democrat,6
,Mark F Squilla,6
Mark F Squilla,116,6
Total,116,6
,District Council 1st District - Democrat,7
,Mark F Squilla,7
Mark F Squilla,128,7
Total,128,7
,District Council 1st District - Democrat,8
,Mark F Squilla,8
Mark F Squilla,77,8
Total,77,8
,District Council 1st District - Democrat,10
,Mark F Squilla,10
Mark F Squilla,113,10
Total,113,10
,District Council 1st District - Democrat,11
,Mark F Squilla,11
Mark F Squilla,89,11
Total,89,11
,District Council 1st District - Democrat,12
,Mark F Squilla,12
Mark F Squilla,120,12
Total,120,12
,District Council 1st District - Democrat,13
,Mark F Squilla,13
Mark F Squilla,39,13
Total,39,13
,District Council 1st District - Democrat,14
,Mark F Squilla,14
Mark F Squilla,141,14
Total,141,14
,District Council 1st District - Democrat,15
,Mark F Squilla,15
Mark F Squilla,140,15
Total,140,15
,District Council 1st District - Democrat,16
,Mark F Squilla,16
Mark F Squilla,181,16
Total,181,16
,District Council 1st District - Democrat,17
,Mark F Squilla,17
Mark F Squilla,114,17
Total,114,17
,District Council 1st District - Democrat,18
,Mark F Squilla,18
Mark F Squilla,119,18
Total,119,18
,District Council 1st District - Democrat,23
,Mark F Squilla,23
Mark F Squilla,172,23
Total,172,23
,District Council 1st District - Democrat,24
,Mark F Squilla,24
Mark F Squilla,139,24
Total,139,24
,District Council 1st District - Democrat,25
,Mark F Squilla,25
Mark F Squilla,127,25
Total,127,25
,District Council 1st District - Democrat,26
,Mark F Squilla,26
Mark F Squilla,167,26
Total,167,26
,District Council 1st District - Democrat,27
,Mark F Squilla,27
Mark F Squilla,171,27
Total,171,27
,District Council 1st District - Democrat,All
,Mark F Squilla,All
Mark F Squilla,"2,728",All
Total,"2,728",All
