col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,division
,District Council 1st District - Democrat,Council At Large - Democrat,,,,,,,,,,,,,,,,All
,Mark F Squilla,William K Greenlee,Sherrie Cohen,Ed Neilson,Helen Gym,Blondell Reynolds Brown,Allan Domb,Paul Steinke,W Wilson Goode Jr,Derek S Green,Frank Rizzo,Thomas Wyatt,Jenne Ayers,Isaiah Thomas,Carla M Cain,Marnie Aument Loughrey,Wilson Alexander,All
Mark F Squilla,93,555,435,462,375,347,269,253,234,236,206,163,189,142,118,125,94,All
William K Greenlee,,8,293,433,130,275,104,77,184,87,94,43,25,49,18,50,12,All
Sherrie Cohen,,,11,234,213,263,77,106,168,54,60,62,82,57,57,51,17,All
Ed Neilson,,,,4,78,211,58,55,146,51,61,30,19,29,18,37,7,All
Helen Gym,,,,,25,126,94,169,75,64,46,97,76,95,56,59,34,All
Blondell Reynolds Brown,,,,,,4,57,62,163,56,52,38,33,38,25,42,10,All
Allan Domb,,,,,,,21,89,29,62,87,76,41,40,49,38,28,All
Paul Steinke,,,,,,,,6,42,71,51,102,38,74,28,29,37,All
W Wilson Goode Jr,,,,,,,,,2,29,44,26,10,47,6,11,11,All
Derek S Green,,,,,,,,,,3,44,62,62,46,38,28,46,All
Frank Rizzo,,,,,,,,,,,13,32,24,15,24,24,17,All
Thomas Wyatt,,,,,,,,,,,,10,40,47,36,27,27,All
Jenne Ayers,,,,,,,,,,,,,3,24,57,34,28,All
Isaiah Thomas,,,,,,,,,,,,,,2,9,17,16,All
Carla M Cain,,,,,,,,,,,,,,,3,38,14,All
Marnie Aument Loughrey,,,,,,,,,,,,,,,,2,10,All
Wilson Alexander,,,,,,,,,,,,,,,,,1,All
Total,"1,298",647,531,530,482,410,336,318,272,268,240,224,205,170,144,140,106,All
,District Council 1st District - Democrat,Council At Large - Democrat,,,,,,,,,,,,,,,,1
,Mark F Squilla,Helen Gym,Sherrie Cohen,Blondell Reynolds Brown,William K Greenlee,Allan Domb,Ed Neilson,Jenne Ayers,Paul Steinke,W Wilson Goode Jr,Derek S Green,Carla M Cain,Isaiah Thomas,Marnie Aument Loughrey,Frank Rizzo,Thomas Wyatt,Wilson Alexander,1
Mark F Squilla,2,31,29,24,22,15,16,15,15,15,14,13,11,8,8,7,5,1
Helen Gym,,4,20,12,9,6,6,7,10,6,2,10,5,6,0,2,1,1
Sherrie Cohen,,,2,16,13,2,10,10,6,9,3,7,1,3,3,2,0,1
Blondell Reynolds Brown,,,,0,14,2,8,5,3,11,4,3,2,2,4,2,0,1
William K Greenlee,,,,,0,4,9,2,2,9,5,2,1,2,1,2,0,1
Allan Domb,,,,,,1,2,1,5,1,3,3,2,4,2,2,0,1
Ed Neilson,,,,,,,0,2,3,4,2,2,1,1,1,1,0,1
Jenne Ayers,,,,,,,,0,1,0,1,8,2,4,2,2,0,1
Paul Steinke,,,,,,,,,0,5,5,2,8,1,1,4,2,1
W Wilson Goode Jr,,,,,,,,,,0,3,0,5,0,3,2,1,1
Derek S Green,,,,,,,,,,,0,1,4,2,1,3,2,1
Carla M Cain,,,,,,,,,,,,0,2,6,2,2,0,1
Isaiah Thomas,,,,,,,,,,,,,0,1,2,4,2,1
Marnie Aument Loughrey,,,,,,,,,,,,,,0,1,0,1,1
Frank Rizzo,,,,,,,,,,,,,,,0,1,0,1
Thomas Wyatt,,,,,,,,,,,,,,,,0,1,1
Wilson Alexander,,,,,,,,,,,,,,,,,0,1
Total,75,37,34,25,23,16,16,16,16,16,15,14,12,9,8,8,6,1
,District Council 1st District - Democrat,Council At Large - Democrat,,,,,,,,,,,,,,,,3
,Mark F Squilla,Helen Gym,Paul Steinke,Blondell Reynolds Brown,Sherrie Cohen,William K Greenlee,Allan Domb,Jenne Ayers,Derek S Green,Thomas Wyatt,Ed Neilson,Frank Rizzo,W Wilson Goode Jr,Isaiah Thomas,Marnie Aument Loughrey,Wilson Alexander,Carla M Cain,3
Mark F Squilla,4,19,16,13,14,13,12,11,9,9,9,9,9,6,6,6,2,3
Helen Gym,,0,12,8,9,4,5,9,3,9,2,1,3,6,1,0,1,3
Paul Steinke,,,0,5,6,2,5,6,3,9,0,3,3,5,2,2,0,3
Blondell Reynolds Brown,,,,2,6,6,1,1,3,3,5,0,4,3,1,0,0,3
Sherrie Cohen,,,,,0,6,2,6,2,3,3,3,6,3,2,1,2,3
William K Greenlee,,,,,,2,2,2,1,0,9,3,5,0,3,0,0,3
Allan Domb,,,,,,,0,1,2,3,0,4,0,2,3,2,0,3
Jenne Ayers,,,,,,,,0,4,3,1,0,1,3,1,4,2,3
Derek S Green,,,,,,,,,0,2,0,1,1,1,2,5,1,3
Thomas Wyatt,,,,,,,,,,0,0,0,1,3,1,2,0,3
