col_1,col_2,col_3,division
,Special Election Senator In The General Assembly 5th District,,All
,John Sabatina Jr,Timothy Dailey,All
John Sabatina Jr,991,0,All
Timothy Dailey,,467,All
Total,991,467,All
,Special Election Senator In The General Assembly 5th District,,1
,John Sabatina Jr,Timothy Dailey,1
John Sabatina Jr,64,0,1
Timothy Dailey,,32,1
Total,64,32,1
,Special Election Senator In The General Assembly 5th District,,2
,John Sabatina Jr,Timothy Dailey,2
John Sabatina Jr,32,0,2
Timothy Dailey,,11,2
Total,32,11,2
,Special Election Senator In The General Assembly 5th District,,3
,Timothy Dailey,John Sabatina Jr,3
Timothy Dailey,79,0,3
John Sabatina Jr,,72,3
Total,79,72,3
,Special Election Senator In The General Assembly 5th District,,4
,John Sabatina Jr,Timothy Dailey,4
John Sabatina Jr,97,0,4
Timothy Dailey,,31,4
Total,97,31,4
,Special Election Senator In The General Assembly 5th District,,5
,John Sabatina Jr,Timothy Dailey,5
John Sabatina Jr,43,0,5
Timothy Dailey,,36,5
Total,43,36,5
,Special Election Senator In The General Assembly 5th District,,6
,John Sabatina Jr,Timothy Dailey,6
John Sabatina Jr,33,0,6
Timothy Dailey,,28,6
Total,33,28,6
,Special Election Senator In The General Assembly 5th District,,7
,John Sabatina Jr,Timothy Dailey,7
John Sabatina Jr,26,0,7
Timothy Dailey,,16,7
Total,26,16,7
,Special Election Senator In The General Assembly 5th District,,8
,John Sabatina Jr,Timothy Dailey,8
John Sabatina Jr,21,0,8
Timothy Dailey,,4,8
Total,21,4,8
,Special Election Senator In The General Assembly 5th District,,9
,John Sabatina Jr,Timothy Dailey,9
John Sabatina Jr,17,0,9
Timothy Dailey,,5,9
Total,17,5,9
,Special Election Senator In The General Assembly 5th District,,10
,John Sabatina Jr,Timothy Dailey,10
John Sabatina Jr,15,0,10
Timothy Dailey,,4,10
Total,15,4,10
,Special Election Senator In The General Assembly 5th District,,11
,John Sabatina Jr,Timothy Dailey,11
John Sabatina Jr,33,0,11
Timothy Dailey,,5,11
Total,33,5,11
,Special Election Senator In The General Assembly 5th District,,12
,John Sabatina Jr,Timothy Dailey,12
John Sabatina Jr,20,0,12
Timothy Dailey,,1,12
Total,20,1,12
,Special Election Senator In The General Assembly 5th District,,13
,John Sabatina Jr,Timothy Dailey,13
John Sabatina Jr,34,0,13
Timothy Dailey,,5,13
Total,34,5,13
,Special Election Senator In The General Assembly 5th District,,14
,John Sabatina Jr,Timothy Dailey,14
John Sabatina Jr,13,0,14
Timothy Dailey,,4,14
Total,13,4,14
,Special Election Senator In The General Assembly 5th District,,15
,John Sabatina Jr,Timothy Dailey,15
John Sabatina Jr,45,0,15
Timothy Dailey,,19,15
Total,45,19,15
,Special Election Senator In The General Assembly 5th District,,16
,John Sabatina Jr,Timothy Dailey,16
John Sabatina Jr,19,0,16
Timothy Dailey,,5,16
Total,19,5,16
,Special Election Senator In The General Assembly 5th District,,17
,John Sabatina Jr,Timothy Dailey,17
John Sabatina Jr,32,0,17
Timothy Dailey,,13,17
Total,32,13,17
,Special Election Senator In The General Assembly 5th District,,18
,John Sabatina Jr,Timothy Dailey,18
John Sabatina Jr,25,0,18
Timothy Dailey,,1,18
Total,25,1,18
,Special Election Senator In The General Assembly 5th District,,19
,John Sabatina Jr,Timothy Dailey,19
John Sabatina Jr,15,0,19
Timothy Dailey,,9,19
Total,15,9,19
,Special Election Senator In The General Assembly 5th District,,20
,John Sabatina Jr,Timothy Dailey,20
John Sabatina Jr,78,0,20
Timothy Dailey,,41,20
Total,78,41,20
,Special Election Senator In The General Assembly 5th District,,21
,John Sabatina Jr,Timothy Dailey,21
John Sabatina Jr,15,0,21
Timothy Dailey,,6,21
Total,15,6,21
,Special Election Senator In The General Assembly 5th District,,22
,John Sabatina Jr,Timothy Dailey,22
John Sabatina Jr,70,0,22
Timothy Dailey,,22,22
Total,70,22,22
,Special Election Senator In The General Assembly 5th District,,23
,John Sabatina Jr,Timothy Dailey,23
John Sabatina Jr,62,0,23
Timothy Dailey,,30,23
Total,62,30,23
,Special Election Senator In The General Assembly 5th District,,24
,John Sabatina Jr,Timothy Dailey,24
John Sabatina Jr,68,0,24
Timothy Dailey,,38,24
Total,68,38,24
,Special Election Senator In The General Assembly 5th District,,25
,John Sabatina Jr,Timothy Dailey,25
John Sabatina Jr,42,0,25
Timothy Dailey,,22,25
Total,42,22,25
