col_1,col_2,col_3,col_4,division
,Judge Of The Superior Court - Democrat,,District Council 1st District - Democrat,1
,Alice Beck Dubow,Robert Colville,Mark F Squilla,1
Alice Beck Dubow,126,0,0,1
Robert Colville,,11,0,1
Mark F Squilla,,,0,1
Total,126,11,0,1
,Judge Of The Superior Court - Democrat,,District Council 1st District - Democrat,2
,Alice Beck Dubow,Robert Colville,Mark F Squilla,2
Alice Beck Dubow,113,0,0,2
Robert Colville,,14,0,2
Mark F Squilla,,,0,2
Total,113,14,0,2
,Judge Of The Superior Court - Democrat,,District Council 1st District - Democrat,3
,Alice Beck Dubow,Robert Colville,Mark F Squilla,3
Alice Beck Dubow,30,0,0,3
Robert Colville,,5,0,3
Mark F Squilla,,,0,3
Total,30,5,0,3
,Judge Of The Superior Court - Democrat,,District Council 1st District - Democrat,4
,Alice Beck Dubow,Robert Colville,Mark F Squilla,4
Alice Beck Dubow,87,0,0,4
Robert Colville,,18,0,4
Mark F Squilla,,,0,4
Total,87,18,0,4
,District Council 1st District - Democrat,Judge Of The Superior Court - Democrat,,5
,Mark F Squilla,Alice Beck Dubow,Robert Colville,5
Mark F Squilla,17,66,13,5
Alice Beck Dubow,,11,0,5
Robert Colville,,,0,5
Total,96,77,13,5
,Judge Of The Superior Court - Democrat,,District Council 1st District - Democrat,6
,Alice Beck Dubow,Robert Colville,Mark F Squilla,6
Alice Beck Dubow,63,0,0,6
Robert Colville,,9,0,6
Mark F Squilla,,,0,6
Total,63,9,0,6
,Judge Of The Superior Court - Democrat,,District Council 1st District - Democrat,7
,Alice Beck Dubow,Robert Colville,Mark F Squilla,7
Alice Beck Dubow,94,0,0,7
Robert Colville,,14,0,7
Mark F Squilla,,,0,7
Total,94,14,0,7
,Judge Of The Superior Court - Democrat,,District Council 1st District - Democrat,8
,Alice Beck Dubow,Robert Colville,Mark F Squilla,8
Alice Beck Dubow,25,0,0,8
Robert Colville,,6,0,8
Mark F Squilla,,,0,8
Total,25,6,0,8
,Judge Of The Superior Court - Democrat,,District Council 1st District - Democrat,9
,Alice Beck Dubow,Robert Colville,Mark F Squilla,9
Alice Beck Dubow,105,0,0,9
Robert Colville,,11,0,9
Mark F Squilla,,,0,9
Total,105,11,0,9
,Judge Of The Superior Court - Democrat,,District Council 1st District - Democrat,10
,Alice Beck Dubow,Robert Colville,Mark F Squilla,10
Alice Beck Dubow,105,0,0,10
Robert Colville,,6,0,10
Mark F Squilla,,,0,10
Total,105,6,0,10
,Judge Of The Superior Court - Democrat,,District Council 1st District - Democrat,11
,Alice Beck Dubow,Robert Colville,Mark F Squilla,11
Alice Beck Dubow,86,0,0,11
Robert Colville,,8,0,11
Mark F Squilla,,,0,11
Total,86,8,0,11
,Judge Of The Superior Court - Democrat,,District Council 1st District - Democrat,12
,Alice Beck Dubow,Robert Colville,Mark F Squilla,12
Alice Beck Dubow,86,0,0,12
Robert Colville,,11,0,12
Mark F Squilla,,,0,12
Total,86,11,0,12
,Judge Of The Superior Court - Democrat,,District Council 1st District - Democrat,13
,Alice Beck Dubow,Robert Colville,Mark F Squilla,13
Alice Beck Dubow,29,0,0,13
Robert Colville,,8,0,13
Mark F Squilla,,,0,13
Total,29,8,0,13
,Judge Of The Superior Court - Democrat,,District Council 1st District - Democrat,14
,Alice Beck Dubow,Robert Colville,Mark F Squilla,14
Alice Beck Dubow,62,0,0,14
Robert Colville,,12,0,14
Mark F Squilla,,,0,14
Total,62,12,0,14
,Judge Of The Superior Court - Democrat,,District Council 1st District - Democrat,15
,Alice Beck Dubow,Robert Colville,Mark F Squilla,15
Alice Beck Dubow,40,0,0,15
Robert Colville,,7,0,15
Mark F Squilla,,,0,15
Total,40,7,0,15
,Judge Of The Superior Court - Democrat,,District Council 1st District - Democrat,16
,Alice Beck Dubow,Robert Colville,Mark F Squilla,16
Alice Beck Dubow,45,0,0,16
Robert Colville,,8,0,16
Mark F Squilla,,,0,16
Total,45,8,0,16
,Judge Of The Superior Court - Democrat,,District Council 1st District - Democrat,17
,Alice Beck Dubow,Robert Colville,Mark F Squilla,17
Alice Beck Dubow,84,0,0,17
Robert Colville,,9,0,17
Mark F Squilla,,,0,17
Total,84,9,0,17
,Judge Of The Superior Court - Democrat,,District Council 1st District - Democrat,All
,Alice Beck Dubow,Robert Colville,Mark F Squilla,All
Alice Beck Dubow,"1,191",0,66,All
Robert Colville,,157,13,All
Mark F Squilla,,,17,All
Total,"1,257",170,96,All
