col_1,col_2,division
,Judge Of The Municipal Court - Republican,1
,Christine Hope,1
Christine Hope,7,1
Total,7,1
,Judge Of The Municipal Court - Republican,2
,Christine Hope,2
Christine Hope,11,2
Total,11,2
,Judge Of The Municipal Court - Republican,3
,Christine Hope,3
Christine Hope,1,3
Total,1,3
,Judge Of The Municipal Court - Republican,4
,Christine Hope,4
Christine Hope,7,4
Total,7,4
,Judge Of The Municipal Court - Republican,5
,Christine Hope,5
Christine Hope,14,5
Total,14,5
,Judge Of The Municipal Court - Republican,6
,Christine Hope,6
Christine Hope,12,6
Total,12,6
,Judge Of The Municipal Court - Republican,7
,Christine Hope,7
Christine Hope,6,7
Total,6,7
,Judge Of The Municipal Court - Republican,9
,Christine Hope,9
Christine Hope,3,9
Total,3,9
,Judge Of The Municipal Court - Republican,10
,Christine Hope,10
Christine Hope,8,10
Total,8,10
,Judge Of The Municipal Court - Republican,11
,Christine Hope,11
Christine Hope,14,11
Total,14,11
,Judge Of The Municipal Court - Republican,12
,Christine Hope,12
Christine Hope,16,12
Total,16,12
,Judge Of The Municipal Court - Republican,13
,Christine Hope,13
Christine Hope,1,13
Total,1,13
,Judge Of The Municipal Court - Republican,14
,Christine Hope,14
Christine Hope,3,14
Total,3,14
,Judge Of The Municipal Court - Republican,15
,Christine Hope,15
Christine Hope,1,15
Total,1,15
,Judge Of The Municipal Court - Republican,16
,Christine Hope,16
Christine Hope,4,16
Total,4,16
,Judge Of The Municipal Court - Republican,17
,Christine Hope,17
Christine Hope,5,17
Total,5,17
,Judge Of The Municipal Court - Republican,All
,Christine Hope,All
Christine Hope,113,All
Total,113,All
