col_1,col_2,col_3,col_4,division
,Register Of Wills - Democrat,Judge Of The Superior Court - Democrat,,All
,Ronald R Donatucci,Alice Beck Dubow,Robert Colville,All
Ronald R Donatucci,118,828,132,All
Alice Beck Dubow,,229,0,All
Robert Colville,,,47,All
Total,"1,078","1,057",179,All
,Judge Of The Superior Court - Democrat,,Register Of Wills - Democrat,1
,Alice Beck Dubow,Robert Colville,Ronald R Donatucci,1
Alice Beck Dubow,8,0,38,1
Robert Colville,,1,7,1
Ronald R Donatucci,,,1,1
Total,46,8,46,1
,Judge Of The Superior Court - Democrat,,Register Of Wills - Democrat,2
,Alice Beck Dubow,Robert Colville,Ronald R Donatucci,2
Alice Beck Dubow,17,0,57,2
Robert Colville,,3,10,2
Ronald R Donatucci,,,7,2
Total,74,13,74,2
,Register Of Wills - Democrat,Judge Of The Superior Court - Democrat,,3
,Ronald R Donatucci,Alice Beck Dubow,Robert Colville,3
Ronald R Donatucci,4,29,8,3
Alice Beck Dubow,,7,0,3
Robert Colville,,,3,3
Total,41,36,11,3
,Register Of Wills - Democrat,Judge Of The Superior Court - Democrat,,4
,Ronald R Donatucci,Alice Beck Dubow,Robert Colville,4
Ronald R Donatucci,8,24,4,4
Alice Beck Dubow,,10,0,4
Robert Colville,,,1,4
Total,36,34,5,4
,Register Of Wills - Democrat,Judge Of The Superior Court - Democrat,,5
,Ronald R Donatucci,Alice Beck Dubow,Robert Colville,5
Ronald R Donatucci,7,31,5,5
Alice Beck Dubow,,6,0,5
Robert Colville,,,3,5
Total,43,37,8,5
,Judge Of The Superior Court - Democrat,,Register Of Wills - Democrat,6
,Alice Beck Dubow,Robert Colville,Ronald R Donatucci,6
Alice Beck Dubow,12,0,15,6
Robert Colville,,2,4,6
Ronald R Donatucci,,,2,6
Total,27,6,21,6
,Register Of Wills - Democrat,Judge Of The Superior Court - Democrat,,7
,Ronald R Donatucci,Alice Beck Dubow,Robert Colville,7
Ronald R Donatucci,5,33,5,7
Alice Beck Dubow,,9,0,7
Robert Colville,,,3,7
Total,43,42,8,7
,Register Of Wills - Democrat,Judge Of The Superior Court - Democrat,,8
,Ronald R Donatucci,Alice Beck Dubow,Robert Colville,8
Ronald R Donatucci,5,19,3,8
Alice Beck Dubow,,2,0,8
Robert Colville,,,1,8
Total,27,21,4,8
,Judge Of The Superior Court - Democrat,,Register Of Wills - Democrat,9
,Alice Beck Dubow,Robert Colville,Ronald R Donatucci,9
Alice Beck Dubow,8,0,54,9
Robert Colville,,0,3,9
Ronald R Donatucci,,,1,9
Total,62,3,58,9
,Register Of Wills - Democrat,Judge Of The Superior Court - Democrat,,10
,Ronald R Donatucci,Alice Beck Dubow,Robert Colville,10
Ronald R Donatucci,9,34,4,10
Alice Beck Dubow,,11,0,10
Robert Colville,,,0,10
Total,47,45,4,10
,Register Of Wills - Democrat,Judge Of The Superior Court - Democrat,,11
,Ronald R Donatucci,Alice Beck Dubow,Robert Colville,11
Ronald R Donatucci,5,9,5,11
Alice Beck Dubow,,5,0,11
Robert Colville,,,0,11
Total,19,14,5,11
,Register Of Wills - Democrat,Judge Of The Superior Court - Democrat,,12
,Ronald R Donatucci,Alice Beck Dubow,Robert Colville,12
Ronald R Donatucci,5,27,6,12
Alice Beck Dubow,,5,0,12
Robert Colville,,,1,12
Total,38,32,7,12
,Register Of Wills - Democrat,Judge Of The Superior Court - Democrat,,13
,Ronald R Donatucci,Alice Beck Dubow,Robert Colville,13
Ronald R Donatucci,7,31,3,13
Alice Beck Dubow,,3,0,13
Robert Colville,,,1,13
Total,41,34,4,13
,Judge Of The Superior Court - Democrat,,Register Of Wills - Democrat,14
,Alice Beck Dubow,Robert Colville,Ronald R Donatucci,14
Alice Beck Dubow,9,0,35,14
Robert Colville,,4,3,14
Ronald R Donatucci,,,6,14
Total,44,7,44,14
,Register Of Wills - Democrat,Judge Of The Superior Court - Democrat,,15
,Ronald R Donatucci,Alice Beck Dubow,Robert Colville,15
Ronald R Donatucci,5,39,11,15
Alice Beck Dubow,,10,0,15
Robert Colville,,,3,15
Total,55,49,14,15
,Judge Of The Superior Court - Democrat,,Register Of Wills - Democrat,16
,Alice Beck Dubow,Robert Colville,Ronald R Donatucci,16
Alice Beck Dubow,15,0,51,16
Robert Colville,,3,10,16
Ronald R Donatucci,,,5,16
Total,66,13,66,16
,Register Of Wills - Democrat,Judge Of The Superior Court - Democrat,,17
,Ronald R Donatucci,Alice Beck Dubow,Robert Colville,17
Ronald R Donatucci,3,17,3,17
Alice Beck Dubow,,4,0,17
Robert Colville,,,1,17
Total,23,21,4,17
,Judge Of The Superior Court - Democrat,,Register Of Wills - Democrat,18
,Alice Beck Dubow,Robert Colville,Ronald R Donatucci,18
Alice Beck Dubow,4,0,13,18
Robert Colville,,2,1,18
Ronald R Donatucci,,,0,18
Total,17,3,14,18
,Judge Of The Superior Court - Democrat,,Register Of Wills - Democrat,19
,Alice Beck Dubow,Robert Colville,Ronald R Donatucci,19
Alice Beck Dubow,15,0,23,19
Robert Colville,,2,6,19
Ronald R Donatucci,,,5,19
Total,38,8,34,19
,Judge Of The Superior Court - Democrat,,Register Of Wills - Democrat,20
,Alice Beck Dubow,Robert Colville,Ronald R Donatucci,20
Alice Beck Dubow,9,0,25,20
Robert Colville,,3,4,20
Ronald R Donatucci,,,3,20
Total,34,7,32,20
