col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,division
,Mayor - Democrat,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,All
,Jim Kenney,Anthony Hardy Williams,Lynne M Abraham,Doug Oliver,Nelson Diaz,T Milton Street Sr,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Christian Dicicco,Matthew Perks,Daniel R Sulman,Gary S Silver,Franklin A Bennett Iii,All
Jim Kenney,"46,811",0,0,0,0,0,"32,705","37,540","29,682","25,317","20,198","15,851","10,540","6,434",All
Anthony Hardy Williams,,"22,966",0,0,0,0,"24,019","13,515","15,687","5,529","8,373","2,712","4,197","3,342",All
Lynne M Abraham,,,"6,706",0,0,0,"5,029","5,932","3,615","4,023","3,418","2,550","1,984","1,164",All
Doug Oliver,,,,"2,943",0,0,"3,359","3,169","2,514","1,479","1,722","1,159","1,131",789,All
Nelson Diaz,,,,,"3,912",0,"1,922","1,863","1,613","1,197","1,238",931,644,532,All
T Milton Street Sr,,,,,,"1,217","1,384",631,"1,108",335,925,198,310,233,All
Sharon Williams Losier,,,,,,,649,"32,555","25,253","14,688","11,929","4,623","6,321","4,449",All
Christine Hope,,,,,,,,334,"20,047","16,913","8,765","5,653","6,789","5,499",All
Joffie C Pittman,,,,,,,,,396,"5,944","16,959","12,747","3,544","2,553",All
Christian Dicicco,,,,,,,,,,172,"5,250","4,274","4,342","3,230",All
Matthew Perks,,,,,,,,,,,304,"9,217","3,812","2,408",All
Daniel R Sulman,,,,,,,,,,,,86,"2,550","1,239",All
Gary S Silver,,,,,,,,,,,,,83,"2,660",All
Franklin A Bennett Iii,,,,,,,,,,,,,,64,All
Total,"129,148","60,431","19,420","9,816","8,583","3,897","70,009","63,606","55,585","38,345","36,632","23,818","19,042","12,662",All
