col_1,col_2,col_3,col_4,division
,District Council 5th District - Democrat,Judge Of The Commonwealth Court - Democrat,,All
,Darrell L Clarke,Todd Eagen,Michael Wojcik,All
Darrell L Clarke,142,173,152,All
Todd Eagen,,50,0,All
Michael Wojcik,,,33,All
Total,467,223,185,All
,District Council 5th District - Democrat,Judge Of The Commonwealth Court - Democrat,,15
,Darrell L Clarke,Todd Eagen,Michael Wojcik,15
Darrell L Clarke,26,37,22,15
Todd Eagen,,8,0,15
Michael Wojcik,,,9,15
Total,85,45,31,15
,District Council 5th District - Democrat,Judge Of The Commonwealth Court - Democrat,,17
,Darrell L Clarke,Todd Eagen,Michael Wojcik,17
Darrell L Clarke,56,60,50,17
Todd Eagen,,20,0,17
Michael Wojcik,,,13,17
Total,166,80,63,17
,District Council 5th District - Democrat,Judge Of The Commonwealth Court - Democrat,,20
,Darrell L Clarke,Todd Eagen,Michael Wojcik,20
Darrell L Clarke,14,34,25,20
Todd Eagen,,8,0,20
Michael Wojcik,,,2,20
Total,73,42,27,20
,District Council 5th District - Democrat,Judge Of The Commonwealth Court - Democrat,,23
,Darrell L Clarke,Michael Wojcik,Todd Eagen,23
Darrell L Clarke,46,55,42,23
Michael Wojcik,,9,0,23
Todd Eagen,,,14,23
Total,143,64,56,23
