col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,division
,District Council 5th District - Democrat,Council At Large - Democrat,,,,,,,,,,,,,,,,All
,Darrell L Clarke,Blondell Reynolds Brown,Derek S Green,William K Greenlee,Allan Domb,Helen Gym,Sherrie Cohen,W Wilson Goode Jr,Paul Steinke,Isaiah Thomas,Jenne Ayers,Thomas Wyatt,Ed Neilson,Wilson Alexander,Frank Rizzo,Carla M Cain,Marnie Aument Loughrey,All
Darrell L Clarke,"1,643","5,329","5,175","4,588","3,866","3,384","3,714","3,769","2,819","3,238","3,074","2,009","2,025","1,620","1,360","1,286",761,All
Blondell Reynolds Brown,,116,"1,785","3,226","1,580","1,574","2,424","2,894","1,196","1,798",950,607,"1,751",380,599,509,325,All
Derek S Green,,,193,"1,477","1,658",940,947,"1,107","1,127","1,613","1,469","1,208",672,"1,155",419,574,283,All
William K Greenlee,,,,198,"1,812","1,653","2,288","2,224","1,526","1,371",538,586,"1,892",220,579,264,239,All
Allan Domb,,,,,420,"1,592","1,277","1,076","1,887","1,289",857,"1,191",678,441,697,617,285,All
Helen Gym,,,,,,208,"2,161","1,034","2,371","1,161",820,"1,088",361,182,405,486,327,All
Sherrie Cohen,,,,,,,59,"1,594","1,665",932,860,709,"1,112",243,487,596,294,All
W Wilson Goode Jr,,,,,,,,63,699,"1,552",555,492,"1,326",226,579,255,117,All
Paul Steinke,,,,,,,,,101,"1,121",511,"1,436",375,195,369,260,201,All
Isaiah Thomas,,,,,,,,,,191,633,934,734,241,386,290,153,All
Jenne Ayers,,,,,,,,,,,149,582,170,875,304,666,307,All
Thomas Wyatt,,,,,,,,,,,,84,202,395,247,428,153,All
Ed Neilson,,,,,,,,,,,,,41,96,162,91,145,All
Wilson Alexander,,,,,,,,,,,,,,57,127,234,84,All
Frank Rizzo,,,,,,,,,,,,,,,47,179,124,All
Carla M Cain,,,,,,,,,,,,,,,,52,256,All
Marnie Aument Loughrey,,,,,,,,,,,,,,,,,32,All
Total,"15,738","6,617","6,404","6,123","5,921","5,151","4,992","4,695","4,540","4,528","3,668","3,040","2,680","1,884","1,740","1,739",947,All
