col_1,col_2,division
,Judge Of The Superior Court - Republican,1
,Emil Giordano,1
Emil Giordano,3,1
Total,3,1
,Judge Of The Superior Court - Republican,2
,Emil Giordano,2
Emil Giordano,2,2
Total,2,2
,Judge Of The Superior Court - Republican,3
,Emil Giordano,3
Emil Giordano,4,3
Total,4,3
,Judge Of The Superior Court - Republican,4
,Emil Giordano,4
Emil Giordano,9,4
Total,9,4
,Judge Of The Superior Court - Republican,5
,Emil Giordano,5
Emil Giordano,1,5
Total,1,5
,Judge Of The Superior Court - Republican,6
,Emil Giordano,6
Emil Giordano,4,6
Total,4,6
,Judge Of The Superior Court - Republican,7
,Emil Giordano,7
Emil Giordano,7,7
Total,7,7
,Judge Of The Superior Court - Republican,8
,Emil Giordano,8
Emil Giordano,6,8
Total,6,8
,Judge Of The Superior Court - Republican,9
,Emil Giordano,9
Emil Giordano,2,9
Total,2,9
,Judge Of The Superior Court - Republican,10
,Emil Giordano,10
Emil Giordano,3,10
Total,3,10
,Judge Of The Superior Court - Republican,12
,Emil Giordano,12
Emil Giordano,9,12
Total,9,12
,Judge Of The Superior Court - Republican,13
,Emil Giordano,13
Emil Giordano,1,13
Total,1,13
,Judge Of The Superior Court - Republican,14
,Emil Giordano,14
Emil Giordano,21,14
Total,21,14
,Judge Of The Superior Court - Republican,15
,Emil Giordano,15
Emil Giordano,7,15
Total,7,15
,Judge Of The Superior Court - Republican,16
,Emil Giordano,16
Emil Giordano,4,16
Total,4,16
,Judge Of The Superior Court - Republican,17
,Emil Giordano,17
Emil Giordano,5,17
Total,5,17
,Judge Of The Superior Court - Republican,18
,Emil Giordano,18
Emil Giordano,7,18
Total,7,18
,Judge Of The Superior Court - Republican,19
,Emil Giordano,19
Emil Giordano,2,19
Total,2,19
,Judge Of The Superior Court - Republican,20
,Emil Giordano,20
Emil Giordano,2,20
Total,2,20
,Judge Of The Superior Court - Republican,21
,Emil Giordano,21
Emil Giordano,1,21
Total,1,21
,Judge Of The Superior Court - Republican,23
,Emil Giordano,23
Emil Giordano,5,23
Total,5,23
,Judge Of The Superior Court - Republican,24
,Emil Giordano,24
Emil Giordano,2,24
Total,2,24
,Judge Of The Superior Court - Republican,25
,Emil Giordano,25
Emil Giordano,5,25
Total,5,25
,Judge Of The Superior Court - Republican,26
,Emil Giordano,26
Emil Giordano,7,26
Total,7,26
,Judge Of The Superior Court - Republican,27
,Emil Giordano,27
Emil Giordano,5,27
Total,5,27
,Judge Of The Superior Court - Republican,28
,Emil Giordano,28
Emil Giordano,3,28
Total,3,28
,Judge Of The Superior Court - Republican,29
,Emil Giordano,29
Emil Giordano,5,29
Total,5,29
,Judge Of The Superior Court - Republican,30
,Emil Giordano,30
Emil Giordano,5,30
Total,5,30
,Judge Of The Superior Court - Republican,31
,Emil Giordano,31
Emil Giordano,16,31
Total,16,31
,Judge Of The Superior Court - Republican,32
,Emil Giordano,32
Emil Giordano,2,32
Total,2,32
,Judge Of The Superior Court - Republican,33
,Emil Giordano,33
Emil Giordano,6,33
Total,6,33
,Judge Of The Superior Court - Republican,34
,Emil Giordano,34
Emil Giordano,1,34
Total,1,34
,Judge Of The Superior Court - Republican,35
,Emil Giordano,35
Emil Giordano,8,35
Total,8,35
,Judge Of The Superior Court - Republican,36
,Emil Giordano,36
Emil Giordano,5,36
Total,5,36
,Judge Of The Superior Court - Republican,37
,Emil Giordano,37
Emil Giordano,9,37
Total,9,37
,Judge Of The Superior Court - Republican,38
,Emil Giordano,38
Emil Giordano,7,38
Total,7,38
,Judge Of The Superior Court - Republican,39
,Emil Giordano,39
Emil Giordano,9,39
Total,9,39
,Judge Of The Superior Court - Republican,40
,Emil Giordano,40
Emil Giordano,3,40
Total,3,40
,Judge Of The Superior Court - Republican,41
,Emil Giordano,41
Emil Giordano,15,41
Total,15,41
,Judge Of The Superior Court - Republican,42
,Emil Giordano,42
Emil Giordano,15,42
Total,15,42
,Judge Of The Superior Court - Republican,43
,Emil Giordano,43
Emil Giordano,9,43
Total,9,43
,Judge Of The Superior Court - Republican,44
,Emil Giordano,44
Emil Giordano,5,44
Total,5,44
,Judge Of The Superior Court - Republican,45
,Emil Giordano,45
Emil Giordano,10,45
Total,10,45
,Judge Of The Superior Court - Republican,46
,Emil Giordano,46
Emil Giordano,20,46
Total,20,46
,Judge Of The Superior Court - Republican,All
,Emil Giordano,All
Emil Giordano,277,All
Total,277,All
