col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,division
,Sheriff - Democrat,Justice Of The Supreme Court - Democrat,,,,,,1
,Jewell Williams,Kevin M Dougherty,David Wecht,Christine Donohue,Anne E Lazarus,Dwayne D Woodruff,John Henry Foradora,1
Jewell Williams,9,39,35,37,25,5,3,1
Kevin M Dougherty,,10,20,23,18,5,2,1
David Wecht,,,3,17,18,1,1,1
Christine Donohue,,,,0,18,3,2,1
Anne E Lazarus,,,,,0,0,1,1
Dwayne D Woodruff,,,,,,1,0,1
John Henry Foradora,,,,,,,0,1
Total,77,56,46,40,32,7,3,1
,Sheriff - Democrat,Justice Of The Supreme Court - Democrat,,,,,,2
,Jewell Williams,Kevin M Dougherty,David Wecht,Anne E Lazarus,Christine Donohue,Dwayne D Woodruff,John Henry Foradora,2
Jewell Williams,4,60,42,34,28,10,6,2
Kevin M Dougherty,,5,32,28,19,9,3,2
David Wecht,,,4,21,10,4,3,2
Anne E Lazarus,,,,0,15,3,6,2
Christine Donohue,,,,,1,3,1,2
Dwayne D Woodruff,,,,,,0,1,2
John Henry Foradora,,,,,,,1,2
Total,89,74,53,41,33,12,9,2
,Sheriff - Democrat,Justice Of The Supreme Court - Democrat,,,,,,3
,Jewell Williams,Kevin M Dougherty,David Wecht,Anne E Lazarus,Christine Donohue,Dwayne D Woodruff,John Henry Foradora,3
Jewell Williams,1,40,39,15,13,6,5,3
Kevin M Dougherty,,11,20,12,7,7,3,3
David Wecht,,,4,5,7,2,2,3
Anne E Lazarus,,,,1,3,3,3,3
Christine Donohue,,,,,4,0,0,3
Dwayne D Woodruff,,,,,,0,1,3
John Henry Foradora,,,,,,,0,3
Total,68,55,46,18,17,7,5,3
,Sheriff - Democrat,Justice Of The Supreme Court - Democrat,,,,,,4
,Jewell Williams,Kevin M Dougherty,David Wecht,Christine Donohue,Anne E Lazarus,John Henry Foradora,Dwayne D Woodruff,4
Jewell Williams,3,54,29,25,27,5,3,4
Kevin M Dougherty,,10,23,22,25,5,4,4
David Wecht,,,4,7,8,1,1,4
Christine Donohue,,,,1,11,3,0,4
Anne E Lazarus,,,,,2,1,2,4
John Henry Foradora,,,,,,0,2,4
Dwayne D Woodruff,,,,,,,0,4
Total,74,72,38,31,30,7,5,4
,Sheriff - Democrat,Justice Of The Supreme Court - Democrat,,,,,,5
,Jewell Williams,Kevin M Dougherty,David Wecht,Christine Donohue,Anne E Lazarus,John Henry Foradora,Dwayne D Woodruff,5
Jewell Williams,3,39,25,25,25,5,6,5
Kevin M Dougherty,,14,11,15,18,2,4,5
David Wecht,,,4,11,14,6,2,5
Christine Donohue,,,,4,9,3,5,5
Anne E Lazarus,,,,,2,4,3,5
John Henry Foradora,,,,,,0,0,5
Dwayne D Woodruff,,,,,,,0,5
Total,67,61,37,36,32,8,7,5
,Justice Of The Supreme Court - Democrat,,,,,,Sheriff - Democrat,6
,Anne E Lazarus,Kevin M Dougherty,David Wecht,Christine Donohue,John Henry Foradora,Dwayne D Woodruff,Jewell Williams,6
Anne E Lazarus,5,54,45,30,19,8,56,6
Kevin M Dougherty,,11,26,23,10,11,56,6
David Wecht,,,0,18,14,2,36,6
Christine Donohue,,,,0,3,5,33,6
John Henry Foradora,,,,,0,2,15,6
Dwayne D Woodruff,,,,,,1,13,6
Jewell Williams,,,,,,,10,6
Total,99,89,62,47,25,15,98,6
,Sheriff - Democrat,Justice Of The Supreme Court - Democrat,,,,,,7
,Jewell Williams,Kevin M Dougherty,David Wecht,Christine Donohue,Anne E Lazarus,Dwayne D Woodruff,John Henry Foradora,7
Jewell Williams,7,31,31,32,19,9,7,7
Kevin M Dougherty,,10,11,17,11,6,1,7
David Wecht,,,7,14,8,2,5,7
Christine Donohue,,,,1,12,4,2,7
Anne E Lazarus,,,,,1,3,5,7
Dwayne D Woodruff,,,,,,0,2,7
John Henry Foradora,,,,,,,0,7
Total,71,45,43,34,23,10,8,7
,Justice Of The Supreme Court - Democrat,,,,,,Sheriff - Democrat,8
,Kevin M Dougherty,Anne E Lazarus,David Wecht,Christine Donohue,Dwayne D Woodruff,John Henry Foradora,Jewell Williams,8
Kevin M Dougherty,17,21,16,8,4,3,37,8
Anne E Lazarus,,5,8,7,1,0,18,8
David Wecht,,,5,3,1,0,20,8
Christine Donohue,,,,5,3,1,13,8
