col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,City Commissioners - Democrat,,,,,,District Council 2nd District - Democrat,,1
,Lisa M Deeley,Anthony Clark,Carol A Jenkins,Tracey L Gordon,Omar Sabir,Will Mega,Kenyatta Johnson,Ori C Feibush,1
Lisa M Deeley,10,11,23,8,6,2,0,0,1
Anthony Clark,,20,7,14,3,4,0,0,1
Carol A Jenkins,,,14,8,1,2,0,0,1
Tracey L Gordon,,,,3,0,2,0,0,1
Omar Sabir,,,,,2,0,0,0,1
Will Mega,,,,,,1,0,0,1
Kenyatta Johnson,,,,,,,0,0,1
Ori C Feibush,,,,,,,,0,1
Total,60,59,55,35,12,11,0,0,1
,City Commissioners - Democrat,,,,,,District Council 2nd District - Democrat,,2
,Anthony Clark,Carol A Jenkins,Lisa M Deeley,Tracey L Gordon,Will Mega,Omar Sabir,Kenyatta Johnson,Ori C Feibush,2
Anthony Clark,13,3,5,9,5,4,0,0,2
Carol A Jenkins,,8,12,4,4,1,0,0,2
Lisa M Deeley,,,2,7,0,3,0,0,2
Tracey L Gordon,,,,3,2,2,0,0,2
Will Mega,,,,,3,0,0,0,2
Omar Sabir,,,,,,2,0,0,2
Kenyatta Johnson,,,,,,,0,0,2
Ori C Feibush,,,,,,,,0,2
Total,39,32,29,27,14,12,0,0,2
,City Commissioners - Democrat,,,,,,District Council 2nd District - Democrat,,3
,Anthony Clark,Carol A Jenkins,Lisa M Deeley,Will Mega,Tracey L Gordon,Omar Sabir,Kenyatta Johnson,Ori C Feibush,3
Anthony Clark,9,10,4,5,1,1,0,0,3
Carol A Jenkins,,2,8,0,4,1,0,0,3
Lisa M Deeley,,,5,2,0,1,0,0,3
Will Mega,,,,1,0,1,0,0,3
Tracey L Gordon,,,,,2,0,0,0,3
Omar Sabir,,,,,,1,0,0,3
Kenyatta Johnson,,,,,,,0,0,3
Ori C Feibush,,,,,,,,0,3
Total,30,25,20,9,7,5,0,0,3
,City Commissioners - Democrat,,,,,,District Council 2nd District - Democrat,,4
,Lisa M Deeley,Carol A Jenkins,Anthony Clark,Tracey L Gordon,Will Mega,Omar Sabir,Kenyatta Johnson,Ori C Feibush,4
Lisa M Deeley,20,8,5,8,1,2,0,0,4
Carol A Jenkins,,12,6,11,1,0,0,0,4
Anthony Clark,,,15,8,3,0,0,0,4
Tracey L Gordon,,,,3,1,1,0,0,4
Will Mega,,,,,2,0,0,0,4
Omar Sabir,,,,,,3,0,0,4
Kenyatta Johnson,,,,,,,0,0,4
Ori C Feibush,,,,,,,,0,4
Total,44,38,37,32,8,6,0,0,4
,City Commissioners - Democrat,,,,,,District Council 2nd District - Democrat,,5
,Carol A Jenkins,Anthony Clark,Tracey L Gordon,Lisa M Deeley,Will Mega,Omar Sabir,Kenyatta Johnson,Ori C Feibush,5
Carol A Jenkins,12,8,13,10,6,1,0,0,5
Anthony Clark,,8,10,8,3,1,0,0,5
Tracey L Gordon,,,3,2,0,3,0,0,5
Lisa M Deeley,,,,7,0,1,0,0,5
Will Mega,,,,,3,1,0,0,5
Omar Sabir,,,,,,2,0,0,5
Kenyatta Johnson,,,,,,,0,0,5
Ori C Feibush,,,,,,,,0,5
Total,50,38,31,28,13,9,0,0,5
,City Commissioners - Democrat,,,,,,District Council 2nd District - Democrat,,6
,Carol A Jenkins,Anthony Clark,Lisa M Deeley,Tracey L Gordon,Will Mega,Omar Sabir,Kenyatta Johnson,Ori C Feibush,6
Carol A Jenkins,17,8,14,9,4,2,0,0,6
Anthony Clark,,13,12,9,3,3,0,0,6
Lisa M Deeley,,,5,1,1,5,0,0,6
Tracey L Gordon,,,,4,2,2,0,0,6
Will Mega,,,,,4,1,0,0,6
Omar Sabir,,,,,,0,0,0,6
Kenyatta Johnson,,,,,,,0,0,6
Ori C Feibush,,,,,,,,0,6
Total,54,48,38,27,15,13,0,0,6
,City Commissioners - Democrat,,,,,,District Council 2nd District - Democrat,,7
,Lisa M Deeley,Carol A Jenkins,Anthony Clark,Tracey L Gordon,Omar Sabir,Will Mega,Kenyatta Johnson,Ori C Feibush,7
Lisa M Deeley,23,10,4,5,2,1,0,0,7
Carol A Jenkins,,13,5,6,2,1,0,0,7
Anthony Clark,,,11,8,2,1,0,0,7
Tracey L Gordon,,,,1,1,5,0,0,7
Omar Sabir,,,,,5,1,0,0,7
Will Mega,,,,,,1,0,0,7
Kenyatta Johnson,,,,,,,0,0,7
Ori C Feibush,,,,,,,,0,7
