col_1,col_2,col_3,division
,City Commissioners - Republican,Judge Of The Superior Court - Republican,1
,Al Schmidt,Emil Giordano,1
Al Schmidt,2,9,1
Emil Giordano,,0,1
Total,11,9,1
,Judge Of The Superior Court - Republican,City Commissioners - Republican,2
,Emil Giordano,Al Schmidt,2
Emil Giordano,2,8,2
Al Schmidt,,0,2
Total,10,8,2
,City Commissioners - Republican,Judge Of The Superior Court - Republican,3
,Al Schmidt,Emil Giordano,3
Al Schmidt,0,15,3
Emil Giordano,,0,3
Total,15,15,3
,City Commissioners - Republican,Judge Of The Superior Court - Republican,4
,Al Schmidt,Emil Giordano,4
Al Schmidt,1,7,4
Emil Giordano,,1,4
Total,8,8,4
,City Commissioners - Republican,Judge Of The Superior Court - Republican,5
,Al Schmidt,Emil Giordano,5
Al Schmidt,2,11,5
Emil Giordano,,1,5
Total,13,12,5
,City Commissioners - Republican,Judge Of The Superior Court - Republican,6
,Al Schmidt,Emil Giordano,6
Al Schmidt,1,12,6
Emil Giordano,,0,6
Total,13,12,6
,City Commissioners - Republican,Judge Of The Superior Court - Republican,7
,Al Schmidt,Emil Giordano,7
Al Schmidt,3,12,7
Emil Giordano,,2,7
Total,15,14,7
,Judge Of The Superior Court - Republican,City Commissioners - Republican,8
,Emil Giordano,Al Schmidt,8
Emil Giordano,3,13,8
Al Schmidt,,2,8
Total,16,15,8
,City Commissioners - Republican,Judge Of The Superior Court - Republican,9
,Al Schmidt,Emil Giordano,9
Al Schmidt,3,9,9
Emil Giordano,,0,9
Total,12,9,9
,Judge Of The Superior Court - Republican,City Commissioners - Republican,10
,Emil Giordano,Al Schmidt,10
Emil Giordano,2,15,10
Al Schmidt,,0,10
Total,17,15,10
,City Commissioners - Republican,Judge Of The Superior Court - Republican,11
,Al Schmidt,Emil Giordano,11
Al Schmidt,0,9,11
Emil Giordano,,0,11
Total,9,9,11
,City Commissioners - Republican,Judge Of The Superior Court - Republican,12
,Al Schmidt,Emil Giordano,12
Al Schmidt,1,9,12
Emil Giordano,,0,12
Total,10,9,12
,City Commissioners - Republican,Judge Of The Superior Court - Republican,13
,Al Schmidt,Emil Giordano,13
Al Schmidt,1,11,13
Emil Giordano,,1,13
Total,12,12,13
,City Commissioners - Republican,Judge Of The Superior Court - Republican,14
,Al Schmidt,Emil Giordano,14
Al Schmidt,1,7,14
Emil Giordano,,1,14
Total,8,8,14
,City Commissioners - Republican,Judge Of The Superior Court - Republican,15
,Al Schmidt,Emil Giordano,15
Al Schmidt,2,13,15
Emil Giordano,,2,15
Total,15,15,15
,Judge Of The Superior Court - Republican,City Commissioners - Republican,16
,Emil Giordano,Al Schmidt,16
Emil Giordano,4,12,16
Al Schmidt,,3,16
Total,16,15,16
,Judge Of The Superior Court - Republican,City Commissioners - Republican,17
,Emil Giordano,Al Schmidt,17
Emil Giordano,1,10,17
Al Schmidt,,0,17
Total,11,10,17
,Judge Of The Superior Court - Republican,City Commissioners - Republican,18
,Emil Giordano,Al Schmidt,18
Emil Giordano,3,7,18
Al Schmidt,,1,18
Total,10,8,18
,City Commissioners - Republican,Judge Of The Superior Court - Republican,19
,Al Schmidt,Emil Giordano,19
Al Schmidt,3,7,19
Emil Giordano,,1,19
Total,10,8,19
,City Commissioners - Republican,Judge Of The Superior Court - Republican,20
,Al Schmidt,Emil Giordano,20
Al Schmidt,0,9,20
Emil Giordano,,0,20
Total,9,9,20
,City Commissioners - Republican,Judge Of The Superior Court - Republican,21
,Al Schmidt,Emil Giordano,21
Al Schmidt,1,20,21
Emil Giordano,,0,21
Total,21,20,21
,Judge Of The Superior Court - Republican,City Commissioners - Republican,22
,Emil Giordano,Al Schmidt,22
Emil Giordano,1,6,22
Al Schmidt,,0,22
Total,7,6,22
,City Commissioners - Republican,Judge Of The Superior Court - Republican,23
,Al Schmidt,Emil Giordano,23
Al Schmidt,2,7,23
Emil Giordano,,1,23
Total,9,8,23
,City Commissioners - Republican,Judge Of The Superior Court - Republican,24
,Al Schmidt,Emil Giordano,24
Al Schmidt,3,16,24
Emil Giordano,,1,24
Total,19,17,24
,City Commissioners - Republican,Judge Of The Superior Court - Republican,25
,Al Schmidt,Emil Giordano,25
Al Schmidt,4,10,25
Emil Giordano,,2,25
Total,14,12,25
,City Commissioners - Republican,Judge Of The Superior Court - Republican,26
,Al Schmidt,Emil Giordano,26
Al Schmidt,0,9,26
Emil Giordano,,0,26
Total,9,9,26
,City Commissioners - Republican,Judge Of The Superior Court - Republican,27
,Al Schmidt,Emil Giordano,27
Al Schmidt,1,2,27
Emil Giordano,,0,27
Total,3,2,27
,City Commissioners - Republican,Judge Of The Superior Court - Republican,28
,Al Schmidt,Emil Giordano,28
Al Schmidt,1,7,28
Emil Giordano,,0,28
Total,8,7,28
,Judge Of The Superior Court - Republican,City Commissioners - Republican,29
,Emil Giordano,Al Schmidt,29
Emil Giordano,5,23,29
Al Schmidt,,1,29
Total,28,24,29
,City Commissioners - Republican,Judge Of The Superior Court - Republican,30
,Al Schmidt,Emil Giordano,30
Al Schmidt,1,4,30
Emil Giordano,,0,30
Total,5,4,30
,City Commissioners - Republican,Judge Of The Superior Court - Republican,All
,Al Schmidt,Emil Giordano,All
Al Schmidt,40,309,All
Emil Giordano,,34,All
Total,349,343,All
