col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,All
,Derek S Green,Blondell Reynolds Brown,W Wilson Goode Jr,Isaiah Thomas,Helen Gym,Sherrie Cohen,William K Greenlee,Allan Domb,Jenne Ayers,Ed Neilson,Thomas Wyatt,Paul Steinke,Wilson Alexander,Carla M Cain,Frank Rizzo,Marnie Aument Loughrey,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Matthew Perks,Christian Dicicco,Daniel R Sulman,Gary S Silver,Franklin A Bennett Iii,All
Derek S Green,94,726,485,597,302,268,396,317,287,325,226,177,235,128,99,52,802,604,506,431,300,138,175,167,All
Blondell Reynolds Brown,,39,812,611,431,515,639,317,205,459,121,143,105,106,139,39,753,691,547,350,307,209,184,177,All
W Wilson Goode Jr,,,22,459,357,383,420,232,133,288,102,98,92,72,150,24,491,464,441,305,156,184,149,142,All
Isaiah Thomas,,,,30,350,267,346,278,145,222,175,170,88,93,106,26,543,510,343,223,242,144,155,139,All
Helen Gym,,,,,51,425,267,209,153,85,118,200,49,92,70,39,344,354,402,214,151,238,88,77,All
Sherrie Cohen,,,,,,5,346,196,168,158,116,142,59,136,89,32,387,412,414,229,157,209,111,82,All
William K Greenlee,,,,,,,9,170,80,332,72,109,46,53,63,31,472,434,365,142,233,150,112,94,All
Allan Domb,,,,,,,,45,146,74,147,126,77,99,81,27,302,309,255,183,119,86,122,92,All
Jenne Ayers,,,,,,,,,15,36,103,54,149,137,51,45,336,236,250,200,109,62,83,52,All
Ed Neilson,,,,,,,,,,1,30,45,17,20,18,13,322,299,207,157,161,32,45,52,All
Thomas Wyatt,,,,,,,,,,,8,144,78,83,30,24,185,169,167,131,66,77,105,56,All
