col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,division
,Mayor - Democrat,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Jim Kenney,Nelson Diaz,Anthony Hardy Williams,Lynne M Abraham,T Milton Street Sr,Doug Oliver,Mia Roberts Perez,Tracy B Roman,Scott Diclaudio,Ken Powell,Leon Goodman,Lyris Younge,Jennifer Schultz,Jon Marshall,Daine Grey Jr,Edward William Louden Jr,Brian T Ortelere,Abbe Fletman,Leon A King Ii,Rania Major,Kai Scott,Wayne M D Bennett,Rainy Papademetriou,James F Berardinelli,Deborah Watson Stokes,Stephanie M Sawyer,Thomas Martin,Frances Fattah,Anthony Kyriakakis,Stella Tsai,Vincent Furlong,Betsy Wahl,Lynne M Summers,Lucretia Clemons,Chris Mccabe,Vince Giusini,Michael Fanning,Sherman Toppin,Marissa Brumbach,Shanese Johnson,Chris Mallios,Sandjai Weaver,Joshua Hill,Franklin A Bennett Iii,Vincent N Melchiorre,Tangie M Boston,William J Ciancaglini,Jodi Lobel,Starr Marshall Cash,All
Jim Kenney,453,0,0,0,0,0,65,50,57,47,39,38,50,38,49,24,34,34,32,26,36,20,30,27,29,25,23,13,23,18,25,27,25,19,13,18,15,16,16,12,15,13,13,15,12,10,12,6,5,All
Nelson Diaz,,327,0,0,0,0,99,49,36,23,23,21,32,17,20,22,32,17,23,28,19,25,11,14,12,9,23,13,21,12,16,7,8,10,12,18,7,10,7,5,14,14,5,6,5,10,9,9,5,All
Anthony Hardy Williams,,,91,0,0,0,29,57,49,45,45,44,16,42,27,36,23,30,19,14,18,12,20,12,12,18,8,27,6,19,8,8,11,14,18,6,11,10,6,13,1,6,10,6,8,4,1,6,6,All
Lynne M Abraham,,,,37,0,0,13,14,9,11,11,10,14,7,9,8,6,6,6,8,4,7,6,7,8,7,7,5,6,7,3,8,6,3,2,2,3,1,6,5,3,1,4,1,4,2,3,1,1,All
T Milton Street Sr,,,,,6,0,2,9,9,13,11,9,4,9,1,12,3,1,1,3,1,3,0,2,1,1,2,0,0,2,1,0,2,1,0,0,2,1,1,0,1,0,0,2,0,1,0,0,0,All
Doug Oliver,,,,,,7,1,2,0,1,0,1,4,0,1,1,1,1,2,1,1,1,1,2,0,1,0,2,1,0,1,0,0,1,0,1,0,1,2,0,1,1,1,1,1,0,0,1,0,All
Mia Roberts Perez,,,,,,,5,46,34,24,24,26,44,17,31,15,26,49,31,40,43,17,28,18,27,34,24,32,23,38,18,31,25,27,22,16,20,14,21,12,20,12,15,7,20,12,10,14,8,All
Tracy B Roman,,,,,,,,6,86,67,74,75,50,60,33,59,32,17,20,31,26,27,22,32,24,16,20,25,20,19,17,15,23,17,6,14,16,12,13,12,11,17,12,12,7,13,9,5,7,All
