col_1,col_2,col_3,division
,Sheriff - Republican,Judge Of The Court Of Common Pleas - Republican,1
,Christopher Sawyer,Vincent Furlong,1
Christopher Sawyer,1,3,1
Vincent Furlong,,0,1
Total,4,3,1
,Sheriff - Republican,Judge Of The Court Of Common Pleas - Republican,2
,Christopher Sawyer,Vincent Furlong,2
Christopher Sawyer,0,7,2
Vincent Furlong,,0,2
Total,7,7,2
,Sheriff - Republican,Judge Of The Court Of Common Pleas - Republican,3
,Christopher Sawyer,Vincent Furlong,3
Christopher Sawyer,0,1,3
Vincent Furlong,,0,3
Total,1,1,3
,Sheriff - Republican,Judge Of The Court Of Common Pleas - Republican,5
,Christopher Sawyer,Vincent Furlong,5
Christopher Sawyer,0,2,5
Vincent Furlong,,0,5
Total,2,2,5
,Sheriff - Republican,Judge Of The Court Of Common Pleas - Republican,6
,Christopher Sawyer,Vincent Furlong,6
Christopher Sawyer,0,3,6
Vincent Furlong,,0,6
Total,3,3,6
,Sheriff - Republican,Judge Of The Court Of Common Pleas - Republican,7
,Christopher Sawyer,Vincent Furlong,7
Christopher Sawyer,1,8,7
Vincent Furlong,,0,7
Total,9,8,7
,Sheriff - Republican,Judge Of The Court Of Common Pleas - Republican,9
,Christopher Sawyer,Vincent Furlong,9
Christopher Sawyer,0,1,9
Vincent Furlong,,0,9
Total,1,1,9
,Sheriff - Republican,Judge Of The Court Of Common Pleas - Republican,10
,Christopher Sawyer,Vincent Furlong,10
Christopher Sawyer,0,2,10
Vincent Furlong,,0,10
Total,2,2,10
,Sheriff - Republican,Judge Of The Court Of Common Pleas - Republican,11
,Christopher Sawyer,Vincent Furlong,11
Christopher Sawyer,0,2,11
Vincent Furlong,,0,11
Total,2,2,11
,Sheriff - Republican,Judge Of The Court Of Common Pleas - Republican,12
,Christopher Sawyer,Vincent Furlong,12
Christopher Sawyer,0,2,12
Vincent Furlong,,0,12
Total,2,2,12
,Sheriff - Republican,Judge Of The Court Of Common Pleas - Republican,13
,Christopher Sawyer,Vincent Furlong,13
Christopher Sawyer,1,5,13
Vincent Furlong,,0,13
Total,6,5,13
,Judge Of The Court Of Common Pleas - Republican,Sheriff - Republican,14
,Vincent Furlong,Christopher Sawyer,14
Vincent Furlong,1,1,14
Christopher Sawyer,,0,14
Total,2,1,14
,Sheriff - Republican,Judge Of The Court Of Common Pleas - Republican,15
,Christopher Sawyer,Vincent Furlong,15
Christopher Sawyer,1,4,15
Vincent Furlong,,0,15
Total,5,4,15
,Sheriff - Republican,Judge Of The Court Of Common Pleas - Republican,17
,Christopher Sawyer,Vincent Furlong,17
Christopher Sawyer,0,1,17
Vincent Furlong,,0,17
Total,1,1,17
,Sheriff - Republican,Judge Of The Court Of Common Pleas - Republican,20
,Christopher Sawyer,Vincent Furlong,20
Christopher Sawyer,0,1,20
Vincent Furlong,,0,20
Total,1,1,20
,Sheriff - Republican,Judge Of The Court Of Common Pleas - Republican,21
,Christopher Sawyer,Vincent Furlong,21
Christopher Sawyer,1,1,21
Vincent Furlong,,0,21
Total,2,1,21
,Judge Of The Court Of Common Pleas - Republican,Sheriff - Republican,22
,Vincent Furlong,Christopher Sawyer,22
Vincent Furlong,1,0,22
Christopher Sawyer,,0,22
Total,1,0,22
,Judge Of The Court Of Common Pleas - Republican,Sheriff - Republican,23
,Vincent Furlong,Christopher Sawyer,23
Vincent Furlong,2,12,23
Christopher Sawyer,,1,23
Total,14,13,23
,Sheriff - Republican,Judge Of The Court Of Common Pleas - Republican,All
,Christopher Sawyer,Vincent Furlong,All
Christopher Sawyer,6,56,All
Vincent Furlong,,4,All
Total,62,60,All
