col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,division
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,All
,Yasmeen Kaboud,Lou Agre,Gwen Snyder,Ariana Flores Gordon,Sherrie Cohen,Hamdi Soysal,Carol Rose Fleischman,William Leopold,Waleed Shahid,Margaret Lenzi,Tonya Diane Bah,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Mary Jo Daley,Mark Aronchick,Ken Washington,Michelle W Singer,Vincent Hughes,Nicole Allen White,Joe Foster,Blondell Reynolds Brown,Heather A Steinmiller,All
Yasmeen Kaboud,152,"1,848","1,693","1,743","1,707","1,688","1,708","1,652","1,636","1,610","1,648",365,402,356,358,244,262,244,210,224,203,227,176,163,All
Lou Agre,,53,"1,696","1,691","1,683","1,662","1,676","1,628","1,606","1,588","1,613",323,382,288,336,193,247,208,174,189,158,193,135,126,All
Gwen Snyder,,,12,"1,668","1,667","1,631","1,649","1,614","1,606","1,602","1,619",279,343,258,284,202,244,210,191,202,190,201,147,148,All
Ariana Flores Gordon,,,,14,"1,701","1,666","1,687","1,621","1,599","1,591","1,617",270,309,245,278,191,220,210,161,168,164,181,129,118,All
Sherrie Cohen,,,,,10,"1,669","1,685","1,620","1,593","1,596","1,615",245,295,231,264,170,207,181,150,164,146,168,133,112,All
Hamdi Soysal,,,,,,11,"1,639","1,608","1,587","1,553","1,584",248,297,235,264,179,204,192,164,167,147,175,118,117,All
Carol Rose Fleischman,,,,,,,8,"1,604","1,572","1,576","1,607",232,269,223,243,157,177,174,146,152,147,152,109,105,All
William Leopold,,,,,,,,2,"1,608","1,586","1,583",207,271,195,238,135,181,177,145,166,140,176,118,100,All
Waleed Shahid,,,,,,,,,1,"1,579","1,567",201,258,191,228,140,169,168,140,160,157,179,132,98,All
Margaret Lenzi,,,,,,,,,,1,"1,569",211,259,194,232,146,176,170,160,159,170,172,133,121,All
Tonya Diane Bah,,,,,,,,,,,2,191,237,179,208,133,162,155,127,136,139,138,106,92,All
Cindy Bass,,,,,,,,,,,,118,"1,318","1,371","1,279","1,238","1,141","1,144","1,119","1,088","1,092","1,045","1,062","1,095",All
Malcolm Kenyatta,,,,,,,,,,,,,28,"1,286","1,323","1,141","1,158","1,109","1,067","1,073","1,032","1,026","1,041","1,044",All
Katherine J Gilmore,,,,,,,,,,,,,,21,"1,254","1,184","1,100","1,088","1,090","1,047","1,052","1,026","1,030","1,067",All
Jerry T Jordan,,,,,,,,,,,,,,,12,"1,124","1,130","1,082","1,043","1,036",994,"1,017",998,"1,019",All
Mary Jo Daley,,,,,,,,,,,,,,,,8,"1,121","1,095","1,080","1,050","1,054","1,018","1,020","1,064",All
Mark Aronchick,,,,,,,,,,,,,,,,,4,"1,069","1,032","1,019",989,"1,010",983,"1,013",All
Ken Washington,,,,,,,,,,,,,,,,,,2,"1,040","1,031","1,034","1,019",981,"1,010",All
Michelle W Singer,,,,,,,,,,,,,,,,,,,3,"1,004","1,024",990,"1,001","1,044",All
Vincent Hughes,,,,,,,,,,,,,,,,,,,,3,"1,009","1,033","1,033","1,005",All
