col_1,col_2,col_3,col_4,col_5,division
,United States Senator - Democrat,,,,All
,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,All
Katie Mcginty,"1,380",0,0,0,All
Joe Sestak,,672,0,0,All
John Fetterman,,,575,0,All
Joseph J Vodvarka,,,,510,All
Total,"1,380",672,575,510,All
,United States Senator - Democrat,,,,1
,Katie Mcginty,John Fetterman,Joe Sestak,Joseph J Vodvarka,1
Katie Mcginty,16,0,0,0,1
John Fetterman,,14,0,0,1
Joe Sestak,,,13,0,1
Joseph J Vodvarka,,,,6,1
Total,16,14,13,6,1
,United States Senator - Democrat,,,,2
,John Fetterman,Katie Mcginty,Joe Sestak,Joseph J Vodvarka,2
John Fetterman,31,0,0,0,2
Katie Mcginty,,25,0,0,2
Joe Sestak,,,18,0,2
Joseph J Vodvarka,,,,15,2
Total,31,25,18,15,2
,United States Senator - Democrat,,,,3
,Katie Mcginty,John Fetterman,Joseph J Vodvarka,Joe Sestak,3
Katie Mcginty,42,0,0,0,3
John Fetterman,,15,0,0,3
Joseph J Vodvarka,,,15,0,3
Joe Sestak,,,,11,3
Total,42,15,15,11,3
,United States Senator - Democrat,,,,4
,Katie Mcginty,John Fetterman,Joe Sestak,Joseph J Vodvarka,4
Katie Mcginty,61,0,0,0,4
John Fetterman,,35,0,0,4
Joe Sestak,,,28,0,4
Joseph J Vodvarka,,,,25,4
Total,61,35,28,25,4
,United States Senator - Democrat,,,,5
,Katie Mcginty,John Fetterman,Joseph J Vodvarka,Joe Sestak,5
Katie Mcginty,46,0,0,0,5
John Fetterman,,23,0,0,5
Joseph J Vodvarka,,,20,0,5
Joe Sestak,,,,15,5
Total,46,23,20,15,5
,United States Senator - Democrat,,,,6
,Katie Mcginty,John Fetterman,Joseph J Vodvarka,Joe Sestak,6
Katie Mcginty,41,0,0,0,6
John Fetterman,,32,0,0,6
Joseph J Vodvarka,,,20,0,6
Joe Sestak,,,,19,6
Total,41,32,20,19,6
,United States Senator - Democrat,,,,7
,Katie Mcginty,John Fetterman,Joe Sestak,Joseph J Vodvarka,7
Katie Mcginty,66,0,0,0,7
John Fetterman,,21,0,0,7
Joe Sestak,,,19,0,7
Joseph J Vodvarka,,,,18,7
Total,66,21,19,18,7
,United States Senator - Democrat,,,,8
,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,8
Katie Mcginty,65,0,0,0,8
Joe Sestak,,55,0,0,8
John Fetterman,,,27,0,8
Joseph J Vodvarka,,,,25,8
Total,65,55,27,25,8
,United States Senator - Democrat,,,,9
,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,9
Katie Mcginty,75,0,0,0,9
Joe Sestak,,57,0,0,9
John Fetterman,,,34,0,9
Joseph J Vodvarka,,,,32,9
Total,75,57,34,32,9
,United States Senator - Democrat,,,,10
,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,10
Katie Mcginty,89,0,0,0,10
Joe Sestak,,82,0,0,10
John Fetterman,,,58,0,10
Joseph J Vodvarka,,,,39,10
Total,89,82,58,39,10
,United States Senator - Democrat,,,,11
,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,11
Katie Mcginty,51,0,0,0,11
Joe Sestak,,33,0,0,11
John Fetterman,,,27,0,11
Joseph J Vodvarka,,,,24,11
Total,51,33,27,24,11
,United States Senator - Democrat,,,,12
,Katie Mcginty,Joseph J Vodvarka,Joe Sestak,John Fetterman,12
Katie Mcginty,48,0,0,0,12
Joseph J Vodvarka,,32,0,0,12
Joe Sestak,,,20,0,12
John Fetterman,,,,19,12
Total,48,32,20,19,12
,United States Senator - Democrat,,,,13
,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,13
Katie Mcginty,101,0,0,0,13
Joe Sestak,,58,0,0,13
John Fetterman,,,34,0,13
Joseph J Vodvarka,,,,25,13
Total,101,58,34,25,13
,United States Senator - Democrat,,,,14
,Katie Mcginty,Joe Sestak,Joseph J Vodvarka,John Fetterman,14
Katie Mcginty,53,0,0,0,14
Joe Sestak,,48,0,0,14
Joseph J Vodvarka,,,21,0,14
John Fetterman,,,,18,14
Total,53,48,21,18,14
,United States Senator - Democrat,,,,15
,Katie Mcginty,Joe Sestak,Joseph J Vodvarka,John Fetterman,15
Katie Mcginty,43,0,0,0,15
Joe Sestak,,22,0,0,15
Joseph J Vodvarka,,,15,0,15
John Fetterman,,,,9,15
Total,43,22,15,9,15
,United States Senator - Democrat,,,,16
,Katie Mcginty,Joe Sestak,Joseph J Vodvarka,John Fetterman,16
Katie Mcginty,76,0,0,0,16
Joe Sestak,,29,0,0,16
Joseph J Vodvarka,,,25,0,16
John Fetterman,,,,23,16
Total,76,29,25,23,16
,United States Senator - Democrat,,,,17
,Katie Mcginty,Joseph J Vodvarka,Joe Sestak,John Fetterman,17
Katie Mcginty,52,0,0,0,17
Joseph J Vodvarka,,32,0,0,17
Joe Sestak,,,16,0,17
John Fetterman,,,,15,17
Total,52,32,16,15,17
,United States Senator - Democrat,,,,18
,Katie Mcginty,John Fetterman,Joe Sestak,Joseph J Vodvarka,18
Katie Mcginty,83,0,0,0,18
John Fetterman,,31,0,0,18
Joe Sestak,,,26,0,18
Joseph J Vodvarka,,,,25,18
Total,83,31,26,25,18
,United States Senator - Democrat,,,,19
,Katie Mcginty,Joseph J Vodvarka,Joe Sestak,John Fetterman,19
Katie Mcginty,55,0,0,0,19
Joseph J Vodvarka,,23,0,0,19
Joe Sestak,,,19,0,19
John Fetterman,,,,16,19
Total,55,23,19,16,19
,United States Senator - Democrat,,,,20
,Katie Mcginty,John Fetterman,Joseph J Vodvarka,Joe Sestak,20
Katie Mcginty,90,0,0,0,20
John Fetterman,,31,0,0,20
Joseph J Vodvarka,,,20,0,20
Joe Sestak,,,,19,20
Total,90,31,20,19,20
,United States Senator - Democrat,,,,21
,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,21
Katie Mcginty,127,0,0,0,21
Joe Sestak,,29,0,0,21
John Fetterman,,,22,0,21
Joseph J Vodvarka,,,,13,21
Total,127,29,22,13,21
,United States Senator - Democrat,,,,22
,Katie Mcginty,John Fetterman,Joe Sestak,Joseph J Vodvarka,22
Katie Mcginty,45,0,0,0,22
John Fetterman,,25,0,0,22
Joe Sestak,,,23,0,22
Joseph J Vodvarka,,,,15,22
Total,45,25,23,15,22
,United States Senator - Democrat,,,,23
,Katie Mcginty,Joseph J Vodvarka,John Fetterman,Joe Sestak,23
Katie Mcginty,30,0,0,0,23
Joseph J Vodvarka,,25,0,0,23
John Fetterman,,,15,0,23
Joe Sestak,,,,13,23
Total,30,25,15,13,23
